type_real_state,url,title,location_string,location_latitude,location_longitude,date_publication,state,deliver,coin,views,price,expenses,discount,description_sup,description,pictures,advertiser_name,advertiser_codes,feature_rooms,feature_unities,feature_stotal,feature_scover,feature_bath,feature_parking,feature_toilete,feature_antique,general_features_xml,location_tree
oficina comercial,https://www.plusvalia.com/propiedades/125-m-totalmente-amoblada-oficinas-puestos-de-trabajo-57258983.html,125 m Totalmente Amoblada Oficinas Puestos de Trabajo Sala de Conferencia,"kennedy norte, Norte de Guayaquil, Guayaquil",-2.156731355880793,-79.90252576911354,30/11/2021,Alquiler,house_default,USD,0,995.0,+ USD 355 Condominio/Alícuota,0,Oficina comercial · 125m² · 1 Estacionamiento,"linda y cómoda oficina en el mejor edificio de kennedy norte, tiene varias oficinas principales, puestos de trabajo área de archivos, gerencia, sala de sesiones.|incluye un parqueo, con opción a parqueos oficina tiene area util de 125 metros mas parqueo",https://img10.naventcdn.com/avisos/resize/9/00/57/25/89/83/1200x1200/289372330.jpg|https://img10.naventcdn.com/avisos/9/00/57/25/89/83/1200x1200/142842603.jpg|https://img10.naventcdn.com/avisos/9/00/57/25/89/83/1200x1200/142842601.jpg|https://img10.naventcdn.com/avisos/9/00/57/25/89/83/1200x1200/142842599.jpg|https://img10.naventcdn.com/avisos/9/00/57/25/89/83/1200x1200/142842598.jpg,LUIS FELIPE ZAMBRANO,Cód. del anunciante: 0919 cav|Cód. Plusvalia: 57258983,none,none,138 m² Total,125 m² Cubierta,none,1 Estacionamiento,1 Medio baño,12 Antigüedad,<general_features_xml><general_feature><title>Características generales</title><content>Amueblado/a|Ascensor(es)|: 3|Terraza|Centros Comerciales Cercanos|Vista a la Ciudad|Recepción</content></general_feature><general_feature><title>Servicios</title><content>Línea telefónica|Aire acondicionado|Guardianía/Seguridad privada|Sala de conferencia|Control de accesos|Video vigilancia|Sistema de alarma de seguridad|Cisterna|Generador eléctrico|Cortinas/Persianas|page.posting.features.918|Espacio de co-working</content></general_feature><general_feature><title>Ambientes</title><content>Sala comunal|Area de eventos|Auditorio|page.posting.features.911</content></general_feature></general_features_xml>,Plusvalia->Oficina comercial->Alquilar->Guayas->Guayaquil->Norte de Guayaquil->125 m Totalmente Amoblada Oficinas Puestos de Trabajo Sala de Conferencia
terreno / lote,https://www.plusvalia.com/propiedades/1353-m-en-linda-urbanizacion-en-la-ceramica-modernas-62508008.html,"1353 m en Linda Urbanizacion en La Ceramica, Modernas Casas. Precio!","LA CERAMICA, Tumbaco, Quito",-0.222862977365643,-78.39234091144948,25/10/2021,Venta,house_default,USD,51,351780.0,none,0,Terreno / Lote · 1353m²,"Con seguridad 24/7|Urbanizacion de 11 lotes, lote minimo 1.000 mts|1 casa por lote minimo.|Todos los servicios, guardiania 24/7||OPORTUNIDAD EN PRECIO USD 260 x metro",https://img10.naventcdn.com/avisos/9/00/62/50/80/08/1200x1200/284269823.jpg|https://img10.naventcdn.com/avisos/9/00/62/50/80/08/1200x1200/284269825.jpg|https://img10.naventcdn.com/avisos/9/00/62/50/80/08/1200x1200/284269822.jpg|https://img10.naventcdn.com/avisos/9/00/62/50/80/08/1200x1200/284269821.jpg|https://img10.naventcdn.com/avisos/9/00/62/50/80/08/1200x1200/284489315.jpg,Red Promotoras Inmobiliarias,Cód. del anunciante: 2H53A8|Cód. Plusvalia: 62508008|Lic Prof: Lic. 1119-P,none,none,1353 m² Total,1353 m² Cubierta,none,none,none,A estrenar,<general_features_xml><general_feature><title>Características generales</title><content>Caseta de guardia|Av. acceso asfaltada|En condominio</content></general_feature><general_feature><title>Servicios</title><content>Guardianía/Seguridad privada|Iluminación|Puertas eléctricas|Control de accesos|Servicios básicos (agua/luz)</content></general_feature><general_feature><title>Ambientes</title><content>Urbanización privada</content></general_feature><general_feature><title>Exteriores</title><content>Cerramiento(s)</content></general_feature></general_features_xml>,"Plusvalia->Terreno / Lote->Comprar->Pichincha->Quito->Tumbaco->1353 m en Linda Urbanizacion en La Ceramica, Modernas Casas. Precio!"
bodega-galpón,https://www.plusvalia.com/propiedades/150-m-bodega-en-alquiler-via-daule-sector-norte-52229008.html,"150 m Bodega en Alquiler - Via Daule, Sector Norte","via a Daule, Norte de Guayaquil, Guayaquil",-2.097937713698997,-79.93599656455686,unknown,Alquiler,house_default,USD,16,900.0,none,0,Bodega-Galpón · 150m²,"Ubicación. - Vía a Daule complejo.||Metraje. - 150 mts2 de bodega||Precio. - $ 900,00 + IVA incluido alícuota||Seguridad las 24 horas, permiso de bomberos, amplio espacio de parqueo.|Solo para Bodegaje",https://img10.naventcdn.com/avisos/resize/9/00/52/22/90/08/1200x1200/281085739.jpg|https://img10.naventcdn.com/avisos/9/00/52/22/90/08/1200x1200/208537808.jpg|https://img10.naventcdn.com/avisos/9/00/52/22/90/08/1200x1200/281085737.jpg|https://img10.naventcdn.com/avisos/resize/9/00/52/22/90/08/1200x1200/281085738.jpg|https://img10.naventcdn.com/ficha/RPFICv5.54.3-RC3/images/isotipo-no-image.svg,Jacqueline de Llanos,Cód. del anunciante: PSV-PSV-M-52229008|Cód. Plusvalia: 52229008,none,none,150 m² Total,150 m² Cubierta,none,none,none,8 Antigüedad,<general_features_xml><general_feature><title>Características generales</title><content>Caseta de guardia</content></general_feature><general_feature><title>Servicios</title><content>Guardianía/Seguridad privada|Parqueadero visitantes|Servicios básicos (agua/luz)</content></general_feature><general_feature><title>Ambientes</title><content>Bodega(s)|: 1</content></general_feature></general_features_xml>,"Plusvalia->Bodega-Galpón->Alquilar->Guayas->Guayaquil->Norte de Guayaquil->150 m Bodega en Alquiler - Via Daule, Sector Norte"
casa,https://www.plusvalia.com/propiedades/1500-m-terreno-y-amplia-casa-de-4-dorm.-mas-suite.-62390212.html,"1500 m Terreno, y Amplia Casa de 4 Dorm. Mas Suite. Ubicacion!","COLEGIO ALEMAN, Cumbayá, Quito",-0.208357535907133,-78.43940827822229,6/10/2021,Venta,house_default,USD,45,795000.0,+ USD 80 Condominio/Alícuota,0,Casa · 650m² · 5 Habitaciones · 2 Estacionamientos,"Dentro de Urbanizacion, con seguridad 24/7|Rapido acceso a vias principales, centros comerciales, colegios y todo servicio|1500 mts de terreno|650 mts ( 800 mts totales segun Irm) , incluye suite de huspedes en jardin exterior y chozon BBQ||Amplia sala con chimea con salida a porche|Comedor|Cocina cerrada|En medio piso:|Sala familiar|4 dormitorios cada uno con su banio|Adicionalmente, estudio o sala familiar secundaria||Chozon con horno de pan y bbq|Suite completa|Jacuzzi exterior|Amplio jardin posterior mas jardin delantero||Area de servicio ( 2 dormitorios ) y lavanderia|Garages cubiertos, 2, mas 2 descubiertos||Anio de construccion 1996|Remodelado, banio master y social",https://img10.naventcdn.com/avisos/9/00/62/39/02/12/1200x1200/282015782.jpg|https://img10.naventcdn.com/avisos/9/00/62/39/02/12/1200x1200/282015776.jpg|https://img10.naventcdn.com/avisos/9/00/62/39/02/12/1200x1200/282015783.jpg|https://img10.naventcdn.com/avisos/9/00/62/39/02/12/1200x1200/282015775.jpg|https://img10.naventcdn.com/avisos/9/00/62/39/02/12/1200x1200/282015784.jpg,Red Promotoras Inmobiliarias,Cód. del anunciante: 2H0MDM|Cód. Plusvalia: 62390212|Lic Prof: Lic. 1119-P,5 Habitaciones,none,650 m² Total,650 m² Cubierta,4 Baños,2 Estacionamientos,1 Medio baño,25 Antigüedad,<general_features_xml><general_feature><title>Características generales</title><content>Chimenea|Jardín(es)|Baño de servicio|: 1|Cuartos de servicio|Jacuzzi|Centros Comerciales Cercanos|Escuelas Cercanas|En condominio|Walk in closet</content></general_feature><general_feature><title>Servicios</title><content>Area de lavandería|Internet/Wifi|Línea telefónica|Iluminación|Cisterna|Calefón|Extractor de olores|Cortinas/Persianas|Parrilla</content></general_feature><general_feature><title>Ambientes</title><content>Bodega(s)|: 1|Cuarto de máquinas|Urbanización privada|Secadero|Sala de lectura|Closets|: 5|Sala de estar|Sala de entretenimiento|page.posting.features.906</content></general_feature><general_feature><title>Exteriores</title><content>Area de BBQ|Cerramiento(s)</content></general_feature></general_features_xml>,"Plusvalia->Casa->Comprar->Pichincha->Quito->Cumbayá->1500 m Terreno, y Amplia Casa de 4 Dorm. Mas Suite. Ubicacion!"
bodega-galpón,https://www.plusvalia.com/propiedades/15000-mtr-galpones-disponibles-se-renta-segun-61841168.html,15000 Mtr Galpones Disponibles Se Renta Segun Requerimiento Sector Carapungo,"CARAPUNGO, Carapungo, Quito",-0.086655915882194,-78.45493568423058,30/7/2021,Alquiler,house_default,USD,42,5.0,none,0,Bodega-Galpón · 15000m²,- 6 GALPONES DISPONIBLES ACTUALMENTE DENTRO DE COMPLEJO INDUSTRIAL (LOS GALPONES NO SON JUNTOS ESTAN SEPARADOS A POCOS METROS)|- AREA CADA GALPON 2500 MTR C/U (TOTAL 15.000 MTR)|- SE RENTA EN SU TOTALIDAD O INDEPENDIENTEMENTE CADA GALPON|- AREA DE OFICINAS EN GALPONES|- ALTURA GALPON AL HOMBRO 9 MTR|- ALTURA GALPON AL CUMBRERO 12 MTR|- PATIO DE MANIOBRAS|- ANDEN CARGA/DESCARGA|- USO DE SUELO I2 MEDIANO IMPACTO||PRECIO 5,https://img10.naventcdn.com/avisos/9/00/61/84/11/68/1200x1200/271727335.jpg|https://img10.naventcdn.com/avisos/resize/9/00/61/84/11/68/1200x1200/271727336.jpg|https://img10.naventcdn.com/avisos/resize/9/00/61/84/11/68/1200x1200/271727337.jpg|https://img10.naventcdn.com/avisos/9/00/61/84/11/68/1200x1200/271727334.jpg|https://img10.naventcdn.com/avisos/9/00/61/84/11/68/1200x1200/271727332.jpg,IDEA SOLUCIONES INMOBILIARIAS,Cód. del anunciante: 2GACC8|Cód. Plusvalia: 61841168,none,none,24836 m² Total,15000 m² Cubierta,none,none,none,20 Antigüedad,<general_features_xml><general_feature><title>Características generales</title><content>Andén para carga y descarga|Caseta de guardia|Galpón industrial</content></general_feature><general_feature><title>Servicios</title><content>Guardianía/Seguridad privada|Servicios básicos (agua/luz)</content></general_feature><general_feature><title>Ambientes</title><content>Bodega(s)|: 1|Patio de maniobras</content></general_feature><general_feature><title>Exteriores</title><content>Cerramiento(s)</content></general_feature></general_features_xml>,Plusvalia->Bodega-Galpón->Alquilar->Pichincha->Quito->Carapungo->15000 Mtr Galpones Disponibles Se Renta Segun Requerimiento Sector Carapungo
departamento,https://www.plusvalia.com/propiedades/160-m-sup2--2-dorm-amplia-area-social-porche.-63114888.html,"160 m², 2 Dorm, Amplia Área Social, Porche. Piscina, Gimnasio, Bbq, Jacuzzi.","Sector Site Center, Cumbayá, Quito",-0.198194174406539,-78.44522698360595,18/1/2022,Venta,house_default,USD,24,284000.0,none,0,Departamento · 128m² · 2 Habitaciones · 2 Estacionamientos,"Sector Santa Lucia Cumbayá – Site Center, dentro de edificio de lujo con áreas comunales incomparables, diseño y ubicación, que garantizan el mejor estilo de vida. Departamentos de 2 – 3 dormitorios con terrazas y/o jardines. Vista espectacular al Valle.|| Elegante lobby de ingreso| Piscina temperada con hidromasaje| Área de BBQ| Juegos infantiles| Gimnasio.| Área de fogata.| Salón Comunal.| Estructura sismorresistente.| Generador eléctrico de emergencia para todo el edificio.| ascensores de última tecnología.||D 305| Área total: 157.53| Área interior: 128| Porche: 22.76| Balcon dormitorio master : 6.77| Amplia área social| 2 dormitorios con baño privado| Sala de estar familiar o estudio| Cocina americana equipada con plancha, horno y extractor| Área de maquinas| 2 parqueaderos| Bodega|Valor $ $ $284.089,00||Acabados de primera:| Porcelanato español, pisos de bambú, muebles MADEVAL, mesones de cuarzo Silestone| Iluminación led| Espejos y puertas de baño de vidrio templado y acero.| Linea blanca Teka.",https://img10.naventcdn.com/avisos/resize/9/00/63/11/48/88/1200x1200/294926611.jpg|https://img10.naventcdn.com/avisos/resize/9/00/63/11/48/88/1200x1200/294926600.jpg|https://img10.naventcdn.com/avisos/resize/9/00/63/11/48/88/1200x1200/294926610.jpg|https://img10.naventcdn.com/avisos/resize/9/00/63/11/48/88/1200x1200/294926597.jpg|https://img10.naventcdn.com/avisos/resize/9/00/63/11/48/88/1200x1200/294926608.jpg,Red Promotoras Inmobiliarias,Cód. del anunciante: 305|Cód. Plusvalia: 63114888|Lic Prof: Lic. 1119-P,2 Habitaciones,none,158 m² Total,128 m² Cubierta,2 Baños,2 Estacionamientos,1 Medio baño,A estrenar,<general_features_xml><general_feature><title>Características generales</title><content>Ascensor(es)|: 1|Caseta de guardia|Jardín(es)|Piscina|Terraza|Acabados de Lujo|Jacuzzi|Centros Comerciales Cercanos|Escuelas Cercanas|Vista a la Ciudad|Av. acceso asfaltada|Vista Parque</content></general_feature><general_feature><title>Servicios</title><content>Area de lavandería|Gimnasio|Internet/Wifi|Línea blanca|Guardianía/Seguridad privada|Parqueadero visitantes|Iluminación|Puertas eléctricas|Control de accesos|Video vigilancia|Cisterna|Televisión por cable|Extractor de olores|Generador eléctrico|Servicios básicos (agua/luz)|área de Juegos Infantiles|Parrilla|Areas verdes</content></general_feature><general_feature><title>Ambientes</title><content>Bodega(s)|: 1|Cuarto de máquinas|Estudio|Sala comunal|Urbanización privada|Area de eventos|Sala de estar|page.posting.features.912</content></general_feature><general_feature><title>Exteriores</title><content>Area de BBQ|Balcón(es)|: 1</content></general_feature></general_features_xml>,"Plusvalia->Departamento->Comprar->Pichincha->Quito->Cumbayá->160 m², 2 Dorm, Amplia Área Social, Porche. Piscina, Gimnasio, Bbq, Jacuzzi."
casa,https://www.plusvalia.com/propiedades/1600-m-terreno-independiente-con-casa-sector-63134348.html,"1600 m Terreno Independiente con Casa, Sector Reservorio","CUMBAYA, Cumbayá, Quito",-0.206985267850157,-78.439554733104,20/1/2022,Venta,house_default,USD,45,560000.0,none,0,Casa · 400m² · 3 Habitaciones · 10 Estacionamientos,"Muy bien ubicado, terreno esquinero en sector muy residencial fuera de urbanizacion cerca a todos los servicios. Sector Reservorio|1600 mts planos, elevados con linda vista. Con arboles maduros|Casa de 40 anios, 3 dormitorios y area de bbq y servicio|Zonificacion A37|Lote minimo 1.000 mts, cos 35/70%|Frente total 85 mts|Todos los servicios|Usd 350 x metro",https://img10.naventcdn.com/avisos/9/00/63/13/43/48/1200x1200/295254705.jpg|https://img10.naventcdn.com/avisos/9/00/63/13/43/48/1200x1200/295254703.jpg|https://img10.naventcdn.com/avisos/9/00/63/13/43/48/1200x1200/295312939.jpg|https://img10.naventcdn.com/avisos/9/00/63/13/43/48/1200x1200/295254698.jpg|https://img10.naventcdn.com/avisos/9/00/63/13/43/48/1200x1200/295254700.jpg,Red Promotoras Inmobiliarias,Cód. del anunciante: 2HS988|Cód. Plusvalia: 63134348|Lic Prof: Lic. 1119-P,3 Habitaciones,none,1600 m² Total,400 m² Cubierta,2 Baños,10 Estacionamientos,1 Medio baño,40 Antigüedad,<general_features_xml><general_feature><title>Características generales</title><content>Cerca eléctrica|Jardín(es)|Baño de servicio|: 1|Centros Comerciales Cercanos|Escuelas Cercanas|Av. acceso asfaltada</content></general_feature><general_feature><title>Servicios</title><content>Area de lavandería|Parqueadero visitantes|Iluminación|Video vigilancia|Calefón|Cortinas/Persianas|Servicios básicos (agua/luz)</content></general_feature><general_feature><title>Ambientes</title><content>Bodega(s)|: 1</content></general_feature><general_feature><title>Exteriores</title><content>Area de BBQ|Cerramiento(s)</content></general_feature></general_features_xml>,"Plusvalia->Casa->Comprar->Pichincha->Quito->Cumbayá->1600 m Terreno Independiente con Casa, Sector Reservorio"
casa,https://www.plusvalia.com/propiedades/162-m-sup2--3-dorm-con-bano-privado-cumbaya-57793427.html,"162 m², 3 Dorm con Bano Privado, Cumbayá – Tumbaco. Sector Ventura Mall","Sector Ventura Mall, Cumbayá, Quito",-0.210851,-78.41543200000001,1/2/2021,Venta,house_default,USD,50,217000.0,none,0,Casa · 200m² · 3 Habitaciones · 2 Estacionamientos,"Casas de venta dentro de conjunto privado con excelente ubicación, entre Cumbayá y Tumbaco. 2 pocos metros del Ventura Mall, Scala Shopping y Hospital de los Valles. Fácil acceso desde la Interoceánica y Ruta Viva, buen entorno||• 17 casas modernas casas con excelente ubicación.|• Casas desde 162 m2 de area cubierta: 150 m2 de area interior, 12 m2 de porche mas parqueaderos.|• Sala, comedor, cocina, 3 dormitorios, 3 y 1/2 baños, sala de estar-estudio, bodega y jardines.|• Amplias áreas verdes y jardines independientes.|• Dormitorio Master con vestidor y baño.|• Amplias habitaciones.|• Sala de estar o estudio.|• Conjunto privado con guardianía permanente.|• Estructura Sismo-Resistente.|• Bellos jardines, área Infantil y recreativa.|• Clima templado y un ambiente donde se aprecia el contacto con la naturaleza.||Valor desde 217,000",https://img10.naventcdn.com/avisos/9/00/57/79/34/27/1200x1200/202960627.jpg|https://img10.naventcdn.com/avisos/9/00/57/79/34/27/1200x1200/202960629.jpg|https://img10.naventcdn.com/avisos/9/00/57/79/34/27/1200x1200/202960628.jpg|https://img10.naventcdn.com/avisos/9/00/57/79/34/27/1200x1200/202960633.jpg|https://img10.naventcdn.com/avisos/9/00/57/79/34/27/1200x1200/202960637.jpg,Red Promotoras Inmobiliarias,Cód. del anunciante: vv|Cód. Plusvalia: 57793427|Lic Prof: Lic. 1119-P,3 Habitaciones,none,200 m² Total,200 m² Cubierta,3 Baños,2 Estacionamientos,1 Medio baño,A estrenar,<general_features_xml><general_feature><title>Características generales</title><content>Caseta de guardia|Chimenea|Jardín(es)|Centros Comerciales Cercanos|Escuelas Cercanas</content></general_feature><general_feature><title>Servicios</title><content>Guardianía/Seguridad privada|Televisión por cable|Extractor de olores</content></general_feature><general_feature><title>Ambientes</title><content>Bodega(s)|: 1|Cuarto de máquinas|Estudio|Patio|Urbanización privada|Sala de estar</content></general_feature></general_features_xml>,"Plusvalia->Casa->Comprar->Pichincha->Quito->Cumbayá->162 m², 3 Dorm con Bano Privado, Cumbayá – Tumbaco. Sector Ventura Mall"
departamento,https://www.plusvalia.com/propiedades/182-m-26-m-de-terraza-piso-alto-impecable!-vista-2-63168365.html,"182 m + 26 m de Terraza, Piso Alto Impecable! Vista 2 Dorm. y Estudio","CUMBAYA, Cumbayá, Quito",-0.195741517116085,-78.43436197645117,25/1/2022,Venta,house_default,USD,0,340000.0,none,0,Departamento · 182m² · 2 Habitaciones · 2 Estacionamientos,"Hermosos departamento de 182 mts mas 26 ms de terraza cubierta con chimenea y un balcon adicional de 7 mts|En piso alto con vista, seguridad 24/7 y areas verdes:|Piscina, gimanasio, parque||Sala doble altura, comedor amplio con salida a porche cubierto con chimenea|Banio social|Practica cocina cerrada|Area de maquinas y banio de servicio|Sala de estar con salida a balcon|Dormitorio #1: muy claro con su respectivo banio|Dormitorio Master: con closet y walk in closet mas un banio grande y muy comodo|Estudio, luminioso|2 parqueaderos y bodega|5 anios||Usd 340,000||Facil acceso a todo tipo de servicio, Colegios, Centros Comerciales, Plazas recreacionales, Parques, Iglesia",https://img10.naventcdn.com/avisos/9/00/63/16/83/65/1200x1200/295812157.jpg|https://img10.naventcdn.com/avisos/9/00/63/16/83/65/1200x1200/295812150.jpg|https://img10.naventcdn.com/avisos/9/00/63/16/83/65/1200x1200/295812146.jpg|https://img10.naventcdn.com/avisos/9/00/63/16/83/65/1200x1200/295812153.jpg|https://img10.naventcdn.com/avisos/9/00/63/16/83/65/1200x1200/295812145.jpg,Red Promotoras Inmobiliarias,Cód. del anunciante: 2HTH25|Cód. Plusvalia: 63168365|Lic Prof: Lic. 1119-P,2 Habitaciones,none,216 m² Total,182 m² Cubierta,2 Baños,2 Estacionamientos,2 Medios Baños,4 Antigüedad,<general_features_xml><general_feature><title>Características generales</title><content>Ascensor(es)|: 1|Caseta de guardia|Chimenea|Jardín(es)|Terraza|Baño de servicio|: 1|Acabados de Lujo|Escuelas Cercanas|Vista a la Ciudad|Av. acceso asfaltada|Cerca a Parque (a menos de 2 cdras)|Closet|En condominio</content></general_feature><general_feature><title>Servicios</title><content>Area de lavandería|Gimnasio|Internet/Wifi|Guardianía/Seguridad privada|Parqueadero visitantes|Iluminación|Puertas eléctricas|Control de accesos|Cisterna|Extractor de olores|Generador eléctrico|Cortinas/Persianas|Servicios básicos (agua/luz)|Parrilla|Areas verdes</content></general_feature><general_feature><title>Ambientes</title><content>Bodega(s)|: 1|Cuarto de máquinas|Estudio|Sala comunal|Closets|: 4|Sala de estar|page.posting.features.906|page.posting.features.910</content></general_feature><general_feature><title>Exteriores</title><content>Area de BBQ|Balcón(es)|: 1</content></general_feature></general_features_xml>,"Plusvalia->Departamento->Comprar->Pichincha->Quito->Cumbayá->182 m + 26 m de Terraza, Piso Alto Impecable! Vista 2 Dorm. y Estudio"
departamento,https://www.plusvalia.com/propiedades/2-2-cumbaya-$179.000-edificio-lujo-62713478.html,2 + 2 Cumbaya $179.000 Edificio Lujo,"Inter valles, Cumbayá, Quito",-0.2455905,-78.4306507,18/11/2021,Venta,house_default,USD,48,179000.0,+ USD 128 Condominio/Alícuota,0,Departamento · 102m² · 2 Habitaciones · 2 Estacionamientos,"En exclusiva !!!|Hermoso departamento en el Edificio de lujo, cuenta con guardiania 24 horas, cámaras de seguridad.|A pocos minutos de centros comerciales, bancos, restaurantes, fácil acceso a las principales vías||El edificio cuenta con, planta eléctrica para el edificio y departamentos, gimnasio, yacuzzi, sala de reuniones muy amplia con BBQ, horno de pizza, televisión, cuenta con hermosa vista|Segundo piso|El departamento es de 102 metros de construcción|10 metros de terraza|Sala|Comedor|Cocina abierta (cocina, horno, microondas, lavaplatos)|Dormitorio master con su baño y walking|Dormitorio secundario con su baño y closet|1 baño de visitas|Area de lavadora y secadora|2 Parqueaderos|1 Bodega|Area de parqueo de visitas||Mayor información|Lorena Pérez|REMAX SOL",https://img10.naventcdn.com/avisos/9/00/62/71/34/78/1200x1200/287960201.jpg|https://img10.naventcdn.com/avisos/9/00/62/71/34/78/1200x1200/287960213.jpg|https://img10.naventcdn.com/avisos/9/00/62/71/34/78/1200x1200/287960203.jpg|https://img10.naventcdn.com/avisos/9/00/62/71/34/78/1200x1200/287960206.jpg|https://img10.naventcdn.com/avisos/9/00/62/71/34/78/1200x1200/287960210.jpg,REMAX SOL,Cód. del anunciante: 2HCLJ8|Cód. Plusvalia: 62713478,2 Habitaciones,none,112 m² Total,102 m² Cubierta,2 Baños,2 Estacionamientos,1 Medio baño,A estrenar,<general_features_xml><general_feature><title>Características generales</title><content>Ascensor(es)|: 2|Caseta de guardia|Jardín(es)|Terraza|Baño de servicio|: 1|Cuartos de servicio|Acabados de Lujo|Jacuzzi|Centros Comerciales Cercanos|Escuelas Cercanas|Vista a la Ciudad|Recepción|page.posting.features.937|Pet friendly</content></general_feature><general_feature><title>Servicios</title><content>Area de lavandería|Gimnasio|Internet/Wifi|Guardianía/Seguridad privada|Parqueadero visitantes|Iluminación|Puertas eléctricas|Control de accesos|Video vigilancia|Cisterna|Televisión por cable|Generador eléctrico|Servicios básicos (agua/luz)|área de Juegos Infantiles|Parrilla|Areas verdes</content></general_feature><general_feature><title>Ambientes</title><content>Bodega(s)|: 1|Estudio|Area de eventos|page.posting.features.906</content></general_feature><general_feature><title>Exteriores</title><content>Area de BBQ|Balcón(es)|: 1</content></general_feature></general_features_xml>,Plusvalia->Departamento->Comprar->Pichincha->Quito->Cumbayá->2 + 2 Cumbaya $179.000 Edificio Lujo
