title,title_alternative1,title_alternative2,rating,votes,type_serie,cover,state,followers,categories,related,episodes,description,reactions_like,reactions_funny,reactions_love,reactions_surprise,reactions_angry,reactions_sad,reactions_total
World Trigger,none,none,4.6,769,ANIME,https://www3.animeflv.net/uploads/animes/covers/1623.jpg,FINALIZADO,12653,Acción|Ciencia Ficción|Escolares|Shounen|Sobrenatural,World Trigger 2nd Season (Secuela),73.0,"Una puerta hacia otra dimensión se ha abierto, y desde ella emergen gigantescas e invencibles criaturas que amenazan a toda la humanidad. ¡La única defensa de la Tierra es un misterioso grupo de guerreros que han cooptado la tecnología alienígena para poder luchar contra ellos!",80,12,337,23,8,6,466
Log Horizon 2,none,none,4.7,929,ANIME,https://www3.animeflv.net/uploads/animes/covers/1612.jpg,FINALIZADO,5558,Acción|Fantasía|Juegos|Magia,Log Horizon (Precuela)|Log Horizon: Entaku Houkai (Secuela),25.0,En el Episodio 25 y final de la primera serie de Log Horizon se anunció que la segunda temporada de la serie se estrenará este otoño.,43,6,162,6,2,1,220
Magic Kaito 1412,none,none,4.7,247,ANIME,https://www3.animeflv.net/uploads/animes/covers/1614.jpg,FINALIZADO,2032,Aventuras|Comedia|Romance|Shounen,,24.0,"Kaito Kuroba, un estudiante adolescente normal cuyo padre está a menudo ausente. Cuando su padre muere bajo circunstancias desconocidas, él descubre la identidad secreta de este; un famoso criminal internacional conocido como Criminal Internacional 1412: el Ladrón Fantasma, y que fue asesinado por una misteriosa organización al rechazar ayudarlos en la obtención de la “Gema Pandora”; una piedra mística que se dice que derrama una “lágrima” durante el paso de un cometa en particular (a menudo llamado “Cometa Volea”), y el consumo de ellas otorga la inmortalidad. Él jura prevenir que la organización obtenga la inmortalidad, asumiendo la identidad de su padre y así comienza su búsqueda de la gema. Sus únicas pistas al respecto de la ubicación de esta son: que emite un brillo de color rojo bajo la luna llena y que es doble; una gema escondida dentro de otra más grande. El protagonista investiga y roba famosas y preciosas gemas con raros orígenes de lugares con defensas increíblemente preparadas, y siempre las devuelve luego de la luna llena más cercana.",16,1,92,2,2,0,113
Garo: Honoo no Kokuin,GARO 炎の刻印,none,4.5,222,ANIME,https://www3.animeflv.net/uploads/animes/covers/1611.jpg,FINALIZADO,3209,Acción|Demonios|Fantasía|Magia|Sobrenatural,Garo: Guren no Tsuki (Historia Paralela)|Garo Movie: Divine Flame (Secuela),24.0,"La historia de este anime comienza cuando el consejero del rey inicia una cacería de brujas, lo que pone en peligro a los Caballeros Makai y a los Sacerdotes Makai, quienes deben proteger a la gente. Una Sacerdotisa Makai que ha sido condenada a morir en la hoguera, da a luz a un niño, Leon Lewis. El chico es rescatado por su padre, un Caballero Makai, pero nunca conoce a su madre. Cuando él crece, hereda la Armadura Dorada como descendiente de los Caballeros Dorados. Mientras tanto, el consejero del rey se apodera del país ya que el rey ha enfermado, y el Príncipe Alfonso ha sido exiliado junto a su madre. Él va en busca del legendario Caballero Dorado con la esperanza de recuperar su reino.",30,1,43,3,3,0,80
Donten ni Warau,none,none,4.6,157,ANIME,https://www3.animeflv.net/uploads/animes/covers/1683.jpg,FINALIZADO,1518,Acción|Historico|Shoujo,,12.0,"La historia se desarrolla en el año 11 de la era Meiji. El número de personas en Japón que están insatisfechas con el gobierno se va incrementando debido a la velocidad a la que se occidentaliza el país y a la prohibición de los samuráis. Para poder lidiar con la creciente tasa de crímenes, el gobierno abre una nueva prisión. A los tres hermanos de la familia Kumo se les confía el deber de transportar a esos criminales a la nueva prisión, pero eso no será algo sencillo de hacer.",10,1,45,0,0,0,56
Madan no Ou to Vanadis,魔弾の王と戦姫 (ヴァナディース),none,4.6,898,ANIME,https://www3.animeflv.net/uploads/animes/covers/1613.jpg,FINALIZADO,9849,Aventuras|Ecchi|Fantasía|Harem|Romance,,13.0,"En Europa Occidental durante tiempos de guerra, Eleanor “Ellen” Vertalia, una de las Vanadis de Zchted, dirige la batalla en Brune. Allí hay, siete Vanadis, nombrados así por obtener una poderosa arma del dragón para reinar individualmente siete territorios. El poder de los Vanadis invoca el terror y el miedo de sus enemigos. Un conde al servicio del país de Brune, un joven arquero bajo el nombre de Tigre, experimentó de primera mano el poder Vanadi después de ser derrotado en el campo de batalla por Ellen. Sin embargo, Ellen escogió perdonar su vida después de haber notado sus habilidades, pero a cambio, le pide que le sirva",72,0,187,5,0,3,267
Selector Spread WIXOSS,セレクター spread WIXOSS,none,4.6,110,ANIME,https://www3.animeflv.net/uploads/animes/covers/1615.jpg,FINALIZADO,578,Juegos|Psicológico,Selector Infected WIXOSS (Precuela),12.0,Segunda de temporada de Selector Infected WIXOSS.,8,1,7,0,0,1,17
Ushinawareta Mirai wo Motomete,none,none,4.5,233,ANIME,https://www3.animeflv.net/uploads/animes/covers/1616.jpg,FINALIZADO,2446,Ciencia Ficción|Drama|Escolares|Romance,,13.0,"La historia toma lugar un otoño al comienzo del siglo XXI en el lugar de Uchihama. La Academia Uchihama crece a pasos agigantados. Con la construcción de un nuevo edificio, habrá un último Festival General de Clubes en el antiguo edificio que será cerrado. Los estudiantes prometen dar todo para que este último festival sea un éxito. El Club de Astronomía del protagonista Sou Akiyama está lleno con los grandes nombres que hay por el campus. Justo antes del festival el 1 de octubre, el club recibe una petición del comité ejecutivo de estudiantes para calmar la inquietud que hay entre los estudiantes. Hay reportes de avistamiento de fantasmas, accidentes, enfermedad del sueño, y uno que otro misterioso incidente en el antiguo edificio. Cuando Yui Furukawa, una tranquila chica que se transfirió tardíamente a la escuela, aparece ante Sou, los engranajes del destino comienzan lentamente a moverse.",30,2,36,5,1,4,78
Danna ga Nani wo Itteiru ka Wakaranai Ken,旦那が何を言っているかわからない件,none,4.7,619,ANIME,https://www3.animeflv.net/uploads/animes/covers/1609.jpg,FINALIZADO,7743,Comedia|Recuentos de la vida|Seinen,Danna ga Nani wo Itteiru ka Wakaranai Ken 2 Sure-me (Secuela),13.0,"El anime sigue la vida diaria de una seria, esforzada chica de oficina llamada Kaoru y su esposo otaku, Hajime, que está totalmente inmerso en un gigantesco sistema de anuncios en la internet.",39,18,188,4,5,0,254
Gundam: G no Reconguista,none,none,3.6,43,ANIME,https://www3.animeflv.net/uploads/animes/covers/1610.jpg,FINALIZADO,243,Acción|Ciencia Ficción|Espacial|Mecha,,26.0,"El Siglo Universal, con su historia de colonización y guerras, pasa a la posteridad, y el tiempo sigue su curso. La humanidad entra a una nueva era de paz y tranquilidad llamada el “Siglo Reguild”. Año 1014 R.C. La Torre Capital, un ascensor orbital que conecta la tierra y el espacio. Debido a su rol en suplir a la Tierra de energía mediante la transferencia de Baterías de Fotones desde el espacio, es adorado como un dios. Bellri Zenam, un cadete de la Guardia Capital formado para proteger la Torre, está participando en su primer ejercicio no simulado cuando es atacado por un poderoso y misterioso mobile suit “G-Self”. Él se las arregla para atrapar al G-Self mientras pilota un mobile suit de mantenimiento “Recten”. Sin embargo, al ver al piloto del G-Self, una joven pirata espacial llamada Aida Rayhunton, algo lo desconcierta, al igual que el G-Self que asegura nunca haber visto antes. ¿Por qué el G-Self acepta a Bellri como piloto? La misión de Aida es atacar a la Torre Capital. El destino de Bellri al ser escogido como el piloto del G-Self. La verdad que hará temblar al Siglo Reguild. Todo era el comienzo de la “Reconguista”.",4,1,3,0,4,0,12
