title,title_alternative1,title_alternative2,rating,votes,type_serie,cover,state,followers,categories,related,episodes,description,reactions_like,reactions_funny,reactions_love,reactions_surprise,reactions_angry,reactions_sad,reactions_total
Hetalia: The Beautiful World,ヘタリア The Beautiful World,none,4.7,93,ANIME,https://www3.animeflv.net/uploads/animes/covers/935.jpg,FINALIZADO,618,Comedia|Historico|Parodia,Hetalia World Series (Precuela)|Hetalia: The World Twinkle (Secuela),25.0,"Hetalia The Beautiful World es la quinta entrega de la famosa obra de Hidekaz Kimaruya. Una torpe historia a nivel mundial que habla de ""él"" y sus graciosos amigos. Todo gira entorno al alegre Italia a quien le gustan las chicas, el estricto Alemania y al otaku Japón.",3,3,30,0,0,0,36
Hunter x Hunter: Phantom Rouge,none,none,4.5,246,PELÍCULA,https://www3.animeflv.net/uploads/animes/covers/1095.jpg,FINALIZADO,2269,Acción|Aventuras|Shounen|Superpoderes,Hunter x Hunter (2011) (Historia Completa)|Hunter x Hunter: The Last Mission (Secuela),1.0,"La historia de la nueva película se centrará en el personaje de Kurapika, el cual se convirtió en Hunter para vengarse del Genei Ryodan por la masacre de su clan. En la película a Kurapika le roban los ojos especiales de su clan, pero gracias a Gon, Killua y Leorio, consigue salvar la vida. La Tropa Fantasma aparece ante Kurapika y el resto, los cuales descubrirán la identidad del hombre con la araña número 4.",38,3,339,7,6,10,403
Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?,問題児たちが異世界から来るそうですよ?,"Problem Children Are Coming from Another World, Aren`t They?",4.7,1140,ANIME,https://www3.animeflv.net/uploads/animes/covers/928.jpg,FINALIZADO,10389,Comedia|Fantasía|Sobrenatural,,11.0,"En la historia, cada personaje recibe un sobre, Izayoi Sakamaki, Asuka Kudou y You Kasugabe, cada uno de ellos posee grandes poderes Psíquicos por lo que se aburren de la vida diaria. Cuando ellos abren su sobre, se sorprenden al ver que el paisaje que los rodea cambia por uno totalmente desconocido. Ellos han sido convocados por Usagi Kuro para ayudarla a derrocar al Rey Demonio de la comunidad ?No Name?.",71,20,259,5,5,5,365
Chihayafuru Second Season,ちはやふる 2,none,4.5,357,ANIME,https://www3.animeflv.net/uploads/animes/covers/929.jpg,FINALIZADO,1054,Deportes|Drama|Josei|Juegos|Recuentos de la vida,Chihayafuru (Precuela),26.0,"Continuación de la primer temporada. Toda su vida Chihaya ha soñado con ver a su hermana mayor convertirse en la modelo Nº1 de Japón. Eso hasta que un estudiante nuevo llamado Arata le explica que un sueño es aquel en el cual uno mismo trabaja. Esta afirmación cambia el pensamiento de Chihaya y gracias a él descubre su verdadero sueño y pasión, el ""Karuta"" un juego de cartas tradicional de Japón. Ella descubre que tiene un talento innato para este juego y ahora su sueño será ser la mejor jugadora del mundo.",4,2,31,1,2,0,40
Vividred Operation,ビビッドレッド・オペレーション,none,4.3,48,ANIME,https://www3.animeflv.net/uploads/animes/covers/927.jpg,FINALIZADO,352,Acción|Ciencia Ficción|Ecchi,,12.0,"Historia original de ciencia ficción que tiene a una chica de 14 años como protagonista, la historia toma lugar en una pacifica isla llena de naturaleza y tecnología.",4,2,15,1,0,0,22
Kotoura-san,琴浦さん,none,4.7,1396,ANIME,https://www3.animeflv.net/uploads/animes/covers/924.jpg,FINALIZADO,11888,Comedia|Drama|Escolares|Romance,,12.0,"Una historia fantástica que sigue a Kotoura Haruka, una chica de 15 años que pude leer mentes, y que recientemente se transfirió de escuela. Al llegar a su nueva escuela entra al club de investigación ESP",91,24,620,6,5,79,825
Boku wa Tomodachi ga Sukunai NEXT,僕は友達が少ないNEXT,Haganai Next,4.5,625,ANIME,https://www3.animeflv.net/uploads/animes/covers/925.jpg,FINALIZADO,4967,Comedia|Escolares|Harem|Recuentos de la vida|Romance|Seinen,Boku wa Tomodachi ga Sukunai (Precuela),12.0,"Segunda Temporada de la Serie: Kodaka Hasegawa llega a un nuevo instituto y se ve incapaz de hacer amigos, sobre todo porque la gente al ver su pelo rubio piensa que es un delincuente. Conocerá a Yozora, una chica con una amiga imaginaria, y juntos formarán un nuevo club pensado para todo aquel que no tenga amigos.",20,11,115,1,9,2,158
Sasami-san@Ganbaranai,ささみさん@がんばらない,none,4.1,71,ANIME,https://www3.animeflv.net/uploads/animes/covers/926.jpg,FINALIZADO,592,Comedia|Romance|Sobrenatural,,12.0,"La historia gira en torno a Sasami, una hikikomori que carece de la más mínima motivación ante la vida, y su hermano, que se ocupa de ella como si de un esclavo se tratase. El único contacto que tiene Sasami con el mundo exterior es a través de la ?herramienta de vigilancia filial? instalada en su ordenador. Así puede observar como se desarrolla la extraña relación entre su hermano y las tres hermanas Yagami, digna de una comedia romántica. Y por si eso fuera poco, varios dioses empiezan a causar fenómenos extraños en sus vidas.",14,1,13,0,2,0,30
Tamako Market,たまこまーけっと,none,4.7,719,ANIME,https://www3.animeflv.net/uploads/animes/covers/922.jpg,FINALIZADO,7471,Comedia|Recuentos de la vida,Tamako Love Story (Secuela),12.0,"Tamako es una chica de primer año de instituto a la que le encantan los mochis, y no es para menos, ya que su familia regenta un local de mochis en el distrito comercial del pueblo. La muchacha disfruta de la vida con sus amigas Midori y Kanna en el club de badminton a la vez que ayuda en el negocio familiar y crea nuevos tipos de mochi. Es amiga de la infancia de Mochikura, el hijo de una tienda rival de mochis cercana, pero cuando sus padres se encuentran, se pelean como el perro y el gato. En Nochevieja, el día del cumpleaños de Tamako, Mochikura decide entregarle a la muchacha un regalo que lleva años intentando darle. De repente aparece en el barrio comercial un loro magnífico y da comienzo un año como ninguno anterior.",49,8,291,10,2,8,368
GJ-bu,GJ部,none,4.5,205,ANIME,https://www3.animeflv.net/uploads/animes/covers/923.jpg,FINALIZADO,2143,Comedia|Escolares|Recuentos de la vida,GJ-bu 2 (Secuela),12.0,"Spin-off de la novela homónima escrita por Shin Araki. Kyoro es forzado a entrar al ?Good Job Club?, club de la escuela que se dedica a nada en particular, excepto a pasarlo bien y disfrutar de la vida estudiantil. Dicho club esta conformado por 4 peculiares chicas. Mao, la pequeña pero energética presidenta del club; Megumi, hermana de Mao aunque contrario a ella, posee un gran corazón; Shion, con una carencia fatal de sentido común; y Kirara, misteriosa chica que siempre tiene hambre.",20,1,47,1,2,0,71
