title,title_alternative1,title_alternative2,rating,votes,type_serie,cover,state,followers,categories,related,episodes,description,reactions_like,reactions_funny,reactions_love,reactions_surprise,reactions_angry,reactions_sad,reactions_total
Yurumate3Dei,ゆるめいつ3でぃ,Yurumates3Dei,4.6,11,ANIME,https://www3.animeflv.net/uploads/animes/covers/772.jpg,FINALIZADO,64,Comedia|Recuentos de la vida|Seinen,,26.0,"Se centra en las vivencias de tres chicas de 18 años, Yurume, Kumi y Sae que viven en un antiguo complejo de apartamentos llamado Maison du Wish, a las afueras de Tokyo, con la intención de prepararse el examen a la universidad.",4,1,2,0,0,0,7
Saint Seiya Omega,聖闘士星矢Ω[セイントセイヤオメガ],none,4.2,297,ANIME,https://www3.animeflv.net/uploads/animes/covers/752.jpg,FINALIZADO,2136,Acción|Aventuras|Fantasía|Shounen,,97.0,"Athena es secuestrada por el Dios Marte en pleno Santuario, el cual en su ataque lanza una columna de piedra contra un pequeño bebé llamado Kouga. Por suerte, el caballero de Sagitario, Seiya, aparece y salva al niño de una muerte segura. Kouga será el nuevo caballero de Pegaso y se enfrentará junto a sus amigos a los planes de Marte.",44,7,68,3,9,3,134
Furusato Saisei: Nihon no Mukashi Banashi,日本むかしばなし わらしべ長者,none,4.1,71,ANIME,https://www3.animeflv.net/uploads/animes/covers/762.jpg,FINALIZADO,257,Historico|Infantil|Sobrenatural,Furusato Meguri Nippon no Mukashibanashi (Secuela),258.0,"Al igual que en todas las culturas, los niños Japoneses crecen escuchando constantemente historias contadas por sus abuelos y abuelas. El niño que nació de un melocotón; la princesa de la luna que es descubierta dentro de un bambú; el viejo que puede hacer florecer un árbol de sakuras muerto, entre otras. Estas historias cortas que enseñan a los niños a ver ambos lados de la vida han pasado valores tradicionales de generación en generación.",8,1,8,2,2,0,21
Uchuu Kyoudai,宇宙兄弟,Space Brothers,4.2,229,ANIME,https://www3.animeflv.net/uploads/animes/covers/753.jpg,FINALIZADO,524,Ciencia Ficción|Comedia|Espacial|Recuentos de la vida|Seinen,,99.0,"Una noche en el año 2006, cuando eran jovenes, los dos hermanos Mutta (el mayor) y Hibito (el menor) vieron un OVNI que hiba en dirección hacia la luna. Esa misma noche decidieron que ellos se convertirian en astronautas y irian al espacio exterior. En el año 2050, Hibito se ha convertido en astronauta y que ademas está incluido en una misión que irá a la luna. En cambio Mutta siguió una carrera mas tradicional, y terminó trabajando en una compañia de fabricación de automoviles. Sin embargo, Mutta termina arruinando su carrera por ciertos problemas que tiene con su jefe. Ahora bien, no sólo perdió su trabajo si no que fue incluido en la lista negra de la industria laboral. Pueda ser que esta sea su unica oportunidad que tenga Mutta de volver a perseguir su sueño de la infancia y convertirse en astronauta, al igual que su perqueño hermano Hibito.",2,0,19,1,0,1,23
Shiba Inuko-san,しばいぬ子さん,none,4.3,39,ANIME,https://www3.animeflv.net/uploads/animes/covers/761.jpg,FINALIZADO,131,Comedia,,26.0,"Inuko Shiba parece una chica de secundaria normal y corriente, pero su amiga Chako Ishibashi no deja de preguntarse si Inuko es en realidad un perro. Sin embargo, la muchacha no se lo pregunta por no estropear su amistad, así que procura callarse sus dudas.",4,2,3,2,0,0,11
Hiiro no Kakera,君に届け 2ND SEASON,none,4.4,237,ANIME,https://www3.animeflv.net/uploads/animes/covers/746.jpg,FINALIZADO,3096,Fantasía|Romance|Shoujo|Sobrenatural,Hiiro no Kakera Segunda Temporada (Precuela),13.0,"La historia del juego se basa en Tamaki Kasuga, una estudiante de 17 años, cuando sus padres se tienen que mudarse por el trabajo, Tamaki, se va a vivir con su madre a las montañas junto con su abuela. Un día de regreso a casa se encuentra con extrañas criaturas, siendo salvada por un misterioso chico, Takuma Onizaki, es uno de los 5 Guardianes de Tamayohime, que ella irá conociendo.",21,1,111,3,5,0,141
Ginga e Kickoff!!,銀河へキックオフ!!,none,4.2,183,ANIME,https://www3.animeflv.net/uploads/animes/covers/786.jpg,FINALIZADO,717,Deportes|Shounen,,39.0,"La historia sigue a un muchacho que estaba en un equipo de futbol que tuvo que ser disuelto por falta de miembros. Sin embargo, cuando el muchacho conoce a una futbolista profesional, dedice intentar recuperar a su viejo equipo.",13,1,36,0,1,1,52
A Channel Smile,Aチャンネル+smile,none,4.6,73,OVA,https://www3.animeflv.net/uploads/animes/covers/776.jpg,FINALIZADO,292,Comedia|Escolares|Recuentos de la vida|Seinen,A Channel (Historia Principal),2.0,OVA de la serie A-Channel,2,0,17,1,0,0,20
High School DxD BorN Specials,none,none,4.6,292,OVA,https://www3.animeflv.net/uploads/animes/covers/2147.jpg,FINALIZADO,2885,Comedia|Demonios|Ecchi|Escolares|Harem|Romance,,6.0,,20,9,175,3,0,0,207
Holy Knight,none,none,4.4,144,OVA,https://www3.animeflv.net/uploads/animes/covers/798.jpg,FINALIZADO,1313,Ecchi|Escolares|Fantasía|Seinen|Sobrenatural|Vampiros,,2.0,"Mizumura es un huérfano cualquiera que va a una escuela de misionarios en Tokyo. Su vida parece de lo más normal, al menos hasta que una misteriosa chica medio Rumana es transferida a su misma escuela. Resulta que el muchacho no es tan corriente como parecía y que en realidad es un cazador de vampiros además de ser el sucesor del linaje de la casa Romualdo.",24,1,37,10,13,5,90
