title,title_alternative1,title_alternative2,rating,votes,type_serie,cover,state,followers,categories,related,episodes,description,reactions_like,reactions_funny,reactions_love,reactions_surprise,reactions_angry,reactions_sad,reactions_total
Shounen Maid,none,none,4.6,246,ANIME,https://www3.animeflv.net/uploads/animes/covers/2450.jpg,FINALIZADO,1941,Comedia|Recuentos de la vida|Shoujo,,12.0,"Hihiro Komiya es un enérgico estudiante de colegio que vive con su madre. A él se le dan muy bien las tares del hogar, y el lema de su madre es, Sin trabajo, no hay comida. Tras el repentino fallecimiento de su madre, un hombre que dice ser su tío, Madoka Taketori, le invita a vivir con él. Chihiro le rechaza en un principio, pero cuando ve el desastre que tiene por casa, comienza a limpiarla. Entonces, Madoka le ofrece un trato: si va a vivir con él, a cambio el joven se encargará de la limpieza. Chihiro acepta el trato, pero, de repente, se ve vestido como una maid.",12,2,79,1,1,1,96
Anne Happy♪,none,none,4.7,218,ANIME,https://www3.animeflv.net/uploads/animes/covers/2448.jpg,FINALIZADO,1237,Comedia|Escolares|Recuentos de la vida,,12.0,"La historia está protagonizada por la clase 1-7 de la Academia Tennogofune, donde se reúnen todos los estudiantes con “mal karma” o mala suerte. Hibari, que estudia en esta clase, conoce a la desafortunada Hanako y a la siempre enferma Botan en su primer día de clase, y juntas intentarán convertir su vida escolar en una vida feliz.",11,4,40,0,0,0,55
Onigiri,none,none,4.3,45,ANIME,https://www3.animeflv.net/uploads/animes/covers/2445.jpg,FINALIZADO,616,Comedia|Fantasía|Sobrenatural,,13.0,,6,1,12,2,2,1,24
Bungou Stray Dogs,none,none,4.7,2089,ANIME,https://www3.animeflv.net/uploads/animes/covers/2446.jpg,FINALIZADO,32614,Acción|Comedia|Misterio|Seinen|Sobrenatural,Bungou Stray Dogs 2nd Season (Secuela),12.0,"La historia está protagonizada por una liga de figuras literarias con poderes sobrenaturales, como Ryunosuke Akutagawa, que en la vida real escribió varias novelas y en el manga tiene el poder de transformar su capa en una especie de monstruo. Él y sus compañeros escritores se dedicarán a resolver misterios como parte de la “Agencia Armada de Detectives”. Otros autores japoneses que aparecen en la obra son Rampo Edogawa, Kenji Miyazawa, Osamu Dazai, Atsushi Nakajima, Akiko Yoshino, Yukito Ayatsuji(Another),Natsuhiko Kyogoku (Loups-Garous), Agatha Christie o Dan Brown.",204,62,2044,38,24,18,2390
Phantom of the Kill: Zero kara no Hangyaku,none,none,4.2,115,PELÍCULA,https://www3.animeflv.net/uploads/animes/covers/2618.jpg,FINALIZADO,1089,Acción|Aventuras|Fantasía,,1.0,"Este filme es parte de una gran campaña publicitaria llamada “Project Zero”, que también incluirá próximamente una experiencia de realidad virtual, una novela ligera el 26 de diciembre escrita por Takaaki Kaima e ilustrada por Mai.E, una figura de un personaje para este verano, un álbum con la banda sonora para el 24 de diciembre, y un libro de arte.",22,2,20,7,3,2,56
Kuromukuro,none,none,4.6,349,ANIME,https://www3.animeflv.net/uploads/animes/covers/2447.jpg,FINALIZADO,1963,Acción|Ciencia Ficción|Mecha,,26.0,"La historia de la serie se desarrolla en una institución de investigación robótica situada cerca de la famosa Represa de Kurobe de la Prefectura de Toyama en verano de 2016. Durante la construcción original de la presa se descubrió un antiguo artefacto, con lo que se creó el Instituto de Investigación de Kurobe de las Naciones Unidas para su estudio. Intelectuales de todo el mundo se reunieron en el lugar para estudiar el objeto, y los hijos de esos intelectuales dan clases en un instituto especial en el Monte Tate, incluyendo la hija del director del instituto. La historia dará comienzo cuando cierto samurái solitario despierte de nuevo.",15,2,56,6,0,1,80
Netoge no Yome wa Onnanoko ja Nai to Omotta?,none,none,4.5,1459,ANIME,https://www3.animeflv.net/uploads/animes/covers/2449.jpg,FINALIZADO,18428,Comedia|Ecchi|Escolares|Juegos|Romance,,12.0,"Hideki Nishimura es un joven que se confesó a quien creía que era una chica en Internet, pero resultó ser un chico. Este hecho le marcó y lo guarda como un angustioso recuerdo que no cuenta a nadie por lo que juró no creer nunca más a nadie en Internet. Sin embargo, un día una joven de Internet se le confiesa a él, y resulta ser una hermosa muchacha llamada Ako Tamaki. Ako no sabe distinguir la realidad del mundo online, es bastante solitaria y tiene graves problemas de comunicación. Así pues, Hideki y sus amigos de la guild trabajarán juntos para ayudarla.",111,39,590,6,10,2,758
Sousei no Onmyouji,none,none,4.7,2581,ANIME,https://www3.animeflv.net/uploads/animes/covers/2441.jpg,FINALIZADO,20198,Acción|Fantasía|Shounen|Sobrenatural,,50.0,"Rokuro procede de una familia de exorcistas, aunque preferiría ser futbolista, cantante o cualquier otra cosa antes que exorcista. Sin embargo la llegada de una chica llamada Benio despierta su espíritu competitivo y decide aprovechar su potencial como exorcista. Al final, al trabajar juntos se ganan el título de “Exorcistas de las Estrellas Gemelas”, y estarán destinados a casarse para tener un hijo que será el guerrero espiritual definitivo.",139,20,857,26,5,11,1058
Super Lovers,none,none,4.5,958,ANIME,https://www3.animeflv.net/uploads/animes/covers/2444.jpg,FINALIZADO,8615,Comedia|Drama|Recuentos de la vida|Romance|Yaoi,Super Lovers 2 (Secuela)|Super Lovers OVA (Secuela),10.0,"La historia de Super Lovers está protagonizada por un chico de instituto llamado Haru y su madre, que viven en el extranjero. Su madre le ordena que cuide y “civilice” a su hermano adoptivo Ren, un joven salvaje al que no le gusta hablar con las personas. Aunque su relación al inicio no es precisamente un camino de rosas, al ir madurando comienzan a comprenderse el uno al otro.",105,19,1516,23,38,15,1716
Bishoujo Yuugi Unit Crane Game Girls,none,none,2.6,38,ANIME,https://www3.animeflv.net/uploads/animes/covers/2443.jpg,FINALIZADO,62,Comedia|Espacial|Juegos,Bishoujo Yuugi Unit Crane Game Girls Galaxy (Secuela),13.0,,3,0,0,1,2,1,7
