title,title_alternative1,title_alternative2,rating,votes,type_serie,cover,state,followers,categories,related,episodes,description,reactions_like,reactions_funny,reactions_love,reactions_surprise,reactions_angry,reactions_sad,reactions_total
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,Mushoku Tensei: Jobless Reincarnation Part 2,無職転生 ～異世界行ったら本気だす～,4.8,4347,ANIME,https://www3.animeflv.net/uploads/animes/covers/3523.jpg,FINALIZADO,32457,Drama|Ecchi|Fantasía,Mushoku Tensei: Isekai Ittara Honki Dasu (Precuela),12.0,Segunda parte de Mushoku Tensei: Isekai Ittara Honki Dasu,454,50,3116,56,30,45,3751
86 2nd Season,Eighty Six 2nd Season,86―エイティシックス―,4.8,1874,ANIME,https://www3.animeflv.net/uploads/animes/covers/3520.jpg,FINALIZADO,10834,Acción|Drama|Militar,86 - Eighty Six (Precuela),12.0,"La República de San Magnolia. Durante mucho tiempo, este país ha sido sitiado por su vecino, el Imperio Giadiano, que creó una serie de drones no tripulados llamados Legión. Después de años de minuciosa investigación, la República finalmente desarrolló sus propios drones autónomos, convirtiendo la lucha unilateral en una guerra sin víctimas, o al menos, eso es lo que afirma el gobierno. En verdad, no existe una guerra incruenta. Más allá de las murallas que protegen los ochenta y cinco territorios de la República se encuentra el “inexistente” “Sector Eighty-Six”. Los hombres y mujeres jóvenes de esta tierra abandonada son marcados como “Los Eighty-Six” y, despojados de su humanidad, conducen las armas “no tripuladas” a la batalla… Shinn dirige las acciones de un destacamento de jóvenes Eighty-Six en el campo de batalla. Lena es una “manipuladora” que comanda el destacamento desde la parte trasera remota con la ayuda de una comunicación especial. ¡Comienza la historia de despedida de la lucha severa y triste de estos dos!",113,8,1121,18,5,13,1278
Muteking the Dancing Hero,MUTEKING THE Dancing HERO,none,2.9,288,ANIME,https://www3.animeflv.net/uploads/animes/covers/3521.jpg,FINALIZADO,514,Acción|Ciencia Ficción|Comedia,,12.0,"Serie reboot del anime Todemo Senshi Muteking, emitido originalmente en el año 1980 en Japón y que contó con cincuenta y seis episodios. La serie original tuvo lugar en una ciudad inspirada en San Francisco en ese momento, y contó con un protagonista que podía transformarse en “Muteking” para luchar contra alienígenas malvados.",27,14,55,5,17,12,130
