title,title_alternative1,title_alternative2,rating,votes,type_serie,cover,state,followers,categories,related,episodes,description,reactions_like,reactions_funny,reactions_love,reactions_surprise,reactions_angry,reactions_sad,reactions_total
Bakemonogatari,化物語,none,4.5,1595,ANIME,https://www3.animeflv.net/uploads/animes/covers/125.jpg,FINALIZADO,15408,Misterio|Romance|Sobrenatural|Vampiros,Nisemonogatari (Secuela)|Nekomonogatari (Kuro) (Precuela)|Koyomimonogatari (Historia Paralela),15.0,"La serie se centra en Komoyi Araragi, un estudiante de tercer año de secundaria, quien trata de vivir su vida normal de nuevo tras haber sido un vampiro. Un día, una compañera de clase llamada Hitagi Senj?gahara,(quien tiene la fama de no hablar con nadie), se cae de las escaleras y aterriza en los brazos de Araragi El se percata de que Hitagi pesa muy poco para su estatura. Tras una charla con ella, Komoyi le ofrece su ayuda y le presenta a Meme Oshino, un hombre de mediana edad quien ayudo a nuestro protagonista a volver a ser humano. A lo largo de la serie Araragi comienza a conocer casos de otras personas que han tenido encuentros paranormales como los de el y decide ayudarles (curiosamente son puras chicas).",76,10,358,17,14,10,485
Aoi Hana,青い花,Sweet Blue Flowers,4.3,141,ANIME,https://www3.animeflv.net/uploads/animes/covers/124.jpg,FINALIZADO,1131,Recuentos de la vida|Romance|Yuri,,11.0,"Fumi y Akira eran íntimas amigas de infancia hasta que Fumi tuvo que trasladarse. Tras diez años sin tener contacto una con otra, ambas se reencuentran como estudiantes de primer año de escuela superior. Las dos se resisten a reconectar después de tantos cambios, y ambas se encargan de las tribulaciones de la escuela superior a veces de forma independiente y otras ayudándose la una a la otra",24,1,44,1,4,5,79
Umineko no Naku Koro ni,うみねこのなく頃に,none,4.4,253,ANIME,https://www3.animeflv.net/uploads/animes/covers/345.jpg,FINALIZADO,2222,Misterio|Psicológico|Sobrenatural|Terror,,26.0,"Umineko no naku koro ni (うみねこのなく頃に, lit. Cuando las Gaviotas Lloran) es el tercer titulo de la saga ""When they Cry"", precedida por ""Higurashi no naku koro ni"" y ""Higurashi no naku koro ni Kai"". Esta Historia transcurre en el año 1986, durante el plazo de tiempo del 4 de octubre y el 5 de octubre en una isla aislada llamada Rokkenjima (六軒島). El jefe de una familia acaudalada, Kinzo Ushiromiya, está cerca de la muerte y sus familiares llegan a la isla para hablar de como la herencia será dividida una vez que él muera. Poco después de su arribo, un tifón los deja incomunicados con el exterior, y una serie de misteriosas muertes comienzan a ocurrir... ¿Son actos humanos o de alguna fuerza sobrenatural? Producida por: Studio Deen Director: Chiaki Kon Basado en",37,2,72,12,3,1,127
Fight Ippatsu! Juden-chan!!,ファイト一発! 充電ちゃん!!,none,4.5,88,ANIME,https://www3.animeflv.net/uploads/animes/covers/132.jpg,FINALIZADO,1304,Ciencia Ficción|Comedia|Ecchi|Shounen,,18.0,"Juden-chan es el nombre dado a un grupo de muchachas especiales quien usan la Electricidad para animar a la gente suicida en una dimensión alterna. Plug (nuestra heroína) tiene un dispositivo que puede decir el nivel de depresión de la gente (A seria el peor, F seria el que esta más feliz). Ya que ellos son de una dimensión diferente, ella puede volar, pasar a través de las cosas, y sacar enchufes mágicos de postes transformadores de poder. Plug intenta hacerlo lo mejor posible, pero encuentra a un muchacho que puede verla y tocarla (por lo general con un bate de béisbol). Lamentablemente para Plug, su hermana es su tarea y ella tiene que superarlo para 'cargarla'. Basado en un seinen manga de Ditama Bow (autor tambien de Mahoromatic y KissxSis), publicado en Comic Gum.",11,5,28,0,1,0,45
Umi Monogatari ~Anata ga Ite Kureta Koto~,うみものがたり ～あなたがいてくれたコト～,none,4.2,38,ANIME,https://www3.animeflv.net/uploads/animes/covers/344.jpg,FINALIZADO,437,Drama|Fantasía|Magia|Romance|Sobrenatural,,12.0,"La historia se centra en Marin y Urin, dos hermanas ""puras"" que viven junto al pescado en el mar, pero se mueren de ganas de estar en el mundo más allá del agua y sobre la tierra. Un día, un toque(anillo) hermoso se cae en medio del mar, y Marin y Urin lo recupera. Los dos deciden dejar su mundo waterbound por primera vez para entregar el toque(anillo). Después de un viaje arduo, ellos encuentran por casualidad una isla aislada donde una muchacha de instituto llamó vidas de Kanon. El encuentro entre Marin y Kanon - la doncella del mar y la doncella de los cielos - despierta un poder ocultado como el mundo es amenazado por una oscuridad de envolvimiento.",2,0,6,0,0,0,8
Saint Seiya: The Lost Canvas,聖闘士星矢 THE LOST CANVAS 冥王神話,Saint Seiya The Lost Canvas,4.5,467,ANIME,https://www3.animeflv.net/uploads/animes/covers/330.jpg,FINALIZADO,3218,Acción|Artes Marciales|Aventuras|Shounen|Sobrenatural|Superpoderes,Saint Seiya (Secuela),26.0,"Ambientada en la era de los dioses, cuando Atenea y Pandora jugaban fichas importantes sobre la vida de las personas. Esta serie narra la vida de dos jovencitos, Tenma y Alone, dos niños huérfanos que viven en un pueblo italiano y que son separados cuando Pandora le dice a Alone que el es la reencarnacion de Hades, en ese mismo instante Tenma es llevado al santuario y se da cuenta que es la reencarnación de pegaso. Alli conoce a Sasha, la reencarnación de Atenea. Al poco tiempo llega la noticia de que el dios Hades a despertado justo a inicios de la guerra Santa.",40,4,138,4,4,4,194
Candy Boy Episode: EX02 - Shiawase Kyouyuu Riron,none,none,4.3,59,OVA,https://www3.animeflv.net/uploads/animes/covers/2161.jpg,FINALIZADO,356,Recuentos de la vida|Romance|Yuri,Candy Boy (Precuela),1.0,Último episodio de Candy Boy.,8,0,26,0,0,1,35
Minami-ke Betsubara,none,none,4.8,24,OVA,https://www3.animeflv.net/uploads/animes/covers/1750.jpg,FINALIZADO,95,Comedia|Recuentos de la vida,Minami-ke: Okaeri (Historia Principal),1.0,"Betsubara, un OAD de Minami-ke que se regalaba con el sexto volumen del manga homónimo. Cuatro historietas cortas para seguir disfrutando de las tres hermanas.",2,0,5,0,0,0,7
Weiß Survive,none,none,4.1,32,ANIME,https://www3.animeflv.net/uploads/animes/covers/1688.jpg,FINALIZADO,609,Comedia|Ecchi|Juegos,Weiß Survive R (Secuela),16.0,"A Takeshi no le va bien en la escuela. Por eso le pide a una amiga de él, Michi, que le ayude. Sin embargo, mientras están estudiando, son absorbidos a un mundo desconocido y, para regresar, ¡tendrán que ganar duelos de cartas!",6,5,7,3,3,1,25
Utawarerumono OVA,none,none,4.8,33,OVA,https://www3.animeflv.net/uploads/animes/covers/2297.jpg,FINALIZADO,180,Acción|Comedia|Fantasía,Utawarerumono (Historia Principal),3.0,"OVAs que transcurren a mitad de la serie de televisión, con un tono bastante más desenfadado que la serie y con un cambio de diseño de personajes.",1,0,4,0,0,0,5
