title,title_alternative1,title_alternative2,rating,votes,type_serie,cover,state,followers,categories,related,episodes,description,reactions_like,reactions_funny,reactions_love,reactions_surprise,reactions_angry,reactions_sad,reactions_total
Marmalade Boy Movie,none,none,4.6,88,PELÍCULA,https://www3.animeflv.net/uploads/animes/covers/1715.jpg,FINALIZADO,609,Romance|Shoujo,Marmalade Boy (Secuela),1.0,"a historia es un pequeño preludio a la serie, que transcurre antes de que Miki conozca a Yuu. En él se explica por qué Yuu besa a Miki en el primer capítulo de la serie. La película se centra en el personaje de Yuu y en cómo persigue durante todo el día a Miki sin que ella ni Meiko, que está con ella, se den cuenta. Yuu se interesa por Miki, una niña que se muestra alegre y natural, impulsiva y dulce.",14,0,65,2,4,0,85
Dragon Ball Z Pelicula 12: La fusión de Goku y Vegeta,none,none,4.1,241,PELÍCULA,https://www3.animeflv.net/uploads/animes/covers/1113.jpg,FINALIZADO,1124,Aventuras|Ciencia Ficción|Comedia|Fantasía|Shounen,,1.0,En el otro mundo un un cuidador de espiritus comete un error y toda la maldad extraida de los espiritus se mete en él... Ahora goku y vegeta deberan unir sus poderes para derrotar a Janenba,46,3,181,6,4,7,247
Kishin Douji Zenki,none,none,4.6,103,ANIME,https://www3.animeflv.net/uploads/animes/covers/2049.jpg,FINALIZADO,829,Acción|Comedia|Drama|Ecchi|Fantasía|Magia|Shounen|Terror,,51.0,"Hace tiempos ancestrales, un demonio llamado Karma intentó destruir el mundo junto a sus semillas del mal, pero gracias a la fuerza de un guerrero guardián llamado Zenki, el mundo volvió a la normalidad tras numerosas batallas. Ozune Enno, maestro del templo Enno en esos años, sello a la bestia guardiana dentro de un pilar debido a su salvajismo, y cuando fuera necesario uno de sus descendientes volvería a convocarlo para que los ayudase. Pero tras 1.200 años de paz en el mundo, extrañamente las semillas del mal vuelven a aparecer y atacar a las personas de la ciudad de Shikigami-Cho, donde habita Chiaki Enno (conocida en inglés como Cherry), y ella es la única que puede convocar nuevamente al guerrero Zenki para volver a poner las cosas en orden, ya que es uno de los únicos descendientes directos que quedan vivos dentro de la dinastía Enno, y es ayudada por su abuela y su tío abuelo.",8,0,25,1,0,0,34
Aozora Shoujo-tai,none,none,4.4,21,OVA,https://www3.animeflv.net/uploads/animes/covers/2398.jpg,FINALIZADO,112,Acción|Comedia|Militar|Romance|Shounen,,7.0,"Aozora Shoujotai (Escuadrón del Cielo Azul) es una historia sobre Isurugi Takuya, del servicio técnico 801 TTS (Escuadrón Táctico de Entrenamiento). En el primer día en 801 TTS Takuya fue presentado a los otros miembros del escuadrón, que eran todos pilotos femeninos. Cuando llegó a la base, Saginomiya Sakura lo subió en su jeep, recorrieron juntos parte del camino hasta el edificio del 801 TTS. Mientras Takuya se preguntaba acerca del edificio medio derruido, fue atacado por un murciélago chupa-sangre, que resultó ser el animal de compañía de Shimorenjaku Yoko. Tras subir por las escaleras y abrir la puerta de la habitación de Haneda Miyuki, se encontró a Miyuki vistiéndose. Entonces corrió hacia Mitaka Arisa, que se estaba duchando. Arisa y Miyuki golpearon rápidamente a Takuya. El 801 TTS era un equipo acróbata femenino. Cuando Takuya oyó esto quedó muy excitado. Pero todo era una farsa. El 801 TTS era donde todos los alborotadores eran enviados. Haneda Miyuki había golpeado a su oficial superior en su escuadrón anterior. Mitaka Arisa se metía siempre en peleas. Saginomiya Sakura era jugador. Shimorenjaku Yoko era un mal piloto. ¿Qué era lo malo en Isurugi Takuya? él era... un otaku.",4,0,0,1,1,0,6
Magic Knight Rayearth,none,none,4.5,126,ANIME,https://www3.animeflv.net/uploads/animes/covers/2006.jpg,FINALIZADO,1161,Aventuras|Comedia|Drama|Fantasía|Magia|Mecha|Romance|Shoujo,Magic Knight Rayearth II (Secuela),20.0,"Cuenta la historia de como tres chicas llamadas: Hikaru, Fuu y Umi que se conocen en la Torre de Tokio y misteriosamente van a parar a otro mundo Cephiro. Y para poder volver a su mundo antes tienen que salvar este.",11,1,42,1,2,1,58
Macross 7,none,none,4.1,54,ANIME,https://www3.animeflv.net/uploads/animes/covers/1585.jpg,FINALIZADO,323,Acción|Aventuras|Ciencia Ficción|Comedia|Drama|Mecha|Militar|Música|Romance|Shounen,Macross Plus (Precuela)|Macross 7: Ginga ga Ore wo Yonde Iru! (Historia Paralela)|Macross FB7: Ginga Rukon - Ore no Uta wo Kike! (Resumen)|Macross Dynamite 7 (Secuela),49.0,"Treinta y cinco años después de la batalla contra la Flota Principal de Boldoza (1era saga de macross), la nueva flota Macross 7 emprende un viaje para adentrarse en la galaxia. Los supervivientes de la Tierra llevan a cabo un plan para asegurar su supervivencia, la cual consiste en la migracion y colonización de otros planetas, tratando de extender a la humanidad por toda la galaxia (Flota del Macross 7). Mientras tanto, la colonización de planetas cercanos (como la flota Macross Plus's Eden) contrarrestarían la explosión demográfica y la escasez de recursos. La historia se centra 7 años mas tarde desde q el Capitán Maximillian Jenius dirigió la flota de emigración de la Tierra. En la Ciudad 7, la principal concentración de población de la nave insignia de la Macross 7, la banda de rock Fire Bomber se prepara para su primer concierto en directo. De todas maneras, algo no va bien..",8,0,7,0,1,0,16
DNA2,D・N・A² ～何処かで失くしたあいつのアイツ～,none,4.6,124,ANIME,https://www3.animeflv.net/uploads/animes/covers/35.jpg,FINALIZADO,913,Ciencia Ficción|Comedia|Romance,,15.0,"En un futuro donde el viaje en el tiempo y la alteración del ADN es una realidad, la sobrepoblación esta llevando a la humanidad hacia la extinción. Los investigadores se dan cuenta de la existencia de un humano en el siglo XX con un gen especial, el cual lo hace extremadamente fértil e irresistible a las mujeres. Esta persona tuvo 100 hijos los cuales heredaron ese gen, convirtiéndose en la mayor causa de la sobrepoblación. Se decide enviar a Karin al pasado para alterar el ADN de esa persona, y de esta forma disminuir el problema en el futuro.",14,0,24,0,6,1,45
Blue Seed,none,none,4.4,55,ANIME,https://www3.animeflv.net/uploads/animes/covers/1935.jpg,FINALIZADO,427,Acción|Aventuras|Ciencia Ficción|Comedia|Demonios|Drama|Ecchi|Misterio|Romance|Terror,Blue Seed 2 (Secuela),26.0,"Durante millares de años las fuerzas de los Aragami han sido contenidas mediante una constante dieta de sacrificios humanos, pero ahora los lazos se han roto y los más viejos y más mortales enemigos de la humanidad están regresando. Para combatir a un enemigo que puede atacar dondequiera, siempre, sin aviso se requerirá a los agentes más talentosos de todo el mundo y de cada recurso disponible de la civilización moderna.",6,0,9,1,0,2,18
Irresponsable Capitán Tylor OVA,Musekinin Kanchou Tylor OVA,無責任艦長タイラー OVA,4.6,20,OVA,https://www3.animeflv.net/uploads/animes/covers/1563.jpg,FINALIZADO,80,Aventuras|Ciencia Ficción|Comedia|Drama|Espacial|Militar,Irresponsable Capitán Tylor (Precuela),10.0,"Han pasado seis largos meses. El imperio Raalgon ha desarrollado un nuevo tipo de arma, y Taylor ha estado a cargo del trabajo de interceptarla mientras es transportada",4,0,3,0,0,0,7
Macross Plus,マクロスプラス,none,4.3,41,OVA,https://www3.animeflv.net/uploads/animes/covers/1584.jpg,FINALIZADO,229,Ciencia Ficción|Drama|Espacial|Mecha|Militar|Romance,Choujikuu Yousai Macross (Precuela)|Macross 7 (Secuela)|Macross Plus Movie Edition (Resumen),4.0,"Transcurre el año 2040 A.D. En el planeta Eden, un nuevo planeta colonizado en conjunto por los humanos y Los Zentraedi. La historia esta centrada en tres personajes: Isamu Dyson, Guld Goa Boman y Myun Fan Lon, Isamu es enviado al planeta Eden como piloto de pruebas, encontrándose con su viejo amigo Guld en la base de New Edwards, en la misma se lleva a cabo el proyecto Super Nova con el fin de probar dos nuevos cazas experimentales transformables (Valkyries) para la U.N.Spacy: el YF-19, que es pilotado por Isamu y el YF-21, que es pilotado por Guld. Al mismo tiempo Myung llega a Eden como representante artistica de la primera cantante virtual, llamada Sharon Apple, volviendose a formar el triángulo amoroso entre ellos tres.",4,1,5,0,0,0,10
