title,title_alternative1,title_alternative2,rating,votes,type_serie,cover,state,followers,categories,related,episodes,description,reactions_like,reactions_funny,reactions_love,reactions_surprise,reactions_angry,reactions_sad,reactions_total
Yakusoku no Nanaya Matsuri,約束の七夜祭り,none,4.4,139,OVA,https://www3.animeflv.net/uploads/animes/covers/3006.jpg,FINALIZADO,704,Misterio|Recuentos de la vida,,1.0,"""Un festival milagroso donde puedes encontrarte con quien quieras"". Shoma es un estudiante de primero de preparatoria / instituto que recibe un mensaje de su mejor amigo, Atsushi, de quien no sabía nada desde hace años. ""¿Quieres ir a este pequeño festival que he descubierto? Hace mucho que no nos vemos, así que podríamos ponernos al día"". Emocionado por el mensaje, Shoma decide ir a ese pequeño pueblo perdido en las montañas al Tanabata Nanayamatsuri, el festival que le mencionó su amigo. Cuando llega al lugar no encuentra a Atsushi, pero conoce a una chica llamada Shiori que también está allí para encontrarse con alguien. Kanna, quien dirige el festival, le dice a Shoma: ""Creo que podrás ver a Atsushi-sama durante el transcurso del festival"". Y así, para poder encontrarse de nuevo con él, Shoma se prepara para disfrutar del festival, pero acaba viéndose involucrado en una serie de extraños incidentes que suceden en el pueblo. ¿Podrá Shoma encontrarse con Atsushi de nuevo?",4,2,28,2,3,5,44
Tsukumogami Kashimasu,つくもがみ貸します,none,4.2,241,ANIME,https://www3.animeflv.net/uploads/animes/covers/3003.jpg,FINALIZADO,2188,Comedia|Demonios|Historico|Recuentos de la vida|Sobrenatural,,12.0,"Dos hermanos adoptados regentan una curiosa tienda de alquiler de objetos en la antigua Edo (la actual Tokio), donde las inundaciones y los incendios son tan comunes que suele ser habitual alquilar los objetos de uso diario en lugar de comprarlos para poder huir en caso de necesidad sin temer dejar pertenencias atrás. Entre los objetos de la tienda hay unos muy especiales que se han convertido en espíritus tras cientos de años de existencia: los Tsukumogami. Estas criaturas sobrenaturales escuchan las conversaciones de todos aquellos lugares de la ciudad que visitan y las extienden como rumores. Los dos buenos hermanos deberán solucionar los problemas que encuentren entre sus clientes y los Tsukumogami.",9,0,12,0,0,0,21
Shingeki no Kyojin Season 3,進撃の巨人 Season 3,none,4.6,6287,ANIME,https://www3.animeflv.net/uploads/animes/covers/3002.jpg,FINALIZADO,49525,Acción|Drama|Fantasía|Militar|Misterio|Shounen|Superpoderes,Shingeki no Kyojin Season 2 (Precuela)|Shingeki no Kyojin Season 3 Part 2 (Secuela)|(Secuela),12.0,Tercera temporada de Shingeki no Kyojin,371,71,2905,110,45,75,3577
High Score Girl,ハイスコアガール,none,4.7,1750,ANIME,https://www3.animeflv.net/uploads/animes/covers/3008.jpg,FINALIZADO,7292,Comedia|Escolares|Romance|Seinen,High Score Girl II (Secuela),15.0,"La historia sigue a Yaguchi Haruo, un muchacho de sexto en el año 1991 y que vive para los videojuegos. No es popular en la escuela, no es guapo, no es divertido y ni siquiera es simpático. Lo único que se le dan bien, son los videojuegos. Un día, en una sala de juegos, se encuentra a Oono Akira, compañera de clase y que es linda, inteligente, lista y popular. Ambos jugarán a Street Fighter II, solo para que Haruo pierda muchas partidas seguidas contra la chica, la cual resulta ser invencible en cualquier juego. Akira comenzará a seguir a Haruo en todas sus visitas a los recreativos para pegarle palizas en todo juego existente, algo que al muchacho molestará bastante en un inicio… pero que acabará haciendo que forjen una extraña amistad.",39,3,150,3,6,5,206
Shoujo☆Kageki Revue Starlight,少女☆歌劇 レヴュー・スタァライト,none,4.1,515,ANIME,https://www3.animeflv.net/uploads/animes/covers/2999.jpg,FINALIZADO,1782,Escolares|Música,,12.0,"Karen y Hikari se prometieron cuando eran pequeñas que un día compartirían un escenario. Sin embargo, tuvieron que separarse. Ahora que ha pasado el tiempo y han cumplido dieciséis años, los hilos del destino harán que sus caminos vuelvan a cruzarse y entren en el misterioso casting de Starlight, una compañía de teatro especializada en el baile y canto que viaja alrededor de todo el mundo, para dar juntas el salto a la fama.",7,1,59,2,1,1,71
Iya na Kao sare nagara Opantsu Misete Moraitai,I Want You To Make a Disgusted Face and Show Me Your Underwear,嫌な顔されながらおパンツ見せてもらいたい,3.9,792,OVA,https://www3.animeflv.net/uploads/animes/covers/3004.jpg,FINALIZADO,6995,Ecchi,,6.0,,67,33,332,20,33,20,505
Yuragi-sou no Yuuna-san,"Yuuna of Yuragi Manor, Yuuna and the Haunted Hot Springs",ゆらぎ荘の幽奈さん,4.6,1815,ANIME,https://www3.animeflv.net/uploads/animes/covers/2998.jpg,FINALIZADO,20702,Comedia|Ecchi|Harem|Romance|Shounen|Sobrenatural,,12.0,"Fuyuzora Kogarashi tiene habilidades espirituales, y ha sido poseído por fantasmas desde que era un niño. Esto ha causado un montón de problemas en su vida, pero ahora ha aprendido a luchar contra los malos espíritus. Por desgracia, él ahora es muy pobre, no tiene hogar ni la esperanza de una vida feliz, más normal e ir a la escuela secundaria. En su búsqueda de una vivienda, encuentra un casa de huéspedes muy barata llamada Yuragi-sou, que anteriormente era un lugar popular de aguas termales. Es tan barato el alquiler porque allí habita un espíritu de un estudiante de secundaria cuyo cadáver fue encontrado allí. Kogarashi no cree que esto vaya a ser un problema para él, ya que el resto de sus inquilinos son mujeres atractivas. Mientras se relaja en las aguas termales, encuentra un problema; El fantasma de Yuragi-sou es una chica de 16 años llamada Yuuna, que vive en su habitación. Kogarashi no tiene ningún deseo de hacerle daño a una chica fantasma, y en su lugar termina por aceptar ayudarla a poder pasar a la otra vida antes de caer en el mal e ir al infierno. Una vez que está bien con Yuuna, los otros inquilinos revelan sus propios secretos sobrenaturales, y así su vida en Yuragi-sou va a ser lejos de ser algo normal.",80,28,485,6,2,13,614
Grand Blue,ぐらんぶる,none,4.8,2565,ANIME,https://www3.animeflv.net/uploads/animes/covers/2997.jpg,FINALIZADO,13493,Comedia|Recuentos de la vida|Seinen,,12.0,"Iori Kitahara recién comienza su primer año en la universidad. Se muda a la tienda de submarinismo de su tío, Grand Blue, él anticipa la vida universitaria de sus sueños, llena de hermosas chicas y buenos amigos. Pero las cosas no salen exactamente de acuerdo al plan. Se encuentra con un grupo de estudiantes, que de inmediato lo obliga a participar en sus actividades alcohólicas. Aunque no estaba dispuesto al principio, Iori rápidamente se rinde y se convierte en el alma de la fiesta. Desafortunadamente, con eso gana el desprecio de su prima, Chisa Kotegawa. Sin embargo, Iori todavía promete cumplir su vida universitaria ideal, pero ¿las cosas irán de acuerdo con lo planeado esta vez?",56,211,382,7,7,4,667
Happy Sugar Life,"White Sugar Garden, Black Salt Cage",ハッピーシュガーライフ,4.4,1546,ANIME,https://www3.animeflv.net/uploads/animes/covers/2996.jpg,FINALIZADO,11433,Drama|Shounen|Terror,,12.0,"Una hermosa estudiante de instituto llamada Satou Matsuzaka cree haber descubierto el verdadero significado del amor tras empezar a vivir con una chica que se encuentra en la calle. Hasta entonces, Satou nunca había rechazado a los chicos que se interesaban por ella y tenía fama de ser una “chica fácil”, pero todo cambia cuando conoce a Shio, cuya edad e historia personal no están nada claras. Cuando están juntas, Satou experimenta un sentimiento muy dulce que entiende que es amor. Con tal de proteger este sentimiento, está dispuesta a hacer cualquier cosa… incluso aunque eso signifique tener que asesinar a alguien.",59,12,389,67,13,34,574
Lord of Vermilion: Guren no Ou,ロード オブ ヴァーミリオン　紅蓮の王,none,3.8,533,ANIME,https://www3.animeflv.net/uploads/animes/covers/2995.jpg,FINALIZADO,7353,Acción|Fantasía,,12.0,"Estamos en Tokio, año 2030. Una resonancia de alta frecuencia se escucha de repente en la zona suburbana, y al mismo tiempo, la ciudad queda cubierta por una extraña niebla roja. Todos los seres vivos que han escuchado ese sonido, sean humanos o animales, han perdido la consciencia. El fenómeno se achaca a un virus desconocido, con lo que para evitar que se extienda la epidemia, Tokio es aislada del resto del país. Casi seis meses después, todos aquellos que perdieron el conocimiento con el incidente, se despiertan como si nada hubiera pasado. Sin embargo, extraños incidentes comienzan a sucederse ese mismo día, haciendo que la ciudad quede consumida por una cadena de crueles destinos.",27,2,46,6,2,2,85
