title,title_alternative1,title_alternative2,rating,votes,type_serie,cover,state,followers,categories,related,episodes,description,reactions_like,reactions_funny,reactions_love,reactions_surprise,reactions_angry,reactions_sad,reactions_total
Tensei shitara Slime Datta Ken 2nd Season,"That Time I Got Reincarnated as a Slime Season 2, Tensura 2",転生したらスライムだった件,4.8,4290,ANIME,https://www3.animeflv.net/uploads/animes/covers/3416.jpg,FINALIZADO,23989,Comedia|Fantasía,Tensei shitara Slime Datta Ken (Precuela)|Tensei shitara Slime Datta Ken 2nd Season Part 2 (Secuela),12.0,"Satoru Mikami es un hombre ordinario de 37 años que vive en Tokio. Está relativamente contento con su monótona vida, a pesar del hecho de que no tiene novia. Durante un encuentro con uno de sus colegas, un asaltante lo acuchilla y muere. Pero durante su agonía previa a su muerte, una misteriosa voz recita una serie de comandos que, al principio, no tienen sentido alguno. Cuando despierta nuevamente, descubre que ha reeencarnado en un slime en otro mundo. Poco sabía que su monótona vida ahora ha dado un giro completo puesto que, con su nueva forma y vida, irá descubriendo nuevas habilidades y haciendo nuevos amigos.",433,58,3192,45,23,32,3783
World Witches Hasshin Shimasu!,World Witches Take Off!,ワールドウィッチーズ発進しますっ！,4.2,106,ANIME,https://www3.animeflv.net/uploads/animes/covers/3418.jpg,FINALIZADO,968,Comedia|Militar,,12.0,"Tal como la entrega anterior, Strike Witches: 501 Butai Hasshin Shimasu!, esta serie seguirá las cómicas vidas diarias de la brujas mientras no se encuentran en batalla. Sin embargo, esta nueva serie no solo incluirá al Ala de Combate Conjunta 501 (Strike Witches) sino también al Ala de Combate Conjunta 502 (Brave Witches).",22,6,88,4,6,6,132
Azur Lane: Bisoku Zenshin!,Azur Lane 4-koma: Slow Ahead!,アズールレーン びそくぜんしんっ!,4.5,336,ANIME,https://www3.animeflv.net/uploads/animes/covers/3415.jpg,FINALIZADO,3759,Ciencia Ficción|Comedia|Militar|Recuentos de la vida,,12.0,"Cuando las “Sirens”, una fuerza extraterrestre con un arsenal que supera con creces la tecnología actual, aparecieron de repente, una humanidad dividida se apoyó entre sí por primera vez en la historia. Cuatro países, Eagle Union, Royal Navy, Sakura Empire y Iron Blood, formaron “Azur Lane”, allanando el camino para la mejora de la guerra moderna,lo que condujo a una primera victoria contra la amenaza común. Sin embargo, esta tenue unión se vio amenazada por dos ideales opuestos, dividiendo la alianza en dos y fragmentando nuevamente a la humanidad. Como luchador experimentado, Enterprise, apodada el “Grey Ghost”, lleva el “Azur Lane” en sus hombros con la esperanza de dar fin a la guerra. Pero detrás de su estoica personalizadas se esconde una frágil chica, temerosa del océano. Aún así, continúa luchando porque cree que es el único propósito de su existencia.",49,13,300,16,9,7,394
Shin Chuuka Ichiban! 2nd Season,Shin Chuuka Ichiban! Second Season,真・中華一番!,2.9,204,ANIME,https://www3.animeflv.net/uploads/animes/covers/3413.jpg,FINALIZADO,452,Comedia|Shounen,Shin Chuuka Ichiban! (Precuela),12.0,"La serie está ambientada en un siglo 19 ficticio en China, donde los cocineros de toda china compiten en unas pruebas culinarias para medir sus habilidades, y siendo un cocinero maestro se le concede respeto y autoridad. La historia se centra en Liu Mao Xing, un joven cocinero de la provincia de Szechuan que aprende a cocinar por su madre. Después de salvar el restaurante de su madre, Mao decide ir emprender un viaje para convertirse en un super cocinero, compitiendo contra otros cocineros con otros estilos de cocina, y luchando con las conspiraciones de la Sociedad de Cocina Oscura.",11,4,29,7,22,4,77
https://www3.animeflv.net/anime/yami-shibai-8,none,none,0,0,none,none,404 not found,0,,,0.0,none,0,0,0,0,0,0,0
Wave!! Surfing Yappe!! (TV),WAVE!!～サーフィンやっぺ!!～ TV,none,4.3,553,ANIME,https://www3.animeflv.net/uploads/animes/covers/3414.jpg,FINALIZADO,7111,Deportes|Recuentos de la vida,,12.0,"La historia del proyecto se desarrolla en la ciudad de Ouarai, en la prefectura de Ibaraki, y se centra en Masaki Hinaoka, quien se hace amigo del estudiante de transferencia Shou Akitsuki antes de las vacaciones de verano, y termina enganchado al surf. A través de este deporte, Masaki conocerá nuevos amigos, y también se alejará de ellos en su viaje a la edad adulta.",89,9,662,5,18,27,810
Mushoku Tensei: Isekai Ittara Honki Dasu,Mushoku Tensei: Jobless Reincarnation,無職転生 ～異世界行ったら本気だす～,4.8,6991,ANIME,https://www3.animeflv.net/uploads/animes/covers/3411.jpg,FINALIZADO,48012,Drama|Fantasía|Magia,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2 (Secuela),11.0,"Asesinado mientras salvaba unos estudiantes que serían atropellados por un camión, un NEET de 34 años reencarna en un nuevo mundo de magia bajo el nombre de Rudeus Greyrat, un recién nacido. Con conocimiento, experiencia y arrepentimientos de una vida pasada, Rudeus jura llevar una vida plena y no volver a repetir sus errores. Ahora, dotado con un tremendo poder mágico, así como la mentalidad de un hombre adulto, Rudeus es visto como un genio en potencia por sus nuevos padres. Pronto, se verá siendo entrenado por poderosos guerreros, como su padre, un espadachín y una maga llamada Roxy Migurdia. Pero a pesar de su inocente exterior, Rudeus sigue siendo un otaku pervertido, y usa sus vastos conocimientos para hacer suyas a las mujeres que en su vida anterior nunca disfrutó.",1096,218,5073,120,65,49,6621
Ex-Arm,エクスアーム,none,1.9,2655,ANIME,https://www3.animeflv.net/uploads/animes/covers/3409.jpg,FINALIZADO,5250,Acción|Ecchi|Seinen|Sobrenatural,,12.0,"2014: Akira Natsume parece tener una casi fobia a los dispositivos electrónicos a la vez que es muy bueno diagnosticándolos. Un día, decide cambiar para verse mejor y conseguir una novia tal como lo hizo su hermano mayor… Sin embargo, Akira muere repentinamente en un accidente. 16 años después, una policía especial y su compañero androide recuperan y activan una Inteligencia Artificial y súperarma altamente avanzada llamada EX-ARM y la ponen en control total de su nave como su último recurso. ¡Resulta que la IA es en realidad la mente de Akira!",173,179,256,74,642,69,1393
Non Non Biyori Nonstop,"Non Non Biyori 3rd Season, Non Non Biyori Third Season",のんのんびより のんすとっぷ,4.7,443,ANIME,https://www3.animeflv.net/uploads/animes/covers/3410.jpg,FINALIZADO,3279,Comedia|Recuentos de la vida|Seinen,Non Non Biyori Movie: Vacation (Precuela),12.0,Tercera temporada,48,24,348,12,7,5,444
Idoly Pride,IDOLY PRIDE,none,4.5,518,ANIME,https://www3.animeflv.net/uploads/animes/covers/3412.jpg,FINALIZADO,4252,Música,,12.0,"Para convertirme en una idol derramé sangre, sudor y lágrimas. Incluso así, sigo adelante porque quiero brillar. Quiero ganármelo, convertirme en la número uno. Quiero sonreír, hacer mis sueños realidad. Quiero mirar atrás a un mar de gente, quiero ser reconocida y quiero encontrarlo. Quiero superar obstáculos, y solo cuento con mi orgullo dentro de mi pecho. Nadie es el centro de atención desde el principio. Todos somos débiles, y solo aquellos que no se rompan en el proceso alcanzarán la cima más alta para convertirse en idols. Esta es la historia de las idols y la dura realidad que enfrentan para alcanzar sus sueños.",82,7,457,17,16,34,613
