title,title_alternative1,title_alternative2,rating,votes,type_serie,cover,state,followers,categories,related,episodes,description,reactions_like,reactions_funny,reactions_love,reactions_surprise,reactions_angry,reactions_sad,reactions_total
Kamikaze Kaitou Jeanne,none,none,4.6,129,ANIME,https://www3.animeflv.net/uploads/animes/covers/2278.jpg,FINALIZADO,753,Aventuras|Comedia|Demonios|Drama|Fantasía|Magia|Misterio|Romance|Shoujo,,44.0,"Maron Kusakabe es una chica normal en apariencia... Pero la realidad es que convive con un ángel y es capaz de transformarse en Jeanne (la reencarnación de Jeanne d'Arc), una ladrona de guante blanco buscada por la policía. Su misión es impedir en nombre de Dios que el Rey de los demonios robe energía vital de los corazones humanos: cuando alguien compra un cuadro en el que se aloja un diablo, éste posee a la persona y roba su energía vital. Jeanne debe clavar una chincheta en el cuadro y, tras decir Jaque Mate, el demonio queda atrapado en una pieza de ajedrez blanca (peones blancos), volviendo así la persona a la normalidad.",4,1,50,2,0,0,57
Ojamajo Doremi,none,none,4.6,84,ANIME,https://www3.animeflv.net/uploads/animes/covers/2064.jpg,FINALIZADO,927,Comedia|Magia,Ojamajo Doremi Sharp (Secuela),51.0,"Doremi era una niña normal hasta que un día vio a una bruja hacer magia y, como consecuencia, ésta se transformó en una ""rana-bruja"". Doremi es la única que puede devolverla a su forma original así que se hace aprendiz de bruja. Hazuki y Aiko, unas compañeras suyas de la escuela, la descubren y se convierten también en aprendices. A medida que avanza la trama se van uniendo más chicas al grupo.",7,1,25,1,0,2,36
Iketeru Futari,none,none,4.4,69,ANIME,https://www3.animeflv.net/uploads/animes/covers/1987.jpg,FINALIZADO,506,Comedia|Ecchi|Escolares|Romance|Seinen,,16.0,"Saji Keisuke es un estudiante muy activo que está enamorado de su misteriosa compañera de clase Koizumi Akira. También hay una amiga de la infancia de Saji, Yuki, con un enorme par de pechos.",3,10,17,2,1,0,33
Seikai no Monshou,none,none,4.6,38,ANIME,https://www3.animeflv.net/uploads/animes/covers/2052.jpg,FINALIZADO,237,Acción|Ciencia Ficción|Espacial|Militar|Romance,Seikai no Danshou Tanjou (Precuela)|Seikai no Senki (Secuela),13.0,"La raza humana ha colonizado las estrellas y, durante muchos años, Jinto ha llevado una vida relativamente pacífica como hijo de un gobernador colonial en un planeta remoto. Pero de repente aparecen los Abh, una longeva raza de pelo azul con rasgos agudos y alta tecnología, que conquistan su planeta sin disparar un solo tiro. Así, Jinto es enviado a la escuela para aprender las costumbres de los Abh, y ahí conoce a la preciosa princesa Lafiel. Pronto descubrirá que los Abh son mucho más de lo que los humanos podían imaginar. Sin embargo, la Tierra ha declarado la guerra a los Abh y deben hallar el medio para sobrevivir en el campo de batalla espacial.",5,1,4,0,2,0,12
Slayers Excellent,スレイヤーズえくせれんと,none,4.4,40,OVA,https://www3.animeflv.net/uploads/animes/covers/1364.jpg,FINALIZADO,336,Aventuras|Comedia|Demonios|Fantasía|Magia|Shounen|Sobrenatural,Slayers Special (Secuela),3.0,,7,3,3,0,0,0,13
Ao no 6-gou,none,none,4.4,35,OVA,https://www3.animeflv.net/uploads/animes/covers/2123.jpg,FINALIZADO,221,Acción|Aventuras|Ciencia Ficción|Mecha|Militar,,4.0,"En un futuro cercano, los océanos han inundando la mayor parte de la tierra, matando a miles de millones de personas, debido a las acciones del científico Zorndyke. La mayoría de las ciudades que quedaron de pie, fueron posteriormente atacadas por el Ejército de Chiron perteneciente a Zorndyke. Ahora, la humanidad lucha por sobrevivir contra las creaciones producidas por Zorndyke. La mayor esperanza que tiene la humanidad de solucionar el conflicto recae en su fuerza élite de submarinos Clase Azul.",12,0,4,0,0,0,16
Bubblegum Crisis Tokyo 2040,バブルガムクライシス TOKYO2040,Bubblegum Crisis: Tokyo 2040,4.5,58,ANIME,https://www3.animeflv.net/uploads/animes/covers/259.jpg,FINALIZADO,639,Aventuras|Ciencia Ficción|Mecha|Shounen,,26.0,"Se trata de la remezcla de la clásica serie de OVAs de Bubblegum Crisis. Estamos en el año 2040, en la ciudad de Mega-Tokyo. Vestidas con armaduras muy avanzadas tecnológicamente, un grupo de jóvenes mujeres encargadas de velar por la seguridad luchan contra la más grande megacorporación en Japón, GENOM, y su ejército de ""boomers"" locos. Estos boomers son androides construidos para reemplazar a los humanos en muchos trabajos, pero tienen tendencia a ""estropearse""...",11,0,9,0,0,0,20
Saber Marionette J to X,none,none,4.6,57,ANIME,https://www3.animeflv.net/uploads/animes/covers/1747.jpg,FINALIZADO,350,Acción|Aventuras|Ciencia Ficción|Comedia|Harem|Mecha,Saber Marionette J Again (Precuela)|Saber Marionette R (Precuela),26.0,"Ocurre después de Saber Marionette J Again y cuenta la historia de Otaru y sus marionettes aunque se torna más dramática que las otras series de la saga J. En esta serie las marionettes expresan su profundo deseo de ser humanas. También se muestra la vida en Japoness después que Gartland se convirtiera en el país democrático de Germania. Pero entre tanta paz surge de nuevo Gartland, pero liderado por un nuevo Fausto, clonado por el Doctor Hess para cumplir sus planes. Después de la derrota de Gartland, el doctor Hess se va a Xi'An donde empezará la odisea de Otaru y sus tres marionettes hasta el descenlace final de la serie.",4,0,14,0,0,0,18
Majutsushi Orphen,Orphen,魔術士オーフェン,4.5,91,ANIME,https://www3.animeflv.net/uploads/animes/covers/1351.jpg,FINALIZADO,1738,Acción|Aventuras|Comedia|Demonios|Fantasía|Magia,Majutsushi Orphen Revenge (Secuela),24.0,"Azalea, una de las mejores hechiceras de la Torre de los Colmillos (prestigioso lugar de aprendizaje para hechiceros) realiza un fallido experimento con la mágica espada de Baltanders, convirtiéndose en un oscuro dragón apodado Bloody August; Tras esto, la Torre del Colmillo decide eliminarla al suponer una deshonra para esta, pero Orphen, compañero de Azalea desde pequeños decide revelarse contra ellos y buscar la forma de devolverle su forma humana a Azalea, cosa que ella intenta pero a su modo; En su viaje contará con la ayuda de Magic, su aprendiz de mago, de Clea, la actual propietaria de la espada de Baltanders, y de Dojin y Volkan, dos hermanos expertos en meterse en líos de forma cómica.",17,0,24,0,2,1,44
Kareshi Kanojo no Jijou,Kare Kano,Karekano,4.6,219,ANIME,https://www3.animeflv.net/uploads/animes/covers/1559.jpg,FINALIZADO,1938,Comedia|Drama|Escolares|Recuentos de la vida|Romance|Shoujo,,26.0,"Yukino Miyazawa es una chica y estudiante modelo. Al menos fuera de casa. Es primera en cuanto a notas, es la mejor en todo, la más amable y la más educada...y todo ello la hace parecer un genio de manera natural. Lo que nadie sabe es que detrás de todo ese éxito hay noches sin dormir debido a un estudio y esfuerzos continuos, y muchas máscaras para mantener las formas de ""buena niña"". Su lado vanidoso por conseguir la atención y admiración de todo el mundo y sus enfados y rabietas están muy bien escondidas dentro de las paredes de su casa, con su familia. Pero un día, aparece otro estudiante ejemplar, Soichiro Arima, que pondrá su mundo patas arriba, ya que éste descubre su verdadero ""yo""...Ahí es cuando empieza una relación de odio y competencia con él, que acabará en amor, lo que la hará cambiar y la ayudará a mostrar al mundo su verdadero aspecto sin mascaras ni falsedad.",13,6,83,2,2,1,107
Mobile Suit Gundam: The 08th MS Team - Miller`s Report,none,none,4.2,24,PELÍCULA,https://www3.animeflv.net/uploads/animes/covers/1408.jpg,FINALIZADO,101,Ciencia Ficción|Drama|Mecha|Militar|Romance,Mobile Suit Gundam: The 08th MS Team (Historia Completa),1.0,Esta es una película recopilatoria que se situa entre los episodios 8 y 9 de The 08th MS Team donde en un juicio a Shiro Amada se le interroga por un posible caso de espionaje.En la película recopilatoria se nos introduce a la oficial Alice Miller de la Federación quien interroga a Shiro mientras nos relata los eventos de la serie original de OVAs.,8,1,3,0,0,0,12
Slayers Gorgeous,スレイヤーズごぅじゃす,none,4.2,19,PELÍCULA,https://www3.animeflv.net/uploads/animes/covers/1367.jpg,FINALIZADO,187,Aventuras|Comedia|Fantasía|Magia|Sobrenatural,Slayers Great Movie (Precuela)|Slayers (Secuela),1.0,"Como de costumbre, la historia comienza con Naga y Lina en una ciudad sin nombre. Mientras discuten sobre sus más recientes adquisiciones culinarias, se dan cuenta que los lugareños evacuan la zona apresuradamente. En cuanto la última persona se refugia, Lina y Naga (junto con los típicos guardias inútiles) son bienvenidas por una joven muchacha que monta un dragón rojo y ríe histéricamente. Tras una breve escaramuza, Marlene (la muchacha de la histérica risa) y su dragón se marchan, y Lina es invitada a ver al Rey con la esperanza de que pueda ser la solución a sus problemas. Resulta que Marlene es la hija del Rey, y parece que está en una ""fase de rebeldía"". Lo que quiere es que se le permitan más cosas, pero su padre no quiere, así que se dedica a asustar a los ciudadanos hasta que lo consiga... Mientras tanto, Naga sigue a Marlene hasta su guarida, para enseñarle un par de cosas de cómo reirse ADECUADAMENTE, por un precio, claro. Una vez más es Lina contra Naga, Padre contra Hija, en una lucha sin cuartel y de lanzamiento de hechizos...",4,0,4,0,0,0,8
