title,title_alternative1,title_alternative2,rating,votes,type_serie,cover,state,followers,categories,related,episodes,description,reactions_like,reactions_funny,reactions_love,reactions_surprise,reactions_angry,reactions_sad,reactions_total
Project ARMS: The 2nd Chapter,none,none,4.2,25,ANIME,https://www3.animeflv.net/uploads/animes/covers/2350.jpg,FINALIZADO,92,Acción|Artes Marciales|Escolares|Fantasía|Superpoderes,Project ARMS (Precuela),26.0,"Un chico se ve implicado en un accidente cuando iba a la guardería, dañando horriblemente su brazo, pero los médicos se las arreglan para salvarselo. Ahora, varios años después, su brazo parece haberse convertido en el foco de unos extraños sucesos que hacen que organizaciones secretas intenten capturarle para hacerse con el poder que posee.",3,0,2,0,0,0,5
Vandread The Second Stage,ヴァンドレッド the second stage,none,4.7,106,ANIME,https://www3.animeflv.net/uploads/animes/covers/485.jpg,FINALIZADO,480,Acción|Ciencia Ficción|Ecchi|Espacial|Mecha|Shounen,Vandread (Precuela),13.0,"Aunque Hibiki y el resto de la tripulación derrotaron una nave de combate enorme de la Tierra al final de la primera parte, descubrieron que 5 naves se dirigían a Mejeiru y Tarahk. También descubrieron que en dichos planetas es donde sus hogares se vieron forzados a la tradición del Karitori (la cosecha). El viaje a casa se acelera para poder informar de la crisis. En el trayecto encuentran a una chica llamada Misty, la cual les enseña costumbres de la Tierra anteriores al desastre que desencadenó la cosecha, además de encapricharse con Hibiki; haciéndole a Dita la vida imposible. Cuando lleguen al final de su viaje deberán combinar sus vehículos una vez más y obtener un Vandread más poderoso aún si es que quieren salvar su planeta...",10,0,20,0,0,0,30
Mahoromatic,none,none,4.6,84,ANIME,https://www3.animeflv.net/uploads/animes/covers/2058.jpg,FINALIZADO,964,Ciencia Ficción|Comedia|Ecchi|Militar|Romance,Mahoromatic 2 (Secuela),12.0,"Suguru, un despreocupado niño de 14 años es huérfano y vive solo en una mansión, por lo tanto su casa es un lo más parecido a un estercolero, por eso mismo decide contratar una asistenta para volver a vivir en en una pulcritd decente, ella será Mahoro, un antiguo androide de combate de Vesper, que por voluntad propia se hizo criada, ya que la propia empresa que le creo decidió darle voluntad a hacer lo que quiera porque tras 12 años de existencia si continuaba luchando tendría 50 días de vida, mientras que si se dedicaba a otra cosa tendría aproximadamente 1 año de vida. Junto a los amigos de Suguru, su profesora, Mahoro, Slash (guardian protector de Mahoro) tendrán peripecias de lo mas insólitas, hasta que aparezca un miembro de Saint buscando venganza...",11,3,19,3,1,2,39
X (2001),X (エックス),none,4.5,86,ANIME,https://www3.animeflv.net/uploads/animes/covers/1383.jpg,FINALIZADO,886,Acción|Drama|Fantasía|Magia|Romance|Shoujo|Superpoderes,X 1999 (Resumen)|X OVA (Precuela),24.0,"Kamui una persona en la cual radica el futuro de la tierra, la decisión que tomé cambiará totalmente el destino, en él está salvar y que todo continúe de la forma en que está o bien, decidir la purificación a través de su destrucción. Estas dos posturas son defendidas por un dos grupos, Dragones de la Tierra y los Dragones del Cielo, quienes saben que deben seguir a Kamui. La batalla entre estos dos grupos, es por destruir cada uno de los puntos que hacen de Tokyo un gigante kekai, si todos los puntos de kekai son destruidos la Tierra lo será con ellos.",6,0,14,4,1,0,25
Chicchana Yukitsukai Sugar,none,none,4.8,17,ANIME,https://www3.animeflv.net/uploads/animes/covers/1722.jpg,FINALIZADO,129,Comedia|Fantasía|Recuentos de la vida,,24.0,"Saga, una chica joven, lleva una vida normal junto a su abuela en un pequeño pueblo. Un día encuentra una pequeña criatura de pelo rosa que parece estar enferma. Pensando que está hambrienta, Saga la alimenta y se la lleva a casa. La criatura resulta ser Sugar, una aprendiz de hada de las nieves, una hiperactiva y alegre hada con poderes mágicos y la habilidad de hacer que nieve... y ¡sólo puede ser vista por Saga! ¿Qué hará Saga con su planificada vida ahora que ha encontrado a este sorprendente ser?, y ¿conseguirá Sugar cumplir los objetivos por los cuales vino al mundo de los humanos?",2,0,9,0,0,0,11
Cowboy Bebop: Tengoku no Tobira,none,none,4.7,257,PELÍCULA,https://www3.animeflv.net/uploads/animes/covers/2305.jpg,FINALIZADO,1593,Acción|Ciencia Ficción|Drama|Espacial|Misterio,Cowboy Bebop (Historia Principal),1.0,"Marte, año 2071, poco antes del día de Halloween. Un camión cisterna lleno de productos químicos hace explosión en una de las calles más importantes de la ciudad, liberando un nuevo virus letal que acaba con la vida de cientos de personas. Las autoridades, temiendo un nuevo ataque aún más destructivo, fijan una recompensa millonaria para quien capture a los responsables. Mientras tanto, en la nave ""Bebop"", Spike y su banda de cazadores de recompensas están aburridos y sin dinero, hasta que conocen la noticia de la recompensa.",18,3,97,1,3,1,123
X OVA,X: An Omen,X 予兆,4.1,25,OVA,https://www3.animeflv.net/uploads/animes/covers/1385.jpg,FINALIZADO,240,Drama|Fantasía|Misterio|Romance|Sobrenatural,X 1999 (Secuela)|X (2001) (Secuela),1.0,,5,2,8,0,0,1,16
Di Gi Charat Natsuyasumi Special,none,none,3.7,10,OVA,https://www3.animeflv.net/uploads/animes/covers/2012.jpg,FINALIZADO,39,Comedia,Di Gi Charat Christmas Special (Precuela)|Di Gi Charat: Hoshi no Tabi (Secuela),4.0,,1,0,1,0,0,0,2
Samurai Girl Real Bout High School,none,none,3.1,24,ANIME,https://www3.animeflv.net/uploads/animes/covers/1924.jpg,FINALIZADO,190,Aventuras|Comedia|Fantasía|Shounen,,13.0,"Ryoko Mitsurugi es una estudiante que intenta convertirse en samurai. En su instituto, existe un sistema llamado “lucha K”. Es un sistema que resuelve todos los problemas mediante un duelo de reconocimiento oficial. Y Ryoko es la actual campeona de la lucha K. Ryoko es desafiada por una persona infalible, y tras la derrota, su vida escolar se vuelve más desastrosa cada día. Un día, Ryoko obtiene un misterioso pendiente. Y tras un brillo extraño del pendiente, se encuentra de repente en otro mundo. Allí encuentra un altar llamado Reiha, y el mundo se llama “Solvania Shadow”. Invoca a Ryoko, el ogro de Yenen, y le pide que derrote al monstruo de este mundo por ella.",3,1,3,2,0,1,10
Grappler Baki: Saidai Tournament Hen,none,none,4.5,313,ANIME,https://www3.animeflv.net/uploads/animes/covers/1763.jpg,FINALIZADO,3357,Acción|Artes Marciales|Deportes|Shounen,Grappler Baki (Precuela)|Baki (2018) (Secuela),24.0,"Baki Hamma es actualmente el campeón de las peleas underground, donde la única es regla es ""no utilizar armas, todo lo demás está permitido"". Solo los mejores y más selectos peleadores tienen la oportunidad de participar. Esta vez, quien gane el campeonato ganara el cinturón legendario que está valorado en 7 millones de dolares, si bien es un gran premio, lo que los peleadores realmente quieren es ganar para ser conocido como el hombre más fuerte del mundo. Sin olvidar que el propósito de Baki es, ser el más fuerte para derrotar a su padre (Yujiro Hamma) quien asesino a su madre frente a sus ojos. En el torneo hay peleadores de todos los estilos, lo cual hace que sea un campeonato muy interesante.",41,7,145,2,0,1,196
