title,title_alternative1,title_alternative2,rating,votes,type_serie,cover,state,followers,categories,related,episodes,description,reactions_like,reactions_funny,reactions_love,reactions_surprise,reactions_angry,reactions_sad,reactions_total
Jaku-Chara Tomozaki-kun,"Jakusha Character Tomozaki-kun, Bottom-tier Character Tomozaki",弱キャラ友崎くん,4.6,2048,ANIME,https://www3.animeflv.net/uploads/animes/covers/3398.jpg,FINALIZADO,19326,Drama|Escolares|Romance,,14.0,"Tomozaki es uno de los mejores jugadores de videojuegos del mundo, y para él, la realidad es el peor juego de todos: no hay un objetivo claro para ganar, el equilibrio es un asco y nada tiene sentido. Es entonces cuando conoce a una jugadora tan buena como él que se ofrece a enseñarle unos cuantos trucos para triunfar en la vida real.",412,39,1250,47,42,20,1810
WIXOSS Diva(A)Live,WIXOSS DIVA(A)LIVE（ウィクロス ディーヴァアライブ）,none,3.8,144,ANIME,https://www3.animeflv.net/uploads/animes/covers/3400.jpg,FINALIZADO,1080,Juegos|Psicológico,Selector Infected WIXOSS (Historia Paralela),12.0,"La historia del anime mueve el tradicional juego de cartas de “Wixoss” a un espacio virtual conocido como “Wixossland”, mientras continúa engrandeciendo su popularidad. El juego permite a los jugadores convertirse en avatar de LRIG por sí mismos. El formato más popular son la “Diva Battle”, que permite a tres jugadores unirse en equipos y competir contra otras unidades para conseguir la mayor cantidad de fanáticos posible. Algunas unidades son basadas en idols, mientras que otras se basan en temáticas de DJ.",13,3,69,4,5,5,99
"Kumo Desu ga, Nani ka?","So I'm a Spider, So What?",蜘蛛ですが、なにか？,4.7,2812,ANIME,https://www3.animeflv.net/uploads/animes/covers/3397.jpg,FINALIZADO,19397,Aventuras|Comedia|Fantasía,,24.0,"El mundo donde el Héroe y el Rey Demonio continúan oponiéndose el uno al otro. La gran magia del Héroe y el Rey Demonio cruzan mundos y explotan en el aula de una cierta escuela secundaria. Los estudiantes que murieron en la explosión reencarnarán en un mundo diferente. La protagonista, que tiene la reputación más baja de la clase, reencarnó en una araña. Sin embargo, ella se adaptó rápidamente a la condición presente con gran fuerza de voluntad. Esta es una historia de una araña intentando todo lo que puede para sobrevivir.",366,114,1710,36,43,19,2288
Tenchi Souzou Design-bu,"Heaven's Design Team, [Ten-De-Bu] What a strange animal!, Tendebu",天地創造デザイン部,4.4,414,ANIME,https://www3.animeflv.net/uploads/animes/covers/3392.jpg,FINALIZADO,3151,Comedia|Fantasía|Recuentos de la vida|Seinen,,13.0,"En el Departamento de Diseño Animal del Cielo, los diseñadores crean una variedad de animales todos los días para satisfacer las irracionales solicitudes de Dios. De forma divertida, interesante, y llena de información, la serie busca responder cuestiones como “¿Por qué los unicornios no pueden existir?”, ¿Por qué un animal sabe delicioso?”, ¿Cuál es la criatura más poderosa en el oceano?”, y, “Aves contra serpientes, ¿quién ganará?” Esta obra es es una enciclopedia disfrazada de manga, ¡y hará tu próxima visita al zoológico cien veces más interesante!",38,33,147,10,3,2,233
Gotoubun no Hanayome 2nd Season,"The Five Wedded Brides 2nd Season, 5-toubun no Hanayome 2nd Season, The Quintessential Quintuplets 2nd Season",五等分の花嫁∬,4.8,5169,ANIME,https://www3.animeflv.net/uploads/animes/covers/3393.jpg,FINALIZADO,26722,Comedia|Escolares|Harem|Romance|Shounen,Gotoubun no Hanayome (Precuela),12.0,"Un día, el estudiante pobre de preparatoria Fuutarou Uesugi recibe un trabajo como tutor con una excelente paga. Una excelente oportunidad de hacer dinero, ¿no? ¡Pues resulta que su tutorada es su compañera de clases! ¡Y no sólo le enseñará a ella sino también a sus cuatro hermanas! ¡Sí! ¡Son quintillizas! Todas ellas son hermosas, pero a diferencia de sus apariencias, sus actitudes son completamente diferentes. ¿Podrá Fuutarou hacer que las quintillizas Nakano se gradúen con éxito de la preparatoria? ¿Se enamorará de alguna de ellas?",465,66,6072,61,60,55,6779
2.43: Seiin Koukou Danshi Volley-bu,2.43: Seiin High School Boys Volleyball Club,2.43 清陰高校男子バレー部,4.4,704,ANIME,https://www3.animeflv.net/uploads/animes/covers/3396.jpg,FINALIZADO,9394,Deportes|Escolares,,12.0,"La historia se centra en Kimichika Haijima, quien se metió en serios problemas durante sus días en secundaria mientras participaba en el equipo de voleibol de su instituto, y como resultado fue transferido de la Prefectura de Tokio a la de Fukui, en donde se reencontró con su amigo de la infancia, Yuni Kuroba. Yuni tiene un talento extraordinario en el voleibol pero es débil ante la presión, sin embargo, cuando juega en conjunto con Kimichika se convierten en un conjunto que arrasa en el campo. Tristemente, ambos tienen una fuerte discusión casi al final de la escuela secundaria. Ahora, en preparatoria, Kimichika y Yuni tienen una amistad bastante demacrada, pero ambos deciden unirse al club de voleibol. En conjunto con otros estudiantes de segundo y tercer año, trabajarán en conjunto para aumentar el nivel de juego del club.",163,15,613,36,24,16,867
Hataraku Saibou Black (TV),Cells at Work! Code Black,はたらく細胞BLACK,4.7,1093,ANIME,https://www3.animeflv.net/uploads/animes/covers/3395.jpg,FINALIZADO,15029,Acción|Seinen,,13.0,"La historia se centra en un glóbulo rojo novato, miembro de las otras células en el cuerpo. ¡Pero algo anda mal! Las hormonas del estrés le siguen gritando que aceleren cada vez más el ritmo. Los vasos sanguíneos están cubiertos de colesterol. Úlceras, hígado graso, problemas (ejem) abajo… ¡Es difícil para una célula hacer su trabajo cuando todos los días hay CÓDIGO NEGRO!",130,17,708,59,14,42,970
Hataraku Saibou!!,"Cells at Work! 2nd Season, Hataraku Saibou 2nd Season",はたらく細胞!!,4.8,1009,ANIME,https://www3.animeflv.net/uploads/animes/covers/3394.jpg,FINALIZADO,13982,Comedia|Shounen,Hataraku Saibou (TV) (Precuela),8.0,Segunda temporada de Hataraku Saibou,92,35,969,14,2,3,1115
Show by Rock!! Stars!!,SHOW BY ROCK!! STARS!!,none,4.5,151,ANIME,https://www3.animeflv.net/uploads/animes/covers/3390.jpg,FINALIZADO,1127,Comedia|Música,Show By Rock!! Mashumairesh!! (Precuela),12.0,"Temporada ""All stars"" de Show by Rock!! mostrando a todas las bandas de las temporadas anteriores.",15,3,134,1,4,0,157
Yuru Camp△ Season 2,"Yuru Campl 2nd Season, Yurukyan",ゆるキャン△ SEASON2,4.7,508,ANIME,https://www3.animeflv.net/uploads/animes/covers/3391.jpg,FINALIZADO,2673,Comedia|Recuentos de la vida,Yuru Camp△ (Precuela),13.0,"Si bien la escapada perfecta para la mayoría de las chicas de su edad pueden ser unas vacaciones extravagantes con sus seres queridos, la manera ideal de Rin Shima es acampar sola en la base del Monte Fuji. Desde armar su tienda de campaña hasta recoger leña, ella siempre ha hecho todo por sí misma y no tiene planes de dejar su pequeño mundo solitario.",36,6,252,2,1,7,304
