title,title_alternative1,title_alternative2,rating,votes,type_serie,cover,state,followers,categories,related,episodes,description,reactions_like,reactions_funny,reactions_love,reactions_surprise,reactions_angry,reactions_sad,reactions_total
Digimon Ghost Game,デジモンゴーストゲーム,none,4.1,457,ANIME,https://www3.animeflv.net/uploads/animes/covers/3522.jpg,EN EMISION,2946,Acción|Aventuras|Comedia|Fantasía,,24.0,"“Ellos estarán contigo, solo un poco más allá en el futuro…” Tras conocer a una criatura desconocida llamada “Digimon”, que es invisible para la gente corriente, Amanogawa Tomohiro y el misterioso Digimon Gammon se adentran en el mundo de los Digimon para descubrir los misterios de los extraños fenómenos que ocurren a su alrededor.",47,2,155,11,12,6,233
Hanyou no Yashahime: Sengoku Otogizoushi - Ni no Shou,Hanyou no Yashahime: Sengoku Otogizoushi 2nd Season,半妖の夜叉姫 -戦国御伽草子- 弐の章,4.5,575,ANIME,https://www3.animeflv.net/uploads/animes/covers/3519.jpg,FINALIZADO,7391,Aventuras|Comedia|Fantasía|Sobrenatural,Hanyou no Yashahime: Sengoku Otogizoushi (Precuela),24.0,"¡Las hijas de Sesshomaru e Inuyasha se lanzan en una aventura que trasciende en el tiempo! En el Japón Feudal, las gemelas mitad demonio Towa y Setsuna son separadas durante un incendio forestal. Mientras busca desesperadamente a su hermana menor, Towa se encuentra un misterioso túnel que la transporta al Japón moderno, en donde es encontrada y puesta al cuidado del hermano de Kagome Higurashi, Sota y su familia. Diez años después, el túnel que conecta las dos eras es abierto de nuevo, permitiendo a Towa volver a reunirse con Setsuna, quien ahora se ha convertido en una Asesina de Youkais en conjunto con Kohaku. Pero lo peor es que Setsuna parece haber perdido sus recuerdos y ya no reconoce a Towa. Ahora uniéndose con Moroha, la hija de Inuyasha, y con Kagome, las tres viajarán entre dos eras en una aventura por recuperar un pasado olvidado.",77,12,825,9,19,5,947
Yuuki Yuuna wa Yuusha de Aru: Dai Mankai no Shou,Yuki Yuna is a Hero: The Great Full Blossom Chapter,結城友奈は勇者である 大満開の章,4.4,124,ANIME,https://www3.animeflv.net/uploads/animes/covers/3517.jpg,FINALIZADO,1122,Drama|Fantasía|Recuentos de la vida,Yuuki Yuuna wa Yuusha de Aru: Yuusha no Shou (Precuela),12.0,Tercera temporada de Yuuki Yuuna wa Yuusha de Aru,25,3,53,7,5,3,96
Nanatsu no Taizai Movie 2: Hikari ni Norowareshi Mono-tachi,"Gekijouban Nanatsu no Taizai Hikari ni Norowareshi Mono-tachi, The Seven Deadly Sins the Movie: Cursed by Light",劇場版 七つの大罪 光に呪われし者たち,4.3,549,PELÍCULA,https://www3.animeflv.net/uploads/animes/covers/3518.jpg,FINALIZADO,3946,Acción|Aventuras|Fantasía|Sobrenatural,Nanatsu no Taizai: Fundo no Shinpan (Precuela),1.0,,170,21,813,26,41,20,1091
Selection Project,SELECTION PROJECT,none,4.5,283,ANIME,https://www3.animeflv.net/uploads/animes/covers/3514.jpg,FINALIZADO,2171,Música,,13.0,"El proyecto multimedia se centra en el séptimo “Selection Project”, un reality show anual de idols de Japón que se lleva a cabo todos los veranos. El Selection Project es la principal puerta de entrada para cualquier chica que busque convertirse en una idol, y el proyecto sigue a nueve chicas que han ganado en las rondas clasificatorias regionales. Los votos de la audiencia determina qué chicas ganan o pierden en estas “batallas de audiciones”. Suzune Miyama desea ser una idol como Akari Amenazawa, una idol que debutó a través de reality show. Suzune había estado enferma desde que era pequeña, pero escuchaba la música de Akari a menudo cuando salía a dar un paseo. La voz de Akari le dio a Suzune sonrisas y el coraje, lo que la animó a hacer lo mismo por los demás. En su último verano de secundaria, Suzune decide entrar como participante en el séptimo Selection Project, para hacer realidad sus sueños.",39,3,226,8,8,6,290
