title,title_alternative1,title_alternative2,rating,votes,type_serie,cover,state,followers,categories,related,episodes,description,reactions_like,reactions_funny,reactions_love,reactions_surprise,reactions_angry,reactions_sad,reactions_total
Gakuen Utopia Manabi Straight! Special,none,none,3.8,13,OVA,https://www3.animeflv.net/uploads/animes/covers/2318.jpg,FINALIZADO,35,Ciencia Ficción|Comedia|Escolares|Recuentos de la vida,Gakuen Utopia Manabi Straight! (Historia Principal),1.0,,1,0,4,0,0,0,5
Prism Ark,PRISM ARK,none,3.8,28,ANIME,https://www3.animeflv.net/uploads/animes/covers/76.jpg,FINALIZADO,197,Acción|Comedia|Drama|Fantasía|Magia,,12.0,"En medio de una tensa paz entre los Reinos de Wind Land y Sabrum, la familia reál de la primera acude a la ceremonia de bautizo de su pequeña hija. sin embargo, Sabrum ataca a los soberanos mientras se dirigían al lugar y el evento sigue marcado bajo una sombra de misterio ya que solo se vió a un gigante de luz instantes antes de que el Rey, la Reina y la pequeña Princesa desapareciesen. Diez años han pasado tras el incidente y los señores de Wind Land siguen con sus ataques a Sabrum ya que los acusan del asesinato de sus gobernantes. Es así que se han preparado nuevas ""cruzadas"" para defender los principios del reino y acabar con Sabrum de una vez. Hyaweh es uno de los muchos jóvenes que participaran de estas guerras debido a la ideología y fe de su patria... Sin embargo, no sabe que su misterioso encuentro con una chica llamada Priecia sería el desencadenante que mostraría su destinada labor a encontrar el origen del mundo y a la amenaza que atenta destruirlo.",11,0,3,1,1,0,16
Rental Magica,レンタルマギカ,none,4.3,107,ANIME,https://www3.animeflv.net/uploads/animes/covers/325.jpg,FINALIZADO,1156,Fantasía|Misterio|Sobrenatural,,24.0,"Tras la desaparición de su padre, Itsuki Iba se ve obligado a hacerse responsable del negocio de la familia? siendo un tanto particular, por así decirlo: un servicio de magia a domicilio. Básicamente, la familia se encarga de contratar a numerosos magos y todo tipo de seres sobrenaturales para asistir a todos aquellos que requieran de su ayuda. Ahora que Itsuki se ha convertido en el jefe, necesita al menos aparentar todas las cualidades de un líder: ser severo, dominante y alguien de fiar. El único problema es que Itsuki es en realidad todo lo contrario. Su personalidad retraída y cobarde hace todavía más difícil su trabajo, sobre todo cuando debe ponerse en contacto con sus empleados. No obstante, sus problemas no acaban ahí, dado que también deberá confrontar a todos aquellos que suponen una amenaza para el negocio familiar.",12,0,14,1,6,0,33
Minami-ke,none,none,4.4,88,ANIME,https://www3.animeflv.net/uploads/animes/covers/1173.jpg,FINALIZADO,596,Comedia|Escolares|Recuentos de la vida,,13.0,"La historia de Minami-ke se basa en las vidas de 3 hermanas, Haruka, Shana y Chiaki. Es una muy divertida historia, que nos muestra como ellas se van relacionando tanto en su hogar como con sus compañeros. Se nos va a contar de una manera muy genial y extraordinaria la vida de estas tres chicas que lucen para todos comunes y corrientes.",2,1,19,0,0,0,22
EF - A Tale of Memories,ef - a tale of memories.,Ef: A Tale of Memories,4.7,141,ANIME,https://www3.animeflv.net/uploads/animes/covers/548.jpg,FINALIZADO,1323,Drama|Misterio|Romance,EF - A Tale of Melodies (Secuela),12.0,"La serie nos narra 3 historias paralelas: La primera transcurre en torno a Hiro Hirono, un estudiante de instituto que además es un artista profesional de manga, de esta forma logra costear los gastos que le causan el vivir independientemente. La noche antes de navidad conoce a Miyako Miyamura, una chica con un gran secreto, ellos empiezan una relación muy especial; pronto Miyako se dara cuenta que no es la única persona especial para Hiro después de conocer a Kei Shindo (amiga de la infancia de Hiro) quien también esta enamorada de Hiro. La segunda historia se desarrolla alrededor de Renji Asou, un joven de instituto indeciso sobre la profesión que tomara en el futuro. La historia de Renji comienza cuando, en una estación abandonada, <> ve a una hermosa chica leyendo mientras el viento no deja de mover se cabello, cuando ella se dio cuenta de la presencia de Renji volteo a mirarlo de frente, entonces él vio lo que ella llevaba en su cara... ella era Chihiro Shindou.",8,0,20,1,0,8,37
Kimikiss Pure Rouge,キミキス pure rouge,KimiKiss: Pure Rouge,4.3,127,ANIME,https://www3.animeflv.net/uploads/animes/covers/139.jpg,FINALIZADO,1178,Drama|Escolares|Romance,,25.0,"La amiga de la infancia de Kouchi Sanada, Mao Mizusawa, ha regresado después de vivir en Francia por un por de años. El esta sorprendido por que se en terado que los padres de de ella siguen ene el extranjero y sus padres han acepto que Mao se que con ellos. Aunque el siempre a pensado en ella como una simple amiga, el ahora tiene que lidear con los sentimientos que ha deserrodado hace ella, tanto como por los que tiene por la chica de sus sueños, Yumi Hoshino.",13,1,36,2,1,0,53
https://www3.animeflv.net/anime/shugo-chara,none,none,0,0,none,none,404 not found,0,,,0.0,none,0,0,0,0,0,0,0
Mobile Suit Gundam 00,機動戦士ガンダム00,none,4.2,219,ANIME,https://www3.animeflv.net/uploads/animes/covers/511.jpg,FINALIZADO,782,Acción|Ciencia Ficción|Drama|Espacial|Mecha|Militar,Mobile Suit Gundam 00 2nd Season (Secuela),25.0,"La historia tomará lugar en el año 2307 de nuestra época, En esta epoca, el petróleo es un bien escaso y la humanidad tiene que confiar principalmente en la energía solar. Este mundo está dividido en tres bloques politicos: La Unión de energía solar y naciones libres (ユニオン; basada en la OEA, Australia y Japón), La liga de reforma humana (人類革新連盟; basada en China, Rusia e India) y y la Unión avanzada Europea basada en la Unión Europea. Las constantes guerras por motivos religiosos, energéticos o colonizadores hace actuar a ?Celestial Being? (Ser Celestial), una ?organización paramilitar empeñada en erradicar la guerra? que pretende utilizar a los mobile suit Gundams para lograrlo. El protagonismo recae en Setsuna F. Seiei (刹那・F・セイエイ, Setsuna F. Seiei), el junto a otros 3 gundam meisters lucharan por un mundo que pueda vivir en paz, usando 3 gundams muy diferentes, la paz es el objetivo principal de Celestial Being",9,1,18,2,1,0,31
Clannad,CLANNAD,none,4.7,1489,ANIME,https://www3.animeflv.net/uploads/animes/covers/26.jpg,FINALIZADO,14538,Comedia|Drama|Escolares|Recuentos de la vida|Romance|Sobrenatural,Clannad After Story (Secuela)|Clannad The Motion Picture (Precuela),24.0,"CLANNAD es un anime que se enfoca en la vida de Okazuki Tomoya, un chico de instituto que cursa el último año; algo decepcionado con su propia vida, no tiene las mismas preocupaciones que los demás chicos de su edad. Un día camino al instituto se encuentra con Furukawa Nagisa, una chica algo exótica que tiene como costumbre hablar con si misma. Estos dos personajes se hacen amigos y desencadenan hechos extraordinarios.",105,13,339,9,9,456,931
Shakugan no Shana Second,灼眼のシャナII[Second],none,4.6,248,ANIME,https://www3.animeflv.net/uploads/animes/covers/672.jpg,FINALIZADO,1955,Acción|Drama|Escolares|Fantasía|Romance|Sobrenatural,Shakugan no Shana (Precuela)|Shakugan no Shana S (Secuela),24.0,"""El corazón del tiempo infinito dejó de latir, y los humanos desaparecieron sin hacer ruido. Nadie se da cuenta de cómo el mundo se trastorna mientras es cubierto por las llamas del Mundo Carmesí."" Sakai Yuji llevaba una vida normal de estudiante hasta que un día descubrió que ya había muerto... que era sólo una antorcha que poco a poco se iba apagando hasta desaparecer. Sin embargo, no sabía que además es objetivo de los devoradores de almas del Mundo Carmesí por la peculiaridad de tener un mistes como morador en su interior. Para evitar que los devoradores se hagan con el mistes, una Flame Haze se encargará de que esto no ocurra. No obstante, esto los llevará a tener batallas con los devoradores y conllevar una relación algo complicada, sobre todo para nuestra Flame Haze, quien no sabe cómo lidiar con la vida cotidiana de un alumno de secundaria.",10,1,22,0,1,1,35
