title,title_alternative1,title_alternative2,rating,votes,type_serie,cover,state,followers,categories,related,episodes,description,reactions_like,reactions_funny,reactions_love,reactions_surprise,reactions_angry,reactions_sad,reactions_total
Shirobako Specials,none,none,4.4,37,OVA,https://www3.animeflv.net/uploads/animes/covers/1845.jpg,FINALIZADO,151,Aventuras|Comedia,Shirobako (Historia Principal),2.0,Episodios especiales incluidos en el tercer y septimo volumen de BD/Dvd de Shirobako,4,0,8,2,1,0,15
Hoozuki no Reitetsu OVA,none,none,4.6,63,OVA,https://www3.animeflv.net/uploads/animes/covers/2205.jpg,FINALIZADO,235,Comedia|Demonios|Fantasía|Sobrenatural,Hoozuki no Reitetsu (Historia Principal),3.0,"Ovas incluidas en los volúmenes 17, 18 y 19 del manga de Hoozuki no Reitetsu",3,0,8,0,0,0,11
Yuru Yuri Nachuyachumi!,none,none,4.6,237,OVA,https://www3.animeflv.net/uploads/animes/covers/1844.jpg,FINALIZADO,1256,Comedia|Recuentos de la vida|Yuri,YuruYuri 2 (Precuela)|YuruYuri Nachuyachumi! Plus (Secuela),1.0,,23,15,120,3,4,4,169
Anime de Wakaru Shinryounaika,none,none,4.3,47,OVA,https://www3.animeflv.net/uploads/animes/covers/1837.jpg,FINALIZADO,475,Comedia|Seinen,,20.0,"La historia gira en torno al psicólogo Ryou y su enfermera Asuna. La pareja se encarga de explicar aspectos de enfermedades mentales usando una serie de casos vagamente conectados que usualmente son capítulos autoconclusivos. Con un tono desenfadado, el doctor nos lleva a entender estados como la depresión, trastornos de adaptación o el síndrome de Asperger.",10,1,9,2,0,1,23
Go! Princess Precure,none,none,4.5,134,ANIME,https://www3.animeflv.net/uploads/animes/covers/1841.jpg,FINALIZADO,414,Acción|Comedia|Escolares|Fantasía|Magia|Recuentos de la vida|Shoujo,Happiness Charge Precure! (Historia Paralela),50.0,"Hace mucho tiempo, Haruka Haruno conoció a un extraño muchacho llamado Kanata. Él le dio una extraña llave y ella le prometió que nunca renunciará a su sueño. Unos años más tarde, Haruka, ahora a la edad de 13 años, asiste a la Academia de Nobles, un internado para niñas y niños. Pero incluso ahora, ella conserva su sueño de convertirse en una princesa, como la de sus preciosos libros ilustrados. Un día, se encontró con dos pequeñas hadas del Reino Hope, Pafu y Aroma, quienes fueron perseguidas por extraños monstruos. Las hadas le dijeron que ellas fueron creadas por una bruja que convierte los sueños en desesperación y los encierra lejos, en la Puerta de la Desesperación. Sin otra opción, las hadas le dieron a Haruka un perfume Princess, con el cual ella podrá convertirse en Cure Flora, una Pretty Cure con el poder para oponerse a la bruja oscura. Con la ayuda de Minami Kaido (Cure Mermaid) y Kirara Amanogawa (Cure Twinkle), formarán el equipo Princess Pretty Cure con el fin de recolectar las Dress-Up Keys para abrir la Puerta de los Sueños y proteger los sueños de la gente de la desesperación.",8,1,48,0,0,3,60
Aoki Hagane no Arpeggio: Ars Nova DC,none,none,4.5,71,PELÍCULA,https://www3.animeflv.net/uploads/animes/covers/2140.jpg,FINALIZADO,520,Acción|Ciencia Ficción|Seinen,Aoki Hagane no Arpeggio (Resumen)|Aoki Hagane no Arpeggio: Ars Nova Cadenza (Secuela),1.0,,3,0,23,0,1,3,30
Bokura wa Minna Kawaisou: Hajimete no,none,none,4.7,309,OVA,https://www3.animeflv.net/uploads/animes/covers/1833.jpg,FINALIZADO,1498,Comedia|Escolares|Recuentos de la vida|Romance,Bokura wa Minna Kawaisou (Historia Principal),1.0,Episodio incluido en el 7mo volumen BD/DVD de Bokura wa Minna Kawaisou,26,3,99,0,3,1,132
Kuroshitsuji: Book of Murder,none,none,4.7,432,OVA,https://www3.animeflv.net/uploads/animes/covers/1835.jpg,FINALIZADO,3755,Comedia|Demonios|Fantasía|Historico|Misterio|Shounen|Sobrenatural,Kuroshitsuji: Book of Circus (Precuela),2.0,"Por orden de la reina, el joven maestro Ciel Phantomhive organiza un banquete para la crème-de-la-crème de Londres. Lo cque empieza como algo fabuloso, rápidamente da un giro oscuro cuando los invitados empiezan a morir. Para poder volver a ver la luz del día, Sebastian y Ciel deberán unir sus fuerzas con las de los invitados, incluyendo al legendario escritor Sir Arthur Conan Doyle para destapar el misterio antes de que sea demasiado tarde.",20,7,432,6,1,12,478
Isuca,none,none,4.4,406,ANIME,https://www3.animeflv.net/uploads/animes/covers/1804.jpg,FINALIZADO,4473,Acción|Comedia|Ecchi|Escolares|Romance|Seinen|Sobrenatural,Isuca Ova (Secuela),10.0,"Shinichirou decide buscar un trabajo para poder pagar su renta, y su profesor le sugiere que haga las faenas domésticas en la casa de alguien. Sin embargo, la persona que lo contrató fue Sakuya, una chica que es la jefe N°37 de la familia Shimazu, y su trabajo es exorcizar y eliminar criaturas no deseadas. Shinichirou accidentalmente libera a una de las criaturas que Sakuya captura y colaboran para atraparla. ¡Una cómica historia de cacería de criaturas comienza!",17,5,62,2,4,1,91
Hyakka Ryouran: Samurai After Specials,none,none,4.4,35,OVA,https://www3.animeflv.net/uploads/animes/covers/1843.jpg,FINALIZADO,460,Ecchi,,2.0,,3,0,17,1,1,0,22
