title,title_alternative1,title_alternative2,rating,votes,type_serie,cover,state,followers,categories,related,episodes,description,reactions_like,reactions_funny,reactions_love,reactions_surprise,reactions_angry,reactions_sad,reactions_total
Yakunara Mug Cup mo: Niban Gama,"Yakunara Mug Cup mo 2nd Season, Let's Make a Mug Too: Second Kiln",やくならマグカップも 二番窯,4.4,175,ANIME,https://www3.animeflv.net/uploads/animes/covers/3515.jpg,FINALIZADO,1119,Recuentos de la vida,Yakunara Mug Cup mo (Precuela),12.0,Segunda temporada de Yakunara Mug Cup mo,12,3,93,2,4,1,115
Isekai Shokudou 2,Restaurant to Another World 2,異世界食堂 2,4.6,418,ANIME,https://www3.animeflv.net/uploads/animes/covers/3516.jpg,FINALIZADO,3240,Fantasía|Recuentos de la vida,Isekai Shokudou (Precuela),12.0,Segunda temporada de Isekai Shokudou,34,3,213,1,4,4,259
Hanma Baki: Son of Ogre,The Boy Fascinating the Fighting God,範馬刃牙 SON OF OGRE,4.7,453,OVA,https://www3.animeflv.net/uploads/animes/covers/3513.jpg,FINALIZADO,3025,Artes Marciales,BAKI: dai reitaisai-hen (Precuela),12.0,Tercera parte de la serie Baki.,78,6,307,16,7,5,419
Getsuyoubi no Tawawa 2,Tawawa on Monday Two,月曜日のたわわ2,4.6,748,OVA,https://www3.animeflv.net/uploads/animes/covers/3510.jpg,FINALIZADO,7136,Ecchi|Recuentos de la vida,Getsuyoubi no Tawawa (Precuela),12.0,Segunda temporada.,62,19,412,9,7,4,513
Ganbare Douki-chan,"Do Your Best, Douki-chan, Senpai is Mine",がんばれ同期ちゃん,4.6,647,OVA,https://www3.animeflv.net/uploads/animes/covers/3511.jpg,FINALIZADO,10951,Comedia|Ecchi|Romance,,12.0,Relata la historia de los encuentros de un asalariado con sus compañeras de trabajo y sus sentimientos por él.,99,30,609,25,19,4,786
Heike Monogatari,The Heike Story,平家物語,4.4,393,ANIME,https://www3.animeflv.net/uploads/animes/covers/3512.jpg,FINALIZADO,4150,Historico,,11.0,"El anime se centra en la perspectiva de Biwa, quien conoce a Taira no Shigemori, heredero de su clan, y portador de una vista sobrenatural que puede percibir fantasmas. Entonces le proclama una profecía sobre la caída de su clan.",74,5,261,16,10,13,379
Jahy-sama wa Kujikenai!,"Jahy-sama Won't Be Discouraged!, The Great Jahy Will Not Be Defeated!",ジャヒー様はくじけない！,4.4,1734,ANIME,https://www3.animeflv.net/uploads/animes/covers/3508.jpg,FINALIZADO,21017,Comedia|Shounen|Sobrenatural,,20.0,"Una vez respetada como la segunda mayor autoridad del Reino de los Demonios, la ayudante del Rey Demonio, Jahy, gobernaba a sus súbditos con miedo. Pero cuando una chica mágica ataca y destruye una gema mística que contiene un poder masivo, el Reino de los Demonios es destruido. Aunque sobrevive, Jahy ha perdido casi todos sus poderes y se encuentra varada en el mundo humano con una apariencia infantil. Para reunir más gemas místicas para poder restaurar permanentemente tanto su forma original como el Reino Demonio, Jahy tendrá que adaptarse a su nueva vida y lidiar con problemas cotidianos que nunca antes había experimentado. Desde trabajar para pagar los gastos de subsistencia hasta discutir con el propietario cada vez que se retrasa el alquiler, ¡la gran Jahy no se desanimará!",256,120,1531,33,41,24,2005
Magia Record: Mahou Shoujo Madoka☆Magica Gaiden (TV) 2nd Season,マギアレコード 魔法少女まどか☆マギカ外伝 2nd Season,none,4.4,324,ANIME,https://www3.animeflv.net/uploads/animes/covers/3507.jpg,FINALIZADO,2677,Drama|Magia|Psicológico|Suspenso,Magia Record: Mahou Shoujo Madoka☆Magica Gaiden (TV) (Precuela),12.0,Segunda temporada de Magia Record: Mahou Shoujo Madoka☆Magica Gaiden (TV),32,5,178,10,6,5,236
Heion Sedai no Idaten-tachi,Idaten Deities in the Peaceful Generation,平穏世代の韋駄天達,4.5,1085,ANIME,https://www3.animeflv.net/uploads/animes/covers/3506.jpg,FINALIZADO,8529,Acción|Aventuras|Demonios|Fantasía|Seinen,,11.0,"En la historia de este manga, los dioses aparecieron cuando la humanidad estaba al borde de la aniquilación por parte de los demonios. Deidades llamadas “Idaten” pelearon y sellaron a los demonios hace 800 años. Ahora, los “Idaten” ya no tiene experiencia en peleas y viven vidas pacíficas. Pero, al mismo tiempo, los demonios están reviviendo, y la batalla entre humanos, dioses y demonios está a punto de comenzar. ¿Cuál será el bando que se alce con la victoria en esta ocasión con las condiciones tan cambiadas?",150,32,470,33,19,18,722
Sonny Boy,none,none,4.5,1085,ANIME,https://www3.animeflv.net/uploads/animes/covers/3505.jpg,FINALIZADO,11337,Ciencia Ficción|Superpoderes,,12.0,"El drama de ciencia ficción se centra en treinta y seis chicos y chicas. El 16 de agosto, a mitad de unas vacaciones de verano aparentemente interminables, el estudiante de tercer año de preparatoria Nagara, la misteriosa estudiante transferida Nozomi y compañeros de clase como Mizuho y Asakaze, son repentinamente transportados de su tranquila vida cotidiana a una escuela a la deriva en una dimensión alternativa. Deberán sobrevivir con los superpoderes que han despertado en su interior.",205,16,650,67,23,19,980
Night Head 2041,NIGHT HEAD 2041,none,4.4,431,ANIME,https://www3.animeflv.net/uploads/animes/covers/3504.jpg,FINALIZADO,7460,Ciencia Ficción|Drama|Psicológico|Sobrenatural|Misterio,,12.0,"Night Head 2041 es una serie anime que sigue la historia de los hermanos Kirhara que, desde muy jóvenes, fueron encarcelados en una instalación científica debido al surgimiento de sus poderes sobrenaturales. Pero éstos consiguen escapar tras sobrepasar la barrera que les impedía usar sus poderes. Tras ellos se encuentran los hermanos Kuroki que intentarán atraparlos a toda costa.",110,8,326,27,9,9,489
Megami-ryou no Ryoubo-kun.,Mother of the Goddess' Dormitory,女神寮の寮母くん。,4.5,1862,ANIME,https://www3.animeflv.net/uploads/animes/covers/3503.jpg,FINALIZADO,20989,Comedia|Ecchi|Harem|Romance|Shounen,,10.0,"La historia se centra en un chico de doce años llamado Koushi Nagumo, quien se encuentra sin hogar, sin dinero y sin familiares que cuiden de él. Mientras duerme en la calle, es recogido para convertirse en el encargado de un dormitorio habitado por problemáticas estudiantes universitarias. Rodeado de estas chicas tan difíciles, la “nueva vida ligeramente ecchi” de Koushi comienza.",393,182,2565,64,54,33,3291
Deatte 5-byou de Battle,"Dea5, Battle in 5 seconds after meeting.",出会って5秒でバトル,4.5,1205,ANIME,https://www3.animeflv.net/uploads/animes/covers/3501.jpg,FINALIZADO,13154,Acción|Sobrenatural|Superpoderes,,12.0,"Era solo una mañana normal… Akira Shiroyanagi, un estudiante de preparatoria que ama los videojuegos y los dulces, de repente ha sido arrastrado al campo de batalla por parte de una misteriosa chica que se hace llamar Mion. A los participantes se les dice que fueron borrados del registro familiar, involucrados en un experimento y asignados ciertos poderes. Akira está decidido entonces a ganar el juego con sus nuevos poderes y destruir a todos los que lo metieron en este gran problema. Armado con un poder que nadie esperaría y sus habilidades cerebrales de estratega, ¡comienza el nuevo periodo de batalla de inteligencia!",212,23,632,39,7,13,926
Love Live! Superstar!!,ラブライブ！スーパースター!!,none,4.4,545,ANIME,https://www3.animeflv.net/uploads/animes/covers/3502.jpg,FINALIZADO,3612,Escolares|Música|Recuentos de la vida,,12.0,"Kanon Shibuya es una “super regular” estudiante de preparatoria que vive con su familia y ayuda en su cafetería local, el negocio de su familia. Kanon es bastante tímida, y cantar ante un público es un martirio para ella, sin embargo, su sueño es alegrar a las personas interpretando las canciones que escribe. “No tengo sueños para el futuro y no soy particularmente buena en nada. Pero incluso siendo una chica normal, no, precisamente porque solo soy eso, hay una sola cosa que puedo hacer: ¡convertirme en una idol escolar!”",71,9,547,6,14,7,654
D_Cide Traumerei the Animation,"DCTM, Toromera",D_CIDE TRAUMEREI（ディーサイドトロイメライ）,4.0,502,ANIME,https://www3.animeflv.net/uploads/animes/covers/3500.jpg,FINALIZADO,7210,Acción|Aventuras|Drama|Fantasía|Magia,,13.0,"La historia del anime se desarrolla en Shibuya y se centra en Ryuuhei. Cuando era niño, quería ser como su hermano mayor, pero lo vio morir en un misterioso incidente ante sus ojos. Ahora, siendo un estudiante de preparatoria, Ryuhei no muestra ninguna expresión sobre el trauma de ese incidente de pesadilla, y pasa la mayor parte de su tiempo libre practicando kickboxing. Un día, mientras practica kickboxing, se encuentra con una criatura que se hace llamar Tris, y es mordido por ella, lo que le hace tener un sueño extraño.",120,10,227,26,13,7,403
Meikyuu Black Company,The Dungeon of Black Company,迷宮ブラックカンパニー,4.6,1486,ANIME,https://www3.animeflv.net/uploads/animes/covers/3499.jpg,FINALIZADO,15804,Comedia|Fantasía,,12.0,"Kinji es una persona que no cuenta con una pizca de ética o disciplina laboral, ya que las considera innecesarias e incluso molestas de considerar. Un día, descubre que ha sido transportado a otro mundo, pero no uno de fantasía en el que es recibido como el héroe que derrotará al Rey Demonio o cualquier otro de los clichés actuales de la industria, ¡sino uno en el que es esclavizado para realizar un horrible trabajo! Ahora siendo esclavo de una malévola compañía minera, Kinji aprenderá por las malas el significado del trabajo duro.",207,157,806,30,11,8,1219
100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season,"I'm standing on 1,000,000 lives. Season 2",100万の命の上に俺は立っている,4.5,1127,ANIME,https://www3.animeflv.net/uploads/animes/covers/3498.jpg,FINALIZADO,11092,Acción|Drama|Fantasía|Juegos|Shounen,100-man no Inochi no Ue ni Ore wa Tatteiru (Precuela),12.0,"El estudiante de noveno grado, Yusuke Yotsuya, es un chico práctico, sin amigos y no es miembro de ningún club. Pero un día, él y dos compañeras de clase son transportados a otro mundo en el que deberán trabajar juntos para sobrevivir. Yotsuya es un “lobo solitario” y siempre ha vivido su vida satisfaciéndose a sí mismo, ¿pero cómo funcionará eso ahora que es un héroe? ¡Prepárate para una fantasía única que desafiará todo lo que crees saber sobre historias de otro mundo!",141,11,575,23,13,29,792
Shiroi Suna no Aquatope,Aquatope of White Sand,白い砂のアクアトープ,4.5,656,ANIME,https://www3.animeflv.net/uploads/animes/covers/3497.jpg,FINALIZADO,7499,Recuentos de la vida,,24.0,"La historia se desarrolla en el Acuario Gama Gama, un pequeño acuario en Okinawa, a una hora de autobús de Naha. Kukuru Misakino es una estudiante de preparatoria de 18 años que trabaja allí y conoce el “secreto” del acuario: a veces se pueden ver cosas misteriosas. Un día, Kukuru se encuentra con Fuuka, parada frente a un tanque de agua con el cabello suelto y una lágrima rodando por su mejilla. Fuuka ha renunciado a su sueño de convertirse en idol y se ha escapado de Tokio a Okinawa. Queriendo encontrar un lugar al cual pertenecer, Fuuka le suplica a Kukuru un trabajo en el acuario. Así, La historia sigue a Kukuru y Fuuka mientras lidiando con los problemas del secreto del acuario y la crisis que se avecina ante su posible cierre.",98,17,439,18,13,12,597
Tsukipro The Animation 2,TSUKIPRO THE ANIMATION 2,none,2.6,318,ANIME,https://www3.animeflv.net/uploads/animes/covers/3496.jpg,FINALIZADO,739,Música,Tsukipro The Animation (Precuela),13.0,Segunda temporada de Tsukipro.,25,4,97,9,53,3,191
Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore,Cheat Pharmacist's Slow Life: Making a Drugstore in Another World,チート薬師のスローライフ～異世界に作ろうドラッグストア～,4.4,1061,ANIME,https://www3.animeflv.net/uploads/animes/covers/3493.jpg,FINALIZADO,10282,Comedia|Fantasía,,12.0,"La historia sigue a Reiji, un hombre frustrado con su vida actual y su interminable trabajo que un día termina transportado a un mundo alterno. La habilidad que adquiere allí es crear medicina. Decepcionado por no tener una habilidad de combate, descubre que sus pociones son en realidad bastante potentes, por lo que decide abrir una farmacia con el dinero que acumuló.",131,38,641,15,18,9,852
Kobayashi-san Chi no Maid Dragon S,"Kobayashi-san Chi no Maid Dragon 2nd Season, Miss Kobayashi's Dragon Maid 2nd Season, The maid dragon of Kobayashi-san 2nd Season",小林さんちのメイドラゴンS,4.7,3261,ANIME,https://www3.animeflv.net/uploads/animes/covers/3495.jpg,FINALIZADO,25359,Comedia|Fantasía|Recuentos de la vida,Kobayashi-san Chi no Maid Dragon (Precuela),13.0,"La señorita Kobayashi es la oficinista promedio que vive una vida aburrida, sola en su pequeño departamento, hasta que salva la vida de una dragona en apuros. La dragona, llamada Tohru, tiene la capacidad de transformarse mágicamente en una adorable chica humana (¡aunque con cuernos y cola larga!), que hará cualquier cosa para pagar su deuda de gratitud, ya sea que le guste o no a la señorita Kobayashi. Con un dragón muy persistente y amoroso como compañero de habitación, nada es fácil, ¡y la vida normal de la señorita Kobayashi está a punto de terminar!",468,201,5424,52,61,47,6253
Tsuki ga Michibiku Isekai Douchuu,Tsukimichi: Moonlit Fantasy,月が導く異世界道中,4.8,3072,ANIME,https://www3.animeflv.net/uploads/animes/covers/3494.jpg,FINALIZADO,25228,Aventuras|Fantasía,,12.0,"La historia de fantasía se centra en Makoto Misumi, un chico ordinario de preparatoria que es enviado a un nuevo mundo como un valiente guerrero. Desafortunadamente, la diosa de ese nuevo mundo le dijo con desdén: “Qué feo eres”, lo despojó de su título y lo desterró a los confines más remotos del desierto. Mientras deambulaba por la zona, Makoto se encontró con dragones, arañas, orcos, enanos y todo tipo de criaturas fantásticas. Debido a las diferencias en el entorno de su mundo natal, Makoto ahora exhibe extraordinarios poderes mágicos y de combate. Por lo tanto sobrevive en este mundo mientras se enfrenta a varias amenazas. Se levanta así el telón de la fantasía de reforma social del mundo alterno, centrada en un joven abandonado por los dioses y por los humanos.",466,127,2194,47,27,21,2882
Tensei shitara Slime Datta Ken 2nd Season Part 2,Tensura 2,転生したらスライムだった件,4.8,3925,ANIME,https://www3.animeflv.net/uploads/animes/covers/3492.jpg,FINALIZADO,21888,Acción|Aventuras|Comedia|Demonios|Fantasía|Magia,Tensei shitara Slime Datta Ken 2nd Season (Precuela),12.0,"Satoru Mikami es un hombre ordinario de 37 años que vive en Tokio. Está relativamente contento con su monótona vida, a pesar del hecho de que no tiene novia. Durante un encuentro con uno de sus colegas, un asaltante lo acuchilla y muere. Pero durante su agonía previa a su muerte, una misteriosa voz recita una serie de comandos que, al principio, no tienen sentido alguno. Cuando despierta nuevamente, descubre que ha reeencarnado en un slime en otro mundo. Poco sabía que su monótona vida ahora ha dado un giro completo puesto que, con su nueva forma y vida, irá descubriendo nuevas habilidades y haciendo nuevos amigos.",362,25,3263,26,24,18,3718
Uramichi Oniisan,Life Lessons with Uramichi-Oniisan,うらみちお兄さん,4.6,1158,ANIME,https://www3.animeflv.net/uploads/animes/covers/3491.jpg,FINALIZADO,12753,Comedia|Recuentos de la vida,,13.0,"Uramichi Omota es un hombre de 31 años que tiene dos caras. Por un lado está el joven al cargo de los ejercicios físicos de un programa educativo. Aunque en el programa parece siempre animado, en realidad es algo inestable, mostrándonos la historia las partes más amargas de la vida de un joven adulto.",150,308,1192,31,9,34,1724
Seirei Gensouki,Spirit Chronicles,精霊幻想記,4.6,3169,ANIME,https://www3.animeflv.net/uploads/animes/covers/3490.jpg,FINALIZADO,28913,Acción|Aventuras|Drama|Fantasía|Harem|Romance,,12.0,"Su vida pasada y su vida actual se cruzan: ¡un chico con recuerdos de dos vidas se enfrenta a su destino! Después de que su madre fuera asesinada siendo pequeño, el huérfano Rio luchó con todas sus fuerzas para sobrevivir en los barrios bajos. Un día se despierta con los recuerdos de Haruto Amakwa, quien murió en un accidente mientras soñaba con reunirse con su amigo de la infancia, y Rio se da cuenta de que se ha reencarnado en un mundo de espadas y brujería. No solo eso, sino que, tras ayudar a detener un intento de secuestro de una princesa con la que se tropezó, acaba inscrito en una famosa escuela donde se reúnen los hijos de la nobleza… Rio intentará ascender desde lo más bajo de una sociedad jerarquizada y vivirá nuevos encuentros y despedidas mientras lucha por superar el destino.",683,48,2929,86,46,35,3827
https://www3.animeflv.net/anime/getter-robo-arc,none,none,0,0,none,none,404 not found,0,,,0.0,none,0,0,0,0,0,0,0
IDOLiSH7: Third Beat!,"IDOLiSH7 3rd Season, Idolish Seven 3rd Season",アイドリッシュセブン Third BEAT!,4.1,316,ANIME,https://www3.animeflv.net/uploads/animes/covers/3474.jpg,FINALIZADO,1524,Música,,13.0,Tercera temporada de IDOLiSH7,25,4,355,15,16,7,422
"Tantei wa Mou, Shindeiru.","The Detective Is Already Dead, La detective está muerta., Tanmoshi",探偵はもう、死んでいる。,4.4,1917,ANIME,https://www3.animeflv.net/uploads/animes/covers/3487.jpg,FINALIZADO,26378,Comedia|Drama|Misterio|Romance,,12.0,"Kimizuka Kimihiko es un imán de crisis. Desde quedar atrapado en la escena de un crimen hasta presenciar accidentalmente un negocio de drogas, los problemas parecen encontrarlo en cada esquina. Por lo tanto, no es de extrañar que su vuelo más bien mundano entre de repente en un estado de emergencia con una necesidad imperiosa de un detective a bordo. Desafortunadamente, su intento de evitar problemas es frustrado por una hermosa chica de cabello plateado que se conoce con el nombre en clave Siesta. Declarándose a sí misma detective, arrastra sin ceremonias a Kimizuka al caso como su asistente. Ese incidente marcó el comienzo de una aventura alrededor del mundo que fue más allá de su imaginación más salvaje. Poniendo sus vidas en juego, los dos derribaron organizaciones criminales, previnieron desastres y salvaron a miles. Pero el telón se cerró para su épico viaje con la prematura muerte de Siesta tres años después. Esta vez, decidido a vivir una vida normal en la preparatoria, Kimizuka pasa un año manteniendo un perfil bajo. Sin embargo, según el destino, una chica con un extraño parecido con Siesta se estrella contra su vida, amenazando con arruinar sus días de paz.",269,32,1682,68,41,195,2287
