title,title_alternative1,title_alternative2,rating,votes,type_serie,cover,state,followers,categories,related,episodes,description,reactions_like,reactions_funny,reactions_love,reactions_surprise,reactions_angry,reactions_sad,reactions_total
Bakumatsu: Crisis,"Renai Bakumatsu Kareshi Gaiden, Bakumatsu Second Season, Bakumatsu 2nd Season",BAKUMATSU ~恋愛幕末カレシ 外伝~ クライシス,3.0,245,ANIME,https://www3.animeflv.net/uploads/animes/covers/3110.jpg,FINALIZADO,1167,Acción|Historico|Samurai,Bakumatsu (Precuela),12.0,Segunda temporada de Bakumatsu,4,0,8,0,1,0,13
Cinderella Girls Gekijou: Climax Season,"THE IDOLM@STER Cinderella Girls Theater 4th Season, The Idolmaster Cinderella Girls Gekijou 4th Season",シンデレラガールズ劇場 CLIMAX SEASON,3.5,113,ANIME,https://www3.animeflv.net/uploads/animes/covers/3108.jpg,FINALIZADO,470,Comedia|Recuentos de la vida,Cinderella Girls Gekijou 3rd Season (Precuela),13.0,"¡Nuestras queridas idols de THE IDOLM@STER regresan en su versión más pequeñita! ¿Quieres saber en qué piensan, cómo se divierten o cómo pasan el día a día las chicas? ¡Pues no te pierda estos episodios repletos de interacciones entre ellas y situaciones cómicas!",3,1,8,0,0,0,12
Diamond no Ace: Act II,"Ace of Diamond Act II, Daiya no Ace: Act II",ダイヤのA[エース] actII,4.6,630,ANIME,https://www3.animeflv.net/uploads/animes/covers/3107.jpg,FINALIZADO,3074,Comedia|Deportes|Escolares|Shounen,Diamond no Ace: Second Season (Precuela),52.0,"Eijun Sawamura por fin hace su primera aparición en el invitacional de primavera. Quiere restaurar la reputación de Seido como equipo de primera línea, ¡e incluso aspira con llegar al campeonato nacional! ¡La nueva carrera del Seido está a punto de comenzar!",14,2,74,3,1,3,97
Kono Yo no Hate de Koi wo Utau Shoujo YU-NO,YU-NO: A girl who chants love at the bound of this world.,この世の果てで恋を唄う少女YU-NO,4.4,1894,ANIME,https://www3.animeflv.net/uploads/animes/covers/3109.jpg,FINALIZADO,21272,Ciencia Ficción|Drama,,26.0,"Takuya Arima es un joven estudiante cuyo padre, un historiador que ha realizado varias investigaciones, desapareció recientemente. Durante las vacaciones de verano, Takuya recibe un paquete peculiar de su padre desaparecido, junto con una carta que contiene información sobre la existencia de varios mundos paralelos. Al principio, Takuya no lo toma en serio, pero pronto se da cuenta de que posee un dispositivo que le permite viajar a dimensiones alternativas. ¿Está vivo su padre, después de todo? Si es así, ¿dónde está?",54,10,189,12,16,12,293
Trinity Seven Movie 2: Tenkuu Toshokan to Shinku no Maou,"Gekijouban Trinity Seven 2, Trinity Seven Movie 2: Heavens Library & Crimson Lord",劇場版トリニティセブン 天空図書館と真紅の魔王,4.7,997,PELÍCULA,https://www3.animeflv.net/uploads/animes/covers/3106.jpg,FINALIZADO,6127,Acción|Comedia|Ecchi|Escolares|Fantasía|Harem|Romance|Shounen,Trinity Seven Movie: Eternity Library to Alchemic Girl (Precuela),1.0,,71,9,522,9,5,7,623
Non Non Biyori Movie: Vacation,劇場版 のんのんびより ばけーしょん,none,4.7,333,PELÍCULA,https://www3.animeflv.net/uploads/animes/covers/3105.jpg,FINALIZADO,1536,Comedia|Recuentos de la vida|Seinen,Non Non Biyori Repeat (Precuela)|Non Non Biyori Nonstop (Secuela),1.0,,14,3,160,1,0,0,178
Zoku Owarimonogatari,続・終物語,none,4.8,779,OVA,https://www3.animeflv.net/uploads/animes/covers/3104.jpg,FINALIZADO,2492,Comedia|Misterio|Sobrenatural|Vampiros,Owarimonogatari 2nd Season (Precuela),6.0,,19,2,96,3,0,1,121
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Movie: Orion no Ya,"DanMachi Movie, Is It Wrong That I Want to Meet You in a Dungeon Movie",劇場版 ダンジョンに出会いを求めるのは間違っているだろうか -オリオンの矢-,4.6,1600,PELÍCULA,https://www3.animeflv.net/uploads/animes/covers/3163.jpg,FINALIZADO,8857,Acción|Aventuras|Comedia|Fantasía|Romance,,1.0,"En la ciudad de Orion, debajo de una torre increíblemente alta, se encuentra el calabozo. Solo los aventureros que forman asociaciones con los dioses mismos tienen alguna esperanza de derrotar a los monstruos que se encuentran dentro. Pero el calabozo no es el único lugar donde existen los monstruos. Lejos de Orion, en las ruinas de una antigua ciudad, surge una nueva amenaza. Para contrarrestar esta amenaza, la diosa Artemisa ha venido a Orario en busca de un campeón, pero no es Ais Wallenstein (la legendaria Princesa Espada) ni Ottar (el guerrero más fuerte que jamás haya entrado en el calabozo) lo que ella elige. Más bien es Bell Cranel, un aventurero novato que se asoció con una diosa de bajo nivel.",155,14,707,8,16,74,974
Boku no Hero Academia the Movie: Futari no Hero,My Hero Academia the Movie: The Two Heroes,僕のヒーローアカデミア THE MOVIE ～2人の英雄（ヒーロー）～,4.6,3350,PELÍCULA,https://www3.animeflv.net/uploads/animes/covers/3103.jpg,FINALIZADO,14961,Acción|Comedia|Escolares|Shounen|Superpoderes,,1.0,"En el extranjero existe una ciudad gigante, flotante, creada por el hombre: I Island. La película tendrá lugar tras el arco del examen final, en verano, pero antes del arco de entrenamiento del bosque. Asimismo, se revelará más información del pasado de All Might.",441,62,3799,69,67,34,4472
Manaria Friends,"Rage of Bahamut: Manaria Friends, Shingeki no Bahamut: Manaria Friends",マナリアフレンズ,4.3,857,ANIME,https://www3.animeflv.net/uploads/animes/covers/3100.jpg,FINALIZADO,8279,Acción|Aventuras|Demonios|Fantasía|Magia|Sobrenatural,,10.0,"La Academia Mysteria es una prestigiosa escuela de magia que enseña magia a cualquiera sin tener en cuenta a cuál de las tres facciones pertenece (hombres, dioses, demonios), pese a que estas están siempre en guerra. En esta academia estudian dos chicas muy particulares: la princesa Anne, y la joven Grea, una princesa mitad dragón y mitad humana.",33,4,127,6,3,4,177
