title,title_alternative1,title_alternative2,rating,votes,type_serie,cover,state,followers,categories,related,episodes,description,reactions_like,reactions_funny,reactions_love,reactions_surprise,reactions_angry,reactions_sad,reactions_total
Zipang,none,none,4.3,104,ANIME,https://www3.animeflv.net/uploads/animes/covers/1498.jpg,FINALIZADO,293,Acción|Ciencia Ficción|Drama|Historico|Militar|Seinen,,26.0,"El buque de guerra más Tecnológico de Japón, el Mirai, zarpa del puerto de Yokosuka, escoltado por otros tres navíos hacia su primer ejercicio de pruebas con la Marina Estadounidense. De repente, aparece una tormenta en mitad del océano Pacífico que atrapa a los tres barcos y transporta al Mirai al 4 de Junio de 1942 víspera de la batalla de Midway. Ahora su tripulación deberá decidir si deben o no cambiar el curso de la historia involucrándose en la 2ª Guerra Mundial.",7,1,13,0,0,1,22
Rozen Maiden,ローゼンメイデン,none,4.6,162,ANIME,https://www3.animeflv.net/uploads/animes/covers/556.jpg,FINALIZADO,1624,Acción|Comedia|Drama|Magia|Seinen,Rozen Maiden: Träumend (Secuela),13.0,"Son 7 muñecas de porcelana que su creador dio vida al cual todas llaman ""Padre"". Todas tienes que entrar al juego de ""Alice"", en este tienen que pelear entres si para así quedarse con la roza mística de la perdedora (osea lo que las mantiene vivas); La que consiga obtener todas la rosas místicas sera llamada ""Alice"" la cual tendrá la oportunidad de estar con ""padre"" puesto que él considera que Alice es la muñeca mas hermosa y perfecta que exista. La protagonista de esta serie se llama Shinku (la quinta muñeca en ser creada) va a parar con el coprotagonista de esta serie (Jun) el cual la obtuvo por medio de la Internet ya que gusta de comprar cosas extrañas por este medio, este a su vez se convierte en el médium de Shinku (el que le proporciona energía). Las demas muñecas están por aparecer y al estar todas empezara....""El juego de Alice"".",9,5,40,1,0,0,55
Beck,ベック,Beck - Mongolian Chop Squad,4.8,517,ANIME,https://www3.animeflv.net/uploads/animes/covers/19.jpg,FINALIZADO,2164,Comedia|Drama|Música|Recuentos de la vida|Shounen,,26.0,"Koyuki es un chico japonés de 14 años que entra en la escuela secundaria con dos amigos de la infancia. El primero es Tanabe, el típico pervertido que no puede pensar más que en mujeres y que siempre está intentando fotografiar a las chicas en poses ""comprometedoras"", y el segundo es una atractiva estudiante llamada Izumi, era casi la única chica con la que se llevaba bien cuando era pequeño. La aburrida vida de Koyuki cambia cuando salva a un perro de extraña apariencia de unos niños que le querían dar una paliza. El dueño de Beck (el perro) resulta ser un guitarrista, Minami Ryuusuke. Los dos se hacen amigos y así comienza su divertida, loca, y a veces peligrosa aventura musical.",15,1,72,1,2,1,92
Futakoi,双恋,Twin Love,4.4,89,ANIME,https://www3.animeflv.net/uploads/animes/covers/404.jpg,FINALIZADO,742,Comedia|Escolares|Romance,Futakoi Alternative (Spin-Off),13.0,"La historia comienza cuando Nozomu Futami, el protagonista, vuelve a la ciudad donde creció para asistir a clases y vivir con su tía, ya que su padre ha conseguido un trabajo como astrónomo en Hawai, y Nozumu ha preferido quedarse en Japón. Su tia es custodia de un templo en el cual hay una piedra que según la leyenda local recuerda la maldición de dos hermanas gemelas que se enamoraron del mismo hombre, y este al no poder elegir por ninguna de las dos, murieron de pena convirtiéndose en dos pequeñas aves; y según dicen es la causa principal que la ciudad tenga más hermanas gemelas de lo normal. Y nozumo tendra que lidiar con el amor de varias gemelas, al igual que la leyenda.",17,3,13,2,0,0,35
Ring ni Kakero,リングにかけろ1,none,3.1,47,ANIME,https://www3.animeflv.net/uploads/animes/covers/466.jpg,FINALIZADO,174,Acción|Deportes|Shounen,Ring ni Kakero 1 Nichibei Kessen Hen (Secuela),12.0,"Basado en el manga de Masami Kurumada,este anime es la adaptaciòn de parte del manga Ring ni Kakero (leer el manga antes de ver esta serie,ya que parte desde la mitad del manga).La serie nos presenta la historia de Takane Ryuji un joven cuyo sueño es ser el mejor boxeador de Japòn y a la vez llevar al equipo japones de boxeo a la elite mundial. Takane Kiku hermana de Ryuji es a su vez tambien su entrenadora,haciendo que èste se concentre en su rol de boxeador para aprender el ""Boomerang"" (el cual es una tècnica).Comienza el torneo de boxeo junior y Ryuji se debe enfrentar a su archienemigo Kenzaki Jun.",3,2,0,0,1,0,6
Sunabouzu,Desert Punk,砂ぼうず,4.4,147,ANIME,https://www3.animeflv.net/uploads/animes/covers/1543.jpg,FINALIZADO,1395,Acción|Aventuras|Ciencia Ficción|Comedia|Ecchi|Shounen,,24.0,"La civilización del año 3000 que vivía en la ""Era de la Oscuridad"" finaliza con una guerra nuclear que altera el mundo y convierte a la mayoría del planeta Tierra en un inmenso desierto. El protagonista, Mizuno kanta, conocido como el ""Rebelde del Desierto"" o ""Desert Punk"", vive en el desierto de Kanto, ubicado en lo que antiguamente era Japón, como un mercenario a sueldo. Su fama se debe a que siempre termina sus trabajos y que usa distintas habilidades, en su mayoría algo caseras, para derrotar a sus enemigos.",19,1,17,1,1,1,40
Yu-Gi-Oh! GX,遊戯王デュエルモンスターズGX,none,4.5,354,ANIME,https://www3.animeflv.net/uploads/animes/covers/968.jpg,FINALIZADO,2522,Acción|Comedia|Fantasía|Juegos|Shounen,Yu-Gi-Oh! Duel Monsters (Secuela)|Yu-Gi-Oh! Zexal (Secuela)|Yu-Gi-Oh! 5D's (Precuela),180.0,"La historia trata de Jaden Yuki , quien hace su examen para entrar en la Academia de Duelos, donde se aprende a jugar el Duelo de Monstruos para llegar a convertirse en el Rey de los Juegos.La academia está dividida en tres cuartos: Obelisco Azul, Ra Amarillo y Slifer Rojo y el Cuarto Blanco(usado por los adeptos de Sartorius, el cual solo aparece en la 2da temporada). Al ir a su examen, Jaden se tropieza con un adulto Yugi Muto, quien le regala la carta, Kuriboh Alado. A pesar de llegar un poco retrasado, a Jaden se le permite hacer el examen de ingreso, tocándole como rival el Dr. Crowler, uno de los profesores de la academia de duelo, quien cuenta con un doctorado en duelos. A pesar de que Crowler parece llevar la ventaja desde el principio, Jaden logra vencerlo y así ingresar. A pesar de haber vencido a Crowler, Jaden es enviado a Slifer Red debido a sus malas calificaciones en el examen teorico.",29,4,67,5,4,3,112
Harukanaru Toki no Naka de: Hachiyou Shou,none,none,4.4,93,ANIME,https://www3.animeflv.net/uploads/animes/covers/2298.jpg,FINALIZADO,553,Demonios|Fantasía|Historico|Magia|Shoujo|Sobrenatural,,26.0,"La estudiante de Instituto Akane Motomiya, se ve trasladada a otro mundo junto con sus compañeros Tenma e Inori. Este mundo llamado Kyou recuerda mucho al Kyoto de la Era Heian en Japón (entre el 800 y el 1200 D.C). Allí se le dice que es la Sacerdotisa del Dios Dragón, y única que puede usar los poderes de los dioses y que debe defender ese mundo del acoso del Clan de los Oni para que ella pueda regresar a casa, para lo cual contará con la ayuda de los Hachiyou, ocho guerreros que representan a los cuatro dioses protectores del Kyo.",9,0,25,0,0,0,34
School Rumble,スクールランブル,none,4.7,320,ANIME,https://www3.animeflv.net/uploads/animes/covers/463.jpg,FINALIZADO,2307,Comedia|Escolares|Romance|Shounen,School Rumble Nigakki (Secuela),28.0,"Tenma Tsukamoto es una estudiante que, como tantas otras, está perdidamente enamorada. El afortunado es Ooji Karasuma, un muchacho inexpresivo e indiferente a todo, por lo que se verá obligada a enamorarle por todos los medios. Lo que Tenma ignora es que todo un ?Rey del Barrio?, Kenji Harima, anda detrás de ella y, pese a su fuerza y valor, es incapaz de mostrarle sus sentimientos. Las amigas de Tenma son una luchadora, una millonaria y una mujer muy misteriosa. Su hermana menor, Yakumo Tsukamoto, también será relevante. Los demás personajes son capaces de hacer cualquier cosa por amor... o por lo que haga falta.",9,9,68,2,1,1,90
Tsukuyomi: Moon Phase,none,none,4.4,80,ANIME,https://www3.animeflv.net/uploads/animes/covers/1947.jpg,FINALIZADO,594,Comedia|Fantasía|Romance|Seinen|Vampiros,,26.0,"Morioka Kohei quiere convertirse en fotógrafo, pero en todas las fotos que hace aparecen fantasmas. Visitando un viejo castillo en Alemania, conoce a una joven vampira, Hazuki. Hazuki, que estaba encerrada en el castillo cuando Kohei entra en éste, intenta chupar la sangre de Kohei para hacerlo su esclavo, pero no funciona. Sin embargo, Kohei destruye casualmente el sello que la mantenía encerrada, Hazuki escapa del castillo y pone rumbo a Japón para buscar a su madre. Al llegar a Japón, se dirigirá a la casa de Kohei donde éste vivía con su abuelo, y empezará a vivir con ellos a la fuerza, ya que Kouhei perdió a su madre en su niñez y Hazuki prometió ayudarle a buscarla. Entonces, Elfried, otra vampira, y el Conde Kinkell llegarán a Japón con la intención de traerla de vuelta.",3,1,13,1,0,0,18
