title,title_alternative1,title_alternative2,rating,votes,type_serie,cover,state,followers,categories,related,episodes,description,reactions_like,reactions_funny,reactions_love,reactions_surprise,reactions_angry,reactions_sad,reactions_total
Dokyuu Hentai HxEros,SUPER HXEROS,ド級編隊エグゼロス,4.3,1127,ANIME,https://www3.animeflv.net/uploads/animes/covers/3319.jpg,FINALIZADO,12518,Acción|Comedia|Ecchi|Escolares|Shounen|Sobrenatural,,12.0,"En un mundo al borde de un gran desastre que comenzó hace cinco años, existen héroes que, con la ayuda de un dispositivo llamado HxEros, usan el poder Ecchi (H) y Erótico (Ero) para salvar el planeta de los monstruos libidinosos. Enjo Retto y Hoshino Kirara son amigos de la infancia que se han separado. Un día, se ven atrapados en una batalla contra un Censor Bug que se alimenta de la energía sexual de los humanos. Después de derrotarlo exitosamente, se unen a otro grupo de héroes y usarán el poder erótico del HxEROS para salvar el mundo.",158,90,560,29,34,12,883
BAKI: dai reitaisai-hen,none,none,4.4,884,ANIME,https://www3.animeflv.net/uploads/animes/covers/3317.jpg,FINALIZADO,5695,Acción|Artes Marciales|Shounen,Hanma Baki: Son of Ogre (Secuela),13.0,"El protagonista, Baki Hanma, entrena intensamente para ser tan fuerte como para superar a su padre, Yujiro Hanma, el luchador más fuerte del mundo. Cinco de los condenados a muerte más violentos y brutales del mundo se reúnen para enfrentar a Baki. Su objetivo es probar la derrota: su fuerza y habilidad inigualables los han llevado a aburrirse de la vida misma, y ahora buscan a Baki con la esperanza de que él pueda abrumarlos y aplastarlos por completo. En esta crisis, otros luchadores del arte marcial subterráneo se juntan para luchar al lado de Baki, se trata de Kaoru Hanayama, Gouki Shibukawa, Retsu Kaioh y Doppo Orochi. De esta forman, comienza un enfrentamiento épico entre presos condenados a muerte y Baki y sus amigos.",188,22,355,38,14,4,621
Kitsutsuki Tanteidokoro,Kitsutsuki Tantei-Dokoro,啄木鳥探偵處,4.0,300,ANIME,https://www3.animeflv.net/uploads/animes/covers/3315.jpg,FINALIZADO,2161,Historico|Misterio,,12.0,"La historia se desarrolla en 1909, durante la era Meiji, se centra en versiones ficticias del poeta Takuboku Ishikawa y del lingüista Kyōsuke Kindaichi, que eran conocidos en la vida real. En la novela, Takuboku dirige una agencia de detectives privados para apoyar a su familia. Ambos comienzan a investigar un caso de supuestas apariciones de fantasmas en el edificio Asakus Jūnikai, también conocido como Ryōunkai.",25,3,48,3,4,5,88
Shokugeki no Souma: Gou no Sara,Shokugeki no Soma 5th Season,食戟のソーマ 豪ノ皿,4.6,2098,ANIME,https://www3.animeflv.net/uploads/animes/covers/3313.jpg,FINALIZADO,16117,Ecchi|Escolares|Shounen,Shokugeki no Souma: Shin no Sara (Precuela),13.0,Quinta Temporada de Shokugeki no Souma.,162,27,1070,29,25,29,1342
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen 2nd Season,"Kaguya Wants to be Confessed To: The Geniuses' War of Love and Brains 2nd Season, Kaguya-sama: Love is War 2nd Season",かぐや様は告らせたい？～天才たちの恋愛頭脳戦～,4.8,6142,ANIME,https://www3.animeflv.net/uploads/animes/covers/3314.jpg,FINALIZADO,30117,Comedia|Escolares|Psicológico|Romance|Seinen,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen (Precuela)|Kaguya-sama wa Kokurasetai: Ultra Romantic (Secuela),13.0,Segunda temporada de Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,365,202,3070,40,28,23,3728
Appare-Ranman!,Appare Ranman!,天晴爛漫！,4.6,544,ANIME,https://www3.animeflv.net/uploads/animes/covers/3312.jpg,FINALIZADO,4578,Comedia|Historico,,13.0,"La historia se desarrollará al final del siglo XIX, cerca ya del inicio del nuevo siglo. Tras ciertas circunstancias, el brillante pero socialmente inepto ingeniero Sorano Appare y el cobarde samurái Isshiki Kosame, se encuentran en un barco que va de Japón a América. Ambos deciden competir en la Trans-America Wild Race para hacerse con su primer premio y regresar a Japón. Así, ambos enfrentarán a rivales tarados, criminales y al propio entorno en una carrera salvaje por el viejo Oeste que irá desde su salida en Los Ángeles hasta la meta en Nueva York... en un coche a vapor que ellos mismos construyen.",25,12,88,10,4,1,140
Zashiki Warashi no Tatami-chan,Tatami-chan the Guest Room Spirit,ざしきわらしのタタミちゃん,3.2,177,OVA,https://www3.animeflv.net/uploads/animes/covers/3311.jpg,FINALIZADO,528,Comedia|Sobrenatural|Terror,,12.0,"La ""comedia de mordaza de terror agradable"" se centra en la vida de Tatami-chan, un fantasma sardónico de la prefectura de Iwate que ahora vive en Tokio entre otros espíritus, entidades sobrenaturales y humanos. Además de ocuparse de asuntos de otro mundo, el desempleado Tatami-chan también tiene que lidiar con la búsqueda de empleo, así como con el pago de gas, agua y electricidad.",4,7,9,3,2,1,26
Fugou Keiji: Balance:Unlimited,The Millionaire Detective – Balance: UNLIMITED,富豪刑事 Balance:UNLIMITED,4.6,1333,ANIME,https://www3.animeflv.net/uploads/animes/covers/3310.jpg,FINALIZADO,15739,Misterio,,11.0,"La historia se centra en el increíblemente rico Kambe Daisuke, quien es un detective que se encarga de resolver casos de la manera más poco convencional. Aunque la novela de Tsutsui se publicó entre 1975 y 1977, el anime se desarrollará en la era moderna. Kambe es asignado a la “Unidad de Combate de Crímenes Modernos”, una unidad que, de hecho, fue creada para apartar a los oficiales problemáticos de los demás. Allí, Kambe se hace compañero de Kato.",158,24,1476,23,5,13,1699
Gundam Build Divers Re:Rise 2nd Season,ガンダムビルドダイバーズRe:RISE,none,4.0,135,OVA,https://www3.animeflv.net/uploads/animes/covers/3309.jpg,FINALIZADO,608,Acción|Mecha,Gundam Build Divers Re:Rise (Precuela),13.0,Segunda temporada de Gundam Build Divers Re:Rise,5,0,16,2,0,0,23
Strike the Blood IV,Strike the Blood Fourth,ストライク・ザ・ブラッド IV,4.5,539,OVA,https://www3.animeflv.net/uploads/animes/covers/3426.jpg,FINALIZADO,5645,Acción|Ecchi|Fantasía|Sobrenatural,,12.0,Cuarta temporada de Strike the Blood,155,18,608,23,15,10,829
