title,title_alternative1,title_alternative2,rating,votes,type_serie,cover,state,followers,categories,related,episodes,description,reactions_like,reactions_funny,reactions_love,reactions_surprise,reactions_angry,reactions_sad,reactions_total
Kuroshitsuji,黒執事,Black Butler,4.7,1478,ANIME,https://www3.animeflv.net/uploads/animes/covers/461.jpg,FINALIZADO,17477,Acción|Comedia|Demonios|Fantasía|Historico|Shounen|Sobrenatural,Kuroshitsuji II (Secuela)|Kuroshitsuji: Book of Circus (Historia Paralela),24.0,"Ciel Phantomhive, Conde de Phantomhive y propietario de Juguetes Phantom, la compañía de juguetes más grande de la Inglaterra Victoriana, es un niño de 12 años y un amo exigente. Apesar de su corta edad, Ciel Phantomhive cuenta con la confianza total de la Reina Victoria para hacerse cargo de ciertos ""casos"" de índole extraña. A su lado siempre está Sebastian Michaels, el perfecto mayordomo inglés en todos los sentidos, quien puede, de la manera más rápida y eficiente, tanto mantener la mansión en perfecto estado como derrotar a cualquier enemigo que se atreva a interponerse en su camino. Pero qué es exactamente lo que el Conde de Phantomhive busca, y cuáles son las verdaderas intenciones de Sebastian, son las cuestiones que en realidad absolutamente nadie conoce.",114,12,1185,22,7,10,1350
Tales of the Abyss,テイルズ オブジ アビス,none,4.3,142,ANIME,https://www3.animeflv.net/uploads/animes/covers/174.jpg,FINALIZADO,1855,Aventuras|Drama|Fantasía,Tales of Phantasia (Spin-Off)|Tales of Vesperia The First Strike (Spin-Off),35.0,"La vida de Luke fon Fabre, hijo de una familia de alta alcurnia del reino de Kimlasca-Lanvaldear, transcurre en una aburrida riqueza en la mansión de sus padres desde su rapto cuando aún era un tierno infante: tras ese suceso, sufrió la pérdida de todos sus recuerdos anteriores a él. Y desde aquél día, su vida se ha limitado a disfrutar de todos los lujos que pueda desear entre los muros de su mansión, con la compañía de sus padres, su adorado maestro Van y su sirviente a la vez que inseparable amigo Guy. Pero la llegada de una misteriosa y hermosa mujer llamada Tear Grants, que se lanza sin reparos a un súbito enfrentamiento contra Van, cambiará la vida del irresponsable, egoísta y déspota Luke... quien se verá obligado a enfrentarse con el exterior, a descubrir la verdad que se oculta tras este mundo y bajo el rostro de muchas personas, a sufrir eventos que cambiarán su personalidad drásticamente... y, sobre todo, a descubrir el sentido de su propia existencia.",14,3,25,3,2,1,48
Kurogane no Linebarrels,鉄のラインバレル,Linebarrels of Iron,3.8,98,ANIME,https://www3.animeflv.net/uploads/animes/covers/440.jpg,FINALIZADO,703,Acción|Ciencia Ficción|Mecha,,24.0,"La vida de Kouichi Hayase, de 14 años, siempre ha sido muy deprimente. Sin embargo, los días de ser acosado por sus compañeros de clase y de soñar que era un héroe acaban cuando un accidente le otorga a una chica y un robot humanoide gigante llamado ""Linebarrel"". El poder extraordinario que Kouichi obtiene lo lleva a encargarse de batallas, intrigas y amistad. Durante su aventura, el chico empieza a aprender lo que la vida le tiene que ofrecer: conoce nuevos amigos, se despide de los antiguos... pero ahora tiene una gran responsabilidad, que es enfrentarse al mundo que tiene a su alrededor.",5,1,3,0,2,0,11
Casshern Sins,キャシャーン Sins,none,4.5,119,ANIME,https://www3.animeflv.net/uploads/animes/covers/22.jpg,FINALIZADO,780,Acción|Aventuras|Ciencia Ficción|Drama|Psicológico,,24.0,"En un futuro distante, donde los cyborgs y humanos pelean por sobrevivir luego de una guerra que destruyó al mundo, un ser despierta. Su nombre es Casshern y ha perdido todos sus recuerdos respecto a su pasado. Dentro de un mundo oscuro y destruido, donde todo ser vivo parece odiar su existencia, Casshern, quien es perseguido por flashs de su pasado y varios tipos de criaturas, deberá sobrevivir para poder descubrir quien es el realmente y como llegó a su actual situación. Aunque el no sabe realmente si será bueno recordar todo aquello que se mantiene oculto..",8,2,14,2,2,3,31
Rosario + Vampire Capu2,ロザリオとバンパイア Capu2,Rosario + Vampire: Capu 2,4.6,542,ANIME,https://www3.animeflv.net/uploads/animes/covers/119.jpg,FINALIZADO,5132,Comedia|Ecchi|Escolares|Fantasía|Harem|Romance|Vampiros,Rosario + Vampire (Precuela),13.0,"Comienza un nuevo año en la secundaria, pero esta vez sucederá algo algo verdaderamente raro. Una misteriosa hermana menor de Moka vendrá para complicarle las cosas Tsukune y las demás. La serie comienza donde termino la primer temporada, luego de las vacaciones de primavera, en la cual volveremos a ver a todos los personajes de la primera en un nuevo ciclo lectivo en la academia de mounstros Youkai.",30,7,200,2,2,0,241
Shikabane Hime: Aka,Corpse Princess: Aka,屍姫 赫,4.4,103,ANIME,https://www3.animeflv.net/uploads/animes/covers/1249.jpg,FINALIZADO,1976,Acción|Artes Marciales|Terror,Shikabane Hime: Kuro (Secuela),13.0,"Kagami Oori (Ouri), un huérfano, una noche descubre la existencia de los Shikabanes (Cadáveres, pero que tienen un lazo que los une a este mundo) al encontrar a una chica (Hoshino Makina) muerta en un templo, la cual es ""resucitada"" frente a sus ojos, resultando ser una Shikabane Hime. Su hermano adoptivo, Tagami Keisei, es un sacerdote del culto Kougon, quienes crean a las Shikabane Himes para luchar contra de los Shikabanes. Si una Shikabane Hime elimina a 108 Shikabanes, podrá ir al cielo y descansar en paz... pero ese no es el objetivo de Makina.",15,0,14,5,1,2,37
ToraDora!,とらドラ!,Toradora!,4.7,3141,ANIME,https://www3.animeflv.net/uploads/animes/covers/13.jpg,FINALIZADO,20951,Comedia|Escolares|Recuentos de la vida|Romance,,25.0,"Takasu Ryuuji comienza su segundo año de instituto con mucho animo. Sin embargo, hay una cosa que el odia, y es su mirada, heredada de su padre (un ganster), con lo cual posee una habilidad innata para intimidar a los demás, provocándole esto muchos malentendidos con sus compañeros, no obstante, todo esto va cambiar el primer día de clases, cuando Ryuuji tiene un encontronazo con Aisaka Taiga, la persona mas peligrosa del centro.",170,35,1126,16,23,31,1401
Hyakko,ヒャッコ,none,4.5,46,ANIME,https://www3.animeflv.net/uploads/animes/covers/297.jpg,FINALIZADO,340,Comedia|Escolares|Recuentos de la vida,,13.0,"En su primer día de secundaria en la Academia Kamizono, cuatro chicas se conocen mientras están perdidas en el campus gigante, y se vuelven amigas. La historia sigue las vidas diarias de las cuatro chicas y de sus extrañas compañeras.",3,1,4,0,0,0,8
Hakushaku to Yousei,none,none,4.6,141,ANIME,https://www3.animeflv.net/uploads/animes/covers/2198.jpg,FINALIZADO,1535,Aventuras|Fantasía|Historico|Magia,,12.0,"Ambientada en la época Victoriana, cuenta la historia de como Lydia Carlton, una muchacha de 17 años y amante de las hadas, emprende un viaje junto con el señor J.C. Ashenheart en busca de la espada de su linaje.",13,2,64,3,0,0,82
Lucky☆Star: Original na Visual to Animation,none,none,4.6,96,OVA,https://www3.animeflv.net/uploads/animes/covers/2175.jpg,FINALIZADO,906,Comedia|Escolares|Parodia|Recuentos de la vida,Lucky Star (Historia Principal),1.0,"OVA de la adaptación televisiva del 4-koma obra de Yoshimizu Kagami, publicado en la revista Comptiq de Kadokawa Shoten. Nuestra protagonista es Konata Izumi, una chica con grandes dotes intelectuales y atléticas. Pese a ello sus logros académicos no son precisamente brillantes, ni tampoco pertenece a ningún club de deportes. Esto se debe a que invierte toda su atención y energía en los videojuegos y el manga, ya que según su opinión no merece la pena interesarse por otros asuntos más ""mundanos"". Lucky Star nos relata el día a día de Konata y sus amigas, partiendo de su primer año de instituto.",9,5,68,2,1,1,86
Shigofumi Special,none,none,4.2,17,OVA,https://www3.animeflv.net/uploads/animes/covers/2626.jpg,FINALIZADO,58,Drama|Fantasía|Psicológico|Suspenso,Shigofumi (Precuela),1.0,Episodio 13 de Shigofumi,3,0,4,0,0,0,7
Tengen Toppa Gurren Lagann Movie: Gurren-hen,none,none,4.7,190,PELÍCULA,https://www3.animeflv.net/uploads/animes/covers/1739.jpg,FINALIZADO,1253,Acción|Comedia|Mecha,Tengen Toppa Gurren Lagann (Historia Completa)|Tengen Toppa Gurren Lagann Movie: Lagann-hen (Secuela),1.0,La película reeditará la primera parte de la historia de la serie de televisión con algunas escenas recién animadas. Shoko Nakagawa volverá para realizar una nueva canción para esta película.,5,2,59,6,1,2,75
Candy Boy Episode: EX01 - Mirai Yohouzu,none,none,4.5,59,OVA,https://www3.animeflv.net/uploads/animes/covers/2159.jpg,FINALIZADO,565,Escolares|Recuentos de la vida|Yuri,Candy☆Boy: Side Story For Archive (Secuela),1.0,"Precuela de Candy Boy. Dos gemelas, Yukino y Kanade Sakurai, se trasladan a una nueva escuela en la gran ciudad de Tokyo, pero no todo sale como esperan.",11,2,22,4,0,0,39
Detroit Metal City,デトロイト・メタル・シティ,none,4.6,236,ANIME,https://www3.animeflv.net/uploads/animes/covers/434.jpg,FINALIZADO,1059,Comedia|Música,,12.0,"Negishi Souichi es un tipo como otro cualquiera. Es de Osaka, aunque estudia en Tokio para ser profesor de guardería. Le gusta la música pop francesa, toca la guitarra y, en general, es un tipo bastante amable y atento con los que le rodean. Además, está enamorado de Aikawa, que comparte los mismos gustos que él. No se sabe cómo, Negishi terminó de vocalista de un grupo de Death Metal: Detroit Metal City. Cuando se pone el traje, la peluca y el maquillaje, se convierte en Johannes Krauser II, un psicópata con guitarra; obsceno, sádico y violento. Si no está apaleando a un viejo en los conciertos, hace una entrada comiéndose unos murciélagos o canta sobre matar y violar a la gente.",6,16,38,1,2,0,63
The Sky Crawlers,none,none,4.2,37,PELÍCULA,https://www3.animeflv.net/uploads/animes/covers/1965.jpg,FINALIZADO,196,Drama|Militar,,1.0,"Imaginemos un tiempo actual alternativo en el que al fin se ha instaurado la paz. Sin embargo, para que esta situación sea sostenible, es necesario que se desarrolle una guerra que puede ser contemplada como un espectáculo por televisión. Los pilotos que luchan en este crudo montaje son niños inmortales que responden al nombre de ‘Kildren’. Parábola sobre el mundo moderno, en el que la juventud ha perdido todo tipo de esperanzas, con un fuerte y necesario discurso político, ""The Sky Crawlers"" está basada en la exitosa novela homónima de Hiroshi Mori, que cuenta con 5 volúmenes.",9,0,7,0,0,0,16
Eve no Jikan,イヴの時間,Time of Eve,4.7,121,ANIME,https://www3.animeflv.net/uploads/animes/covers/418.jpg,FINALIZADO,683,Ciencia Ficción|Recuentos de la vida,Eve no Jikan Gekijouban (Resumen),6.0,"En un futuro no demasiado lejano, en Japón serán de uso común los robots androides. Las leyes por las que rigen sus acciones son absolutas. ¿Pero que pasa si los androides sin romper sus leyes comienzan a humanizarse (comportarse como humanos)?, al mismo tiempo hay una tendencia a que los humanos se encariñen especialmente con sus androides o directamente los odien. Rikuo y su amigo Masaki se ven envueltos en estas disyuntivas cuando descubren el café: Eve no Jikan.",14,0,13,0,0,0,27
Bounen no Xamdou,none,none,4.6,223,ANIME,https://www3.animeflv.net/uploads/animes/covers/1497.jpg,FINALIZADO,2539,Acción|Ciencia Ficción|Militar,,26.0,"Akiyuki Takehara vive en una pequeña isla que se mantiene al margen de la guerra entre el Gobierno del Norte y el Continente del Sur. Éste vive con su madre, Fusa, divorciada recientemente del padre de Akiyuki, el Dr. Ryuzo, aunque padre e hijo aún se llevan bien. La historia comienza un día normal en el que Akiyuki intenta escaquearse de llevarle el mega-almuerzo a su padre antes de coger el autobús para irse al instituto. Una extraña explosión en la que se verán envueltos Akiyuki y sus amigos, Haru y Furuichi, cambiará sus vidas. Unas esferas brillantes han entrado en el brazo de Akiyuki produciéndole un gran dolor, aún dolido corre al auxilio de una chica con el pelo claro que se encuentra dentro del autobús calcinado, ella le otorgará el poder de convertirse en una criatura llamada Xam’d .",16,0,39,2,1,1,59
Koihime Musou,恋姫†無双,none,4.5,41,ANIME,https://www3.animeflv.net/uploads/animes/covers/61.jpg,FINALIZADO,504,Acción|Artes Marciales|Aventuras|Fantasía|Historico,Shin Koihime†Musou (Secuela),13.0,"En la antigua China, luego de la caida del imperio, la nación entra en un caos por las guerras entre los reinos y los saqueos de los bandidos siendo la gente común la principal victimas de ellos. Pero entre la gente se comienza a escuchar la existencia de una poderosa y bella guerrera de cabello negro que lucha contra los bandidos. Esta chica, Kan'un, llega a un pequeño pueblo y se entera que un grupo de niños están haciendo travesuras contra el dictador gobernante del lugar. Éste cansado decide capturarlar y en ese momento Kan'un se ofrece para el ""trabajo"". Al llegar a ella se encuentra con una gran guerrera y al enterarse que ella tambien ha perdido sus familiares en la guerra le ofrece que la acompañe a su cruzada.",3,1,6,0,0,0,10
Mission-E,none,none,4.2,21,ANIME,https://www3.animeflv.net/uploads/animes/covers/2185.jpg,FINALIZADO,112,Acción|Ciencia Ficción|Comedia|Escolares,Code-E (Precuela),12.0,"Cinco años después de los eventos ocurridos en “CODE-E”, Chinami Ebihara y sus amigos han formado una organización llamada OZ con el apoyo financiero del Grupo Kujo. En él se encuentran Sonomi Kujo, Yuma Saihashi, Kotaro Kanagi y Maori Kimizuka, la compañera de misión de Chinami, a la cual tiernamente llaman Ma-chan. OZ se encarga de localizar a las personas con habilidades Tipo-E para enseñarles cómo usar su poder e integrarse en la sociedad sin problemas. Muy diferente es el objetivo de “La Fundación”, organización enemiga de OZ cuyo objetivo es aislar las Type-E para experimentar con ellas y lograr sus propios fines. Conforme se desarrolla la serie iremos descubriendo sorpresas relacionadas con los eventos de CODE-E.",3,0,3,1,1,0,8
