title,title_alternative1,title_alternative2,rating,votes,type_serie,cover,state,followers,categories,related,episodes,description,reactions_like,reactions_funny,reactions_love,reactions_surprise,reactions_angry,reactions_sad,reactions_total
Digimon Adventure Tri.,none,none,4.5,990,ANIME,https://www3.animeflv.net/uploads/animes/covers/1929.jpg,FINALIZADO,5284,Acción|Aventuras|Comedia|Drama,Digimon Adventure 02 (Precuela),26.0,Quince años después de las vacaciones de verano. Si no hubiéramos ido al Mundo Digital. Si no hubiéramos hecho este viaje con los otros. Si no hubiéramos cambiado de esta manera. Estos Digimon siempre estuvieron con nosotros. Fuimos amigos todo el tiempo. Aprendimos la importancia de ayudarnos mutuamente. ¡Todas esas cosas nos hicieron como somos! Nuevas aventuras para todos los “Niños Elegidos” en el mundo.,23,3,118,5,8,6,163
Noragami Aragoto OVA,none,none,4.8,788,OVA,https://www3.animeflv.net/uploads/animes/covers/2329.jpg,FINALIZADO,5870,Acción|Aventuras|Shounen,Noragami Aragoto (Precuela),2.0,,42,28,497,5,6,2,580
Harmony,none,none,3.9,113,PELÍCULA,https://www3.animeflv.net/uploads/animes/covers/2534.jpg,FINALIZADO,576,Ciencia Ficción|Psicológico,,1.0,"En el futuro, Utopia por fin se ha logrado gracias a la nanotecnología medica y a la poderosa ética del bienestar social y la consideración mutua. Este mundo no es tan perfecto, sin embargo, tres chicas se resisten a la bondad totalitaria y a las super medicinas mediante el suicidio por inanición. Esto no funciona, pero una de las chicas, Tuan Kirie, crece para convertirse en miembro de la Organización Mundial de la Salud. Como la crisis amenaza la armonía del nuevo mundo, Tuan redescubre a otro miembro de su pacto suicida, y juntas se debe ayudarse para salvar al planeta de sí mismo.",6,1,23,0,1,1,32
Gintama: Jump Festa 2015 Special,none,none,4.3,79,OVA,https://www3.animeflv.net/uploads/animes/covers/2330.jpg,FINALIZADO,476,Acción|Comedia|Historico|Parodia|Samurai|Shounen,Gintama (Precuela),1.0,,1,7,26,0,1,0,35
Triage X OVA,none,none,4.6,119,OVA,https://www3.animeflv.net/uploads/animes/covers/2304.jpg,FINALIZADO,1219,Acción|Ecchi|Escolares|Shounen,Triage X (Precuela),1.0,Episodio número 11 traído en el 12º volumen del manga.,14,1,83,1,3,1,103
Pokemon XY&Z,none,none,4.6,390,ANIME,https://www3.animeflv.net/uploads/animes/covers/2253.jpg,FINALIZADO,2206,Acción|Aventuras|Comedia|Fantasía|Infantil,Pokemon XY (Precuela)|Pokemon XY: Saikyou Mega Shinka (Historia Paralela)|Pokemon Sun & Moon (Secuela),49.0,,44,5,260,4,8,10,331
Nagato Yuki-chan no Shoushitsu OVA,none,none,4.5,50,OVA,https://www3.animeflv.net/uploads/animes/covers/2300.jpg,FINALIZADO,393,Comedia|Recuentos de la vida|Seinen,,1.0,,2,1,27,1,1,2,34
Anitore! EX,none,none,4.1,41,ANIME,https://www3.animeflv.net/uploads/animes/covers/2292.jpg,FINALIZADO,698,Comedia|Deportes,Anitore! XX (Secuela),12.0,,3,0,13,0,1,0,17
Brave Beats,none,none,4.4,47,ANIME,https://www3.animeflv.net/uploads/animes/covers/2291.jpg,FINALIZADO,520,Aventuras|Música,,22.0,"La historia tiene como protagonista a Hibiki Kazaguruma, un chico de sexto curso que de vuelta a casa se encuentra a un divertido robotito llamado Bureikin. Este es un bailarín de otra dimensión, que desafió al rey del baile para hacerse con el trono y terminó perdiendo. Desde entonces, está desprovisto de Piedras de Baile (piedras con el poder del baile) y ha sido enviado al mundo humano. Para recuperar su poder, Bureikin tendrá que recuperar todas las Piedras de Baile que hay esparcidas por la Tierra, y por si fuera poco, habrá que hacerlo rápido porque estas piedras traen el caos al mundo humano. Para cumplir con este cometido, el robot se fusionará con Hibiki y se transformará en un héroe del baile.",5,0,8,0,0,0,13
Cardfight!! Vanguard G: Gears Crisis-hen,none,none,4.2,68,ANIME,https://www3.animeflv.net/uploads/animes/covers/2252.jpg,PROXIMAMENTE,345,Acción|Juegos|Shounen,Cardfight!! Vanguard (Precuela),26.0,Segunda temporada de Cardfight!! Vanguard,9,2,9,2,0,0,22
