title,title_alternative1,title_alternative2,rating,votes,type_serie,cover,state,followers,categories,related,episodes,description,reactions_like,reactions_funny,reactions_love,reactions_surprise,reactions_angry,reactions_sad,reactions_total
Space Adventure Cobra The Movie,SPACE・ADVENTURE コブラ,none,4.5,35,PELÍCULA,https://www3.animeflv.net/uploads/animes/covers/413.jpg,FINALIZADO,84,Acción|Aventuras|Ciencia Ficción|Espacial,,1.0,"Después de haber bajado a tierra dos años, Cobra sale vivo después de ocultarse tras un encuentro con la cazarrecompensas Jane Flower y se ve inmerso en una confrontación directa con el Gremio Galáctico, una gran organización criminal dirigida por Lord Necron, una macabra representación de un muerto viviente. A petición de Jane, el dúo viaja a una prisión llamada Seedo y Cobra se infiltra, y allí está prisionera la hermana de Jane, Catherine, pero no quiere ser liberada...",20,1,14,0,0,1,36
"Urusei Yatsura: Haru da, Tobidase!",none,none,4.2,13,OVA,https://www3.animeflv.net/uploads/animes/covers/2265.jpg,FINALIZADO,102,Acción|Aventuras|Ciencia Ficción|Comedia|Drama|Romance,Urusei Yatsura (Historia Principal),2.0,,3,0,5,1,1,0,10
Urusei Yatsura,うる星やつら,"Lum, la chica invasora",4.5,204,ANIME,https://www3.animeflv.net/uploads/animes/covers/1359.jpg,FINALIZADO,1630,Acción|Aventuras|Ciencia Ficción|Comedia|Drama|Romance,"Urusei Yatsura Movie 1: Only You (Historia Paralela)|Urusei Yatsura Movie 2: Beautiful Dreamer (Historia Paralela)|Urusei Yatsura Movie 3: Remember My Love (Historia Paralela)|Urusei Yatsura Movie 4: Lum The Forever (Historia Paralela)|Urusei Yatsura Movie 5: Final (Historia Paralela)|Urusei Yatsura Movie 6: Itsudatte My Darling (Secuela)|Urusei Yatsura: Haru da, Tobidase! (Historia Paralela)|Urusei Yatsura OVA (Historia Paralela)|Urusei Yatsura: The Shougaibutsu Suieitaikai (Historia Paralela)",216.0,"Una raza alienígena conocida como Oni decide invadir la Tierra aunque les da una oportunidad a los humanos de competir si no desean ser esclavos. El humano elegido para la competición es un estudiante japonés de instituto de carácter mujeriego llamado Ataru Moroboshi, que debe tocar los cuernos de la hermosa princesa Lamu/Lum, la hija del jefe de los Oni, aunque lo tendrá difícil ya que ella sabe volar. Pero Ataru se las apaña quitándole la parte superior del bikini para que la chica proteja su integridad y así tocarle los cuernos. Al ganar Ataru, este grita de felicidad sabiendo que se va a casar con su novia de entonces Shinobu pero Lamu lo malinterpreta pensando que él se va a casar con ella y acaba enamorándose del joven, terminado ella quedándose en su casa.",24,8,75,5,1,0,113
Versailles no Bara,none,none,4.6,123,ANIME,https://www3.animeflv.net/uploads/animes/covers/1962.jpg,FINALIZADO,670,Drama|Historico|Militar|Recuentos de la vida|Romance|Yuri,,40.0,"Esta historia está ambientada en la Francia del siglo XVIII, y por tanto basada en personajes reales, pero con interpretación propia de la autora que hace uso de su imaginación para darnos su visión de los hechos, insertando un personaje ficticio, Lady Oscar, una mujer criada como varón para convertirse en la protectora de los reyes franceses. En la historia de Oscar François, vive ambos lados de los dramáticos cambios sociales que se estaban gestando desde la realeza hasta el pueblo. Oscar al cumplir 14 años, se convierte en Capitana de la Guardia Imperial, protectora de la nueva princesa de Francia, Maria Antonieta, y así su destino de testigo de las transformaciones sociales queda marcado. Al pasar los años, la princesa conoce al conde sueco Hans Axel Von Fersen, en una fiesta de disfraces a la cual asiste sin permiso del rey, y casi sin darse cuenta, inicia un amor que pasó a la historia. Al empezar los rumores sobre la amistad del Conde y la entonces Reina, Lady Oscar le pide a Fersen que regrese a Suecia. Él se marcha, siempre pensando en el bien de la Reina, y María Antonieta en su tristeza y soledad, conoce a Lady de Polignac, quien la lleva a jugar y apostar en casinos clandestinos, comenzando la Reina a derrochar el dinero de los tributos del pueblo. Pasado el tiempo regresa Fersen, quien le recomienda que reduzca sus gastos y que no se deje llevar por Polignac, debido a los peligrosos rumores que corren en la corte. Sin embargo, dado que el amor entre ellos no ha muerto, Fersen parte a Norteamérica, al mando del coronel Lafayette, buscando alejarse de ese amor que solo puede causarles problemas...",10,0,63,2,1,8,84
Mobile Suit Gundam,none,none,4.5,121,ANIME,https://www3.animeflv.net/uploads/animes/covers/1850.jpg,FINALIZADO,809,Acción|Ciencia Ficción|Espacial|Mecha|Militar,Mobile Suit Gundam 0080: War in the Pocket (Secuela)|Mobile Suit Gundam: The 08th MS Team (Historia Paralela)|Mobile Suit Gundam MS IGLOO: 1-nen Sensou Hiroku (Historia Paralela)|Mobile Suit Zeta Gundam (Secuela),43.0,"Debido a la sobrepoblación mundial, las guerras y el hambre, los humanos emigran al espacio exterior buscando mejores expectativas de vida. Comienza la construcción de cientos de gigantescas colonias espaciales que son agrupadas en Sides (grupos de entre 35 y 80 colonias), comienza un nuevo calendario para la humanidad, el UNIVERSAL CENTURY. Es el año 0079 del Universal Century (U.C.0079), las colonias espaciales de Side 3, el Side más alejado de la Tierra, se proclaman a sí mismas como el Principado de Zeon, iniciando una feroz guerra de independencia contra el Gobierno de la Federación Terrestre. Amuro Ray es un perezoso joven amante de las máquinas que vive en una de las colonias de Side 7. Poco sabe Amuro del proyecto secreto que se desarrolla en su colonia, el nuevo Mobile Suit modelo Gundam de la Federación Terrestre, cosa que traerá la guerra hasta las puertas de su casa y al mismísimo Char Aznable, piloto As de Zeon. Víctima de las circunstancias, Amuro se ve frente a los controles del Gundam. Ahora, él deberá encargarse de pilotar el arma definitiva de la humanidad para salvar a sus seres queridos y su propia vida...",6,1,15,1,0,1,24
Chirin no Suzu,none,none,4.3,20,PELÍCULA,https://www3.animeflv.net/uploads/animes/covers/2275.jpg,FINALIZADO,66,Aventuras|Drama|Fantasía,,1.0,"Chirin es un inocente aunque joven cordero aventurero cuya vida sin preocupaciones en la granja llega a un abrupto final cuando un lobo mata su madre. Confundido y enojado, Chirin persigue al lobo en las montañas, en busca de venganza. Las leyes de la naturaleza son brutales, sin embargo, y el odio por sí solo no será suficiente para vengar la muerte de su madre. Solo los fuertes sobreviven en la naturaleza, y la obtención de esa fuerza puede cambiar a Chirin para siempre.",9,1,5,7,5,10,37
Perrine Monogatari,none,none,3.9,19,ANIME,https://www3.animeflv.net/uploads/animes/covers/1752.jpg,FINALIZADO,115,Drama|Historico|Recuentos de la vida|Shoujo,,53.0,"A cinco días de la muerte de su padre en una aldea de Bosnia, Perrine y su madre emprenden un largo viaje para encontrarse con el abuelo paterno de la pequeña en Maraucourt, en la lejana Francia (para cumplir su último deseo). Con la ayuda de un viejo carromato, su burro Parikal y su fiel perro Barón, las dos recorrerán Europa en una dura travesía, sobreviviendo con el oficio de fotógrafo ambulante. La tragedia persigue a Perrine, y después de llegar a duras penas a Maraucourt, teme que no será recibida con los brazos abiertos en la casa de su abuelo y tendrá que ganarse su cariño gracias a su bondad.",5,0,10,1,2,0,18
Ie Naki Ko,Nobody`s Boy - Remi,家なき子,4.6,64,ANIME,https://www3.animeflv.net/uploads/animes/covers/1658.jpg,FINALIZADO,350,Aventuras|Drama|Historico|Infantil|Recuentos de la vida,,51.0,"Remi es un niño francés que vive junto a los esposos Barberin (sus padres adoptivos) en el pueblo de Chavanon, en medio de una gran pobreza. Cuando él tiene ocho años el señor Barberin (quien está desempleado, lisiado y es alcohólico) vende a Remi a Vitalis, un actor ambulante, con el cual viajará por diversos pueblos de Francia y España presentando espectáculos junto a sus tres perros amaestrados (Capi, Servino y Dulce) y un mono llamado Corazón Alegre.",10,0,34,1,1,11,57
Candy Candy,キャンディ・キャンディ,Las Aventuras de Candy,4.6,479,ANIME,https://www3.animeflv.net/uploads/animes/covers/954.jpg,FINALIZADO,2963,Drama|Recuentos de la vida|Shoujo,,115.0,"Cuenta la historia de una niña llamada Candy White, quien es abandonada en un hogar para niños huerfanos junnto a otro bebe el cual es llamado Annie, conforme esta niña va creciendo va teniendo nuevas aventuras, amores,amigos y mas.",74,15,638,6,14,62,809
Avatar: La leyenda de Aang - Libro Fuego,none,none,4.7,478,ANIME,https://www3.animeflv.net/uploads/animes/covers/458.jpg,FINALIZADO,2541,,,21.0,"El poder se equilibra entre cuatro naciones: Agua, Tierra, Fuego y Aire. Un grupo de líderes entre mujeres y hombres de cada nación manipulan su elemento nativo y se les conoce como Maestros, pero siempre existe un Supremo Maestro, conocido como Ávatar que vendría a ser el Espíritu Encarnado del Planeta, que domina los cuatro elementos y mantiene la armonía entre las cuatro naciones. Cuando un Ávatar muere se reencarna en un niño de la siguiente nación y mantienen de esta manera un orden ancestral sosteniendo un balance en el poder: Agua, Tierra, Fuego, Aire. Al darse la muerte, los habitantes de la siguiente nación realizan una búsqueda para encontrar al niño en quien reencarnó el Ávatar preparándolo para una misión importante. Al empezar la historia ya había transcurrido cien años sin un...",29,2,165,5,2,3,206
