title,title_alternative1,title_alternative2,rating,votes,type_serie,cover,state,followers,categories,related,episodes,description,reactions_like,reactions_funny,reactions_love,reactions_surprise,reactions_angry,reactions_sad,reactions_total
Makai Ouji: Devils and Realist,none,none,4.5,231,ANIME,https://www3.animeflv.net/uploads/animes/covers/1075.jpg,FINALIZADO,2025,Comedia|Demonios|Escolares|Fantasía|Historico|Misterio|Shoujo|Sobrenatural,,12.0,"William es el hijo de una familia de aristócratas dotado de una inteligencia excepcional. Un día, después de que su tío se arruine tras un negocio fallido y temiendo que el buen nombre de su familia quedase manchado, William decide volver a su hogar para buscar junto al mayordomo algo que pueda vender y así obtener liquidez. Gracias a esa búsqueda por las dependencias familiares, ambos encuentran una habitación subterránea olvidada que alberga un sello mágico, gracias al cual William invoca sin proponérselo a un demonio. Éste, que se presenta como Dantalion, le revela al joven que tiene la capacidad de poder elegir al gobernante del mundo de los demonios.",19,0,68,4,1,0,92
Blood Lad,none,none,4.7,914,ANIME,https://www3.animeflv.net/uploads/animes/covers/1076.jpg,FINALIZADO,11037,Acción|Comedia|Demonios|Seinen|Sobrenatural|Vampiros,,11.0,"Staz es el vampiro jefe de una sección del mundo demoníaco, aunque la sangre humana no le interesa lo más mínimo. A él lo que le gusta es la cultura japonesa, y cuando una adolescente japonesa llamada Yanagi Fuyumi acaba en la ciudad demoníaca, decide no perder la ocasión de conocerla y aprender más del país que tanto le apasiona. Sin embargo, de camino a encontrarse con la muchacha se encuentra con problemas y otro monstruo acaba con la vida de Fuyumi, quedando la muchacha convertida en un fantasma errante. Staz se caga en su maldita suerte y decide encontrar una forma de devolverla a la vida.",86,21,267,5,7,3,389
Recorder and Randsell Mi,none,none,4.6,111,ANIME,https://www3.animeflv.net/uploads/animes/covers/1079.jpg,FINALIZADO,686,Comedia|Escolares|Recuentos de la vida|Seinen,Recorder to Randoseru Re♪ (Precuela),13.0,"El anime está compuesto de episodios cortos protagonizados por dos hermanos muy particulares: Atsushi Miyagawa y Atsumi Miyagawa. Atsushi es un niño de primaria pero mide un metro ochenta y parece un adulto, mientras que Atsumi es su hermana mayor y va al instituto, aunque todo el mundo la confunde con una niña de primaria. Los dos hermanos se meten en varios problemas debido a su curioso aspecto, especialmente Atsushi, que acaba detenido por la policía infinidad de veces cuando va por la calle hablando con las niñas de su clase.",6,13,30,1,1,1,52
Kamisama no Inai Nichiyoubi,none,none,4.6,234,ANIME,https://www3.animeflv.net/uploads/animes/covers/1054.jpg,FINALIZADO,1702,Fantasía|Misterio,,13.0,"""Hace 15 años, un domingo, Dios abandonó el mundo, por lo tanto, nadie vive, nadie muere.En el mundo existen los Gravekeepers. Ai, una pequeña chica de 12 años, es la gravekeeper de su villa, ella preparó 47 tumbas, una para cada miembro de su aldea. Un día un Hombre llamado Hampine Hambart, el ""juguete devora hombres"", prende en fuego su aldea y mata a los habitantes, como coincidencia, según la madre de Ai, el nombre de Hampine es el mismo que el de su padre, por lo tanto, Ai se embarca en un viaje junto con Hampine, porque ella cree que él es su padre.""",6,1,22,1,3,5,38
Teekyuu 2,none,none,4.4,33,ANIME,https://www3.animeflv.net/uploads/animes/covers/1073.jpg,FINALIZADO,126,Comedia|Deportes|Escolares|Shounen,Teekyuu (Precuela)|Teekyuu 3 (Secuela),12.0,Continuación de la primera temporada.,2,3,2,0,0,0,7
High School DxD New,ハイスクールDxD NEW,none,4.7,1546,ANIME,https://www3.animeflv.net/uploads/animes/covers/1031.jpg,FINALIZADO,14781,Acción|Comedia|Demonios|Ecchi|Escolares|Harem|Romance,High School DxD (Precuela)|High School DxD BorN (Secuela),13.0,Segunda temporada de la serie High School DxD,82,19,727,11,7,6,852
Genshiken Nidaime,none,none,4.4,75,ANIME,https://www3.animeflv.net/uploads/animes/covers/1070.jpg,FINALIZADO,644,Comedia|Parodia|Recuentos de la vida,Genshiken (Precuela),14.0,El anime sigue la vida de un grupo de Otakus universitarios pertenecientes al club “La Sociedad por el Estudio de la Cultura Visual Moderna”.,8,0,10,0,1,0,19
Hakkenden: Touhou Hakken Ibun 2,none,none,4.4,165,ANIME,https://www3.animeflv.net/uploads/animes/covers/1078.jpg,FINALIZADO,976,Acción|Fantasía|Shoujo|Sobrenatural,Hakkenden: touhou hakken ibun (Precuela),13.0,"La historia del Anime se centra en dos chicos y una chica, los únicos supervivientes de una plaga que asola su aldea natal. Tras la tragedia, los tres jóvenes deciden vivir apartados de la sociedad, escondidos para que no les puedan encontrar. Shino, uno de estos supervivientes, tiene además el control sobre Murasame, el sable de la vida, una espada ansiada por la Iglesia Imperial.",4,3,41,3,1,0,52
Fantasista Doll,none,none,4.3,23,ANIME,https://www3.animeflv.net/uploads/animes/covers/1077.jpg,FINALIZADO,203,Ciencia Ficción|Fantasía|Magia,,12.0,"Fantasista Doll gira en torno a una chica de secundaria ordinaria, Uzume Uno, cuyo destino cambia un día, cuando se encuentra con unas misteriosas cartas que contienen muñecas con poderes especiales. Hace un contrato con las muñecas y se converte en la ""Master Card"", Uzume pronto se encuentra luchando no sólo por su pueblo, sino para salvar al mundo entero!.",4,1,6,0,0,0,11
Monogatari Series: Second Season,物語シリーズ セカンドシーズン,none,4.5,946,ANIME,https://www3.animeflv.net/uploads/animes/covers/1028.jpg,FINALIZADO,5180,Comedia|Misterio|Romance|Sobrenatural|Vampiros,Nisemonogatari (Precuela)|Tsukimonogatari (Secuela)|Koyomimonogatari (Historia Paralela),26.0,"Situada después de Nisemonogatari, esta temporada cuenta con 5 historias -contadas en 6 libros-, cada una dedicada a cada amiga de Araragi: Hanekawa enfrentará a sus propios miedos personificados por una entidad que parece tener el poder y la determinación de destruir su vida entera. Araragi y Shinobu viajarán en el tiempo para intentar salvar a Mayoi de la muerte, pero se encontrarán con un gran y drástico cambio debido a su ausencia. El mundo ha sido destruido y el Kaii Killer habrá sumido todo en la destrucción total. Nadeko se entera que Araragi tiene novia. Su furia la llevará a involucrarse por sí misma con un dios para vengarse y reprimir sus sentimientos a la fuerza. Araragi estará en peligro de muerte y Hitagi está dispuesta a hacer lo que sea para salvar su vida. Mayoi es perseguida por un extraño ser conocido como Kuroyami, Shinobu nos narra la historia de cuando pretendió ser un dios y de cómo creó a su primer sirviente hace 400 años. Kanbaru, quien creía estar totalmente alejada del incidente del brazo de demonio, es arrastrada a un problema mucho más grande: Akuma-san está recolectando todas las partes de aquel demonio y debe ser detenido antes de que sea demasiado tarde. Historias con giros y desarrollos increíbles serán narrados en la segunda parte de esta serie, al final de la cual sólo quedará la pregunta: ¿habrán sido todas estas desgracias una mera coincidencia, una tras otra?",22,3,142,5,4,3,179
Uchouten Kazoku,none,none,4.4,151,ANIME,https://www3.animeflv.net/uploads/animes/covers/1074.jpg,FINALIZADO,878,Comedia|Drama|Fantasía|Recuentos de la vida,Uchouten Kazoku 2 (Secuela),13.0,"Se sitúa en Kyoto, donde conviven los tanuki, los tengu y los humanos. La historia sigue a la familia Shimogano, una familia de tanukis que vive en el bosque Tadasu no Mori del Templo Shimogamo.",6,0,9,0,0,0,15
Kiniro Mosaic,none,none,4.7,248,ANIME,https://www3.animeflv.net/uploads/animes/covers/1069.jpg,FINALIZADO,1993,Comedia|Escolares|Recuentos de la vida,Hello!! Kiniro Mosaic (Secuela),12.0,"La historia está protagonizada por Shinobu Omiya, una chica de quince años japonesa, de apariencia inocente, que pasa un tiempo viviendo en Gran Bretaña. Al volver a Japón echa de menos su época en el extranjero. Un día le llega una carta de Alice, la hija de la familia con la que vivió mientras estuvo en el extranjero, diciéndole que va a ir a Japón. Así la comedia muestra las curiosas vidas de Shinobu, Alice y otras chicas de Japón y Gran Bretaña.",12,9,66,1,0,0,88
Maji de Otaku na English! Ribbon-chan: Eigo de Tatakau Mahou Shoujo - The TV,none,none,3.4,29,ANIME,https://www3.animeflv.net/uploads/animes/covers/1099.jpg,FINALIZADO,188,Comedia|Magia,,3.0,,3,3,11,0,0,0,17
Genei wo Kakeru Taiyou,none,none,4.3,39,ANIME,https://www3.animeflv.net/uploads/animes/covers/1067.jpg,FINALIZADO,455,Magia,,14.0,"La historia tiene lugar en un mundo dominado desde antaño por dos tipos de cartas del tarot. El Tarot Diabolos se alimenta de las almas de aquellos que no han pecado y por ello suele causar grandes infortunios. El Tarot Elemental es la fuente de poder de la naturaleza, en oposición al Tarot Diabolos. Los 22 clanes existentes eligen a chicas para hacer uso de las cartas del Tarot Elemental y combatir sin saberlo a otros humanos. Para mantener el balance del mundo, pueden erigirse tanto en ejecutoras con el salvadoras.",6,0,12,2,0,1,21
Gintama Kanketsuhen: Yorozuya yo Eien Nare,none,none,4.6,288,PELÍCULA,https://www3.animeflv.net/uploads/animes/covers/1196.jpg,FINALIZADO,804,Acción|Ciencia Ficción|Comedia|Historico|Parodia|Samurai|Shounen,Gintama Shinyaku Benizakura Hen (Secuela)|Gintama° (Secuela),1.0,,15,6,104,0,2,0,127
Senki Zesshou Symphogear G,none,none,4.1,175,ANIME,https://www3.animeflv.net/uploads/animes/covers/1061.jpg,FINALIZADO,704,Acción|Ciencia Ficción|Música,Senhime Zesshou Symphogear (Precuela)|Senki Zesshou Symphogear G OVA (Secuela)|Senki Zesshou Symphogear GX (Secuela),13.0,Segunda temporada de Senki Zesshou Symphogear.,4,0,10,0,0,0,14
Rozen Maiden (2013),none,none,4.4,96,ANIME,https://www3.animeflv.net/uploads/animes/covers/1064.jpg,FINALIZADO,762,Acción|Comedia|Drama|Magia|Seinen,Rozen Maiden: Träumend (Precuela),13.0,Continuación de la serie Rozen Maiden.,7,1,22,0,0,0,30
Kitakubu Katsudou Kiroku,none,none,4.2,55,ANIME,https://www3.animeflv.net/uploads/animes/covers/1060.jpg,FINALIZADO,269,Comedia|Escolares|Recuentos de la vida,,12.0,"En un instituto se ha creado un Kitakubu de chicas que hacen lo que les apetece. El club lo componen Sakura, un espíritu libre que, además,es su presidenta, la combativa Botan, heredera de una escuela de artes marciales antiguas, Claire, que resulta ser la hija del líder de la poderosa agrupación Kokonoe, Karin, una nueva adquisición del club, y Natsuki, que se une por petición de esta última.",10,0,11,3,0,0,24
Danganronpa The Animation,none,none,4.5,1365,ANIME,https://www3.animeflv.net/uploads/animes/covers/1063.jpg,FINALIZADO,17831,Acción|Misterio|Psicológico|Terror,Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen (Secuela)|Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen (Secuela),13.0,"Un grupo de 15 estudiantes de secundaria que sobresalen en sus propios campos (ej:shaman, deportista, Idol) son invitados a la Academia Hope Peak, una secundaria que solo acepta lo mejor de lo mejor. Graduarse de esta academia significa éxito asegurado en la vida. Poco después de llegar, los estudiantes se ven atrapados en la escuela, con todas las entradas y ventanas selladas, por un sádico oso de peluche llamado ""Monokuma"", quien ha tomado control de las instalaciones y les da dos opciones a los estudiantes: 1) Vivir por el resto de sus vidas dentro de las paredes de la escuela, o, 2) intentar escapar de esta ""graduándose"". Para graduarse un estudiante tiene que realizar un ""Asesinato perfecto"", matando a uno de sus compañeros sin ser descubierto por el resto de los estudiantes. Si el culpable es descubierto, este será ""castigado"". Si se sale con la suya, el quedara en libertad y el resto de los estudiantes serán ""castigados"".",285,49,1948,110,31,71,2494
Servant x Service,none,none,4.7,392,ANIME,https://www3.animeflv.net/uploads/animes/covers/1059.jpg,FINALIZADO,2643,Comedia|Recuentos de la vida,,13.0,"La comedia de vida cotidiana se centra en los empleados de una oficina de distrito del gobierno en una ciudad de Hokkaido. Allí nos encontramos con un peculiar grupo compuesto por un mujeriego, una adicta a los libros, un fan del cosplay y mucho más. Situaciones comicas y humor.",13,5,61,1,1,3,84
Senki Zesshou Symphogear G OVA,"Senki Zesshou Symphogear G: In the Distance, That Day, When the Star Became Music... OVA Read more at http://myanimelist.net/anime/20843/Senki_Zesshou_Symphogear G: In the Distance That Day When the Star Became Music...OVA",none,4.5,42,OVA,https://www3.animeflv.net/uploads/animes/covers/1276.jpg,FINALIZADO,262,Acción|Ciencia Ficción|Música,Senki Zesshou Symphogear G (Precuela),2.0,Episodios cortos originales incluidos en los volúmenes 5 y 6 de los BD/DVD.,5,0,7,2,1,1,16
Ro-Kyu-Bu! SS,none,none,4.4,85,ANIME,https://www3.animeflv.net/uploads/animes/covers/1072.jpg,FINALIZADO,728,Comedia|Deportes|Ecchi|Escolares,,12.0,"La historia se centra en un estudiante novato de instituto llamado Subaru Hasegawa que se une al equipo de baloncesto, aunque este se cierra cuando el capitán es acusado de lolicon. Subaru acaba entrenando un equipo de baloncesto de chicas de primaria con cinco niñas pequeñas.",9,2,35,0,1,0,47
Love Lab,none,none,4.6,293,ANIME,https://www3.animeflv.net/uploads/animes/covers/1062.jpg,FINALIZADO,2146,Comedia|Escolares|Romance,,13.0,"La academia femenina Fujisaki es conocida por su cuerpo escolar repleto de grandes estudiantes, la más famosa de ellas es Maki, presidenta del consejo estudiantil y admirada por todos sus compañeros, por su carácter calmado y su buena educación. Por otra parte está Kurahashi Riko, también muy admirada, pero por ser una chica muy directa y una personalidad algo masculina, asi, Riko accidentalmente se choca con Maki, cuando está practicando a dar besos con una almohada, oh sorpresa, descubre que Maki no es como todo el mundo piensa. Riko se verá obligada a guardar el secreto de Maki y a ayudarla a practicar en todos los aspectos habituales de un romance.",13,6,53,2,0,0,74
Stella Jogakuin Koutouka C3-bu,none,none,4.6,138,ANIME,https://www3.animeflv.net/uploads/animes/covers/1065.jpg,FINALIZADO,463,Deportes|Escolares|Militar,,13.0,"Yura Yamato acaba de llegar al instituto femenino Stella, y Sonora Kashima la invita a unirse a un club llamado C3. Sonora es una estudiante de tercer año que se ha convertido en la nueva presidenta del club de juegos de supervivencia. Entre el resto de miembros encontramos a dos estudiantes de segundo año y otros dos nuevos estudiantes (Rento Kirishima, cuya familia regenta un local de dulces japoneses y el pequeño Yachiyo Hinata).",3,0,12,0,0,0,15
Free!,none,none,4.6,942,ANIME,https://www3.animeflv.net/uploads/animes/covers/1029.jpg,FINALIZADO,13393,Comedia|Deportes|Escolares|Recuentos de la vida,Free! Specials (Historia Completa)|Free! Eternal Summer (Secuela)|High☆Speed!: Free! Starting Days (Secuela),12.0,"La historia gira en torno a Haruka Nanase, un muchacho al que siempre le ha gustado estár en el agua y nadar. Antes de graduarse de la escuela primaria, participó en un torneo de natación junto a sus compañeros del club de natación: Makoto Tachibana, Nagisa Hazuki y Rin Matsuoka. Tras conseguir la victoria, cada uno de los chicos siguió su propio camino. El tiempo ha pasado, y en mitad del instituto, Rin aparece y reta a Haruka a una carrera, demostrando a este lo bueno que es. Haruka no quiere que eso acabe así, así que reúne de nuevo a Makoto y a Nagisa, así como a un nuevo miembro llamado Rei Ryugazaki, para formar el club de natación del Instituto Iwatobi. Haruka, Makoto Nagisa, Rei y Rin vivirán juntos una historia de natación, juventud y amistad.",99,15,960,12,11,10,1107
Gifu Dodo!! Kanetsugu and Keiji,none,none,3.5,32,ANIME,https://www3.animeflv.net/uploads/animes/covers/1053.jpg,FINALIZADO,105,Acción|Artes Marciales|Historico|Samurai|Seinen,,25.0,,8,2,2,0,2,0,14
