title,title_alternative1,title_alternative2,rating,votes,type_serie,cover,state,followers,categories,related,episodes,description,reactions_like,reactions_funny,reactions_love,reactions_surprise,reactions_angry,reactions_sad,reactions_total
Uta no☆Prince-sama♪ Maji Love Legend Star,none,none,4.5,257,ANIME,https://www3.animeflv.net/uploads/animes/covers/2552.jpg,FINALIZADO,1783,Comedia|Harem|Música|Romance|Shoujo,Uta no☆Prince-sama♪ Maji Love Revolutions (Precuela),13.0,"Después de haber entrado ambos en eventos deportivos internacionales de Super Star Sports, también conocido como Triple S, Starish y Quartet Night han llegado a ser los dos últimos concursantes. Sin embargo, ya que tienen que esperar a los resultados, un viejo rival reaparece con un rendimiento repentino. Heavens, quienes perdio contra Starish en los Uta no Prince?Brand-New Awards, estan de vuelta - y con siete miembros, ¡más grandes que nunca! ¡¿Qué depara el futuro para estos grupos de Idols Súper populares?!",9,3,62,0,3,0,77
Magic Kyun! Renaissance,none,none,4.6,325,ANIME,https://www3.animeflv.net/uploads/animes/covers/2560.jpg,FINALIZADO,2487,Escolares|Magia|Música|Romance,,13.0,"Un mundo en el que el arte se convierte en magia. En este mundo, las personas que pueden inspirar pasión con sus Artes Mágicas reciben el nombre de Artistas, y su trabajo está en el mundo del espectáculo. Al Instituto Privado de Artes Mágicas Hoshinomori, donde estudian los Artistas, llega transferida una nueva y extraña estudiante llamada Ohana Aigasaki. Ohana acaba como responsable de la planificación del festival cultural de la escuela, el Hoshinomori Summer Festa, y pasa su romántica vida escolar en compañía de seis chicos que aspiran a ser grandes estrellas del entretenimiento en el futuro. Cada uno de los chicos se especializa en sus propias Artes, y todos juntos quieren que el festival sea un éxito. Para complicar las cosas, los chicos también quieren ser escogidos como Príncipe del festival, y todos quieren que su princesa sea Ohana…",12,1,112,0,4,2,131
Okusama ga Seitokaichou!+!,none,none,4.6,836,ANIME,https://www3.animeflv.net/uploads/animes/covers/2561.jpg,FINALIZADO,8693,Comedia|Ecchi|Escolares|Romance|Shounen,Okusama ga Seito Kaichou! (Precuela),12.0,Segunda temporada de Okusama ga Seitokaichou!,60,28,322,6,8,7,431
Tiger Mask W,none,none,4.7,252,ANIME,https://www3.animeflv.net/uploads/animes/covers/2553.jpg,FINALIZADO,864,Acción|Deportes|Drama|Shounen,,38.0,"TIGER MASK W Los protagonistas son dos jóvenes luchadores profesionales, Naoto Azuma y Takuma Fujii. Ambos formaban parte del equipo “Jipang Pro Wrestling”, un pequeño equipo profesional que fue destruido por el “Global Wrestling Monopoly (GWM)”. Buscando venganza, Azuma entrenó al pie del Monte Fuji y se convirtió en Tiger Mask, mientras que Takuma se atrevió a entrar en la Guarida del Tigre para ganar una fiera competición en la que recibió una máscara de tigre negro. Un tigre camina por el camino de la luz, y el otro por el camino de las sombras. Ninguno de los dos puede ver la cara del otro, y en el ring son enemigos mortales, pero ambos tienen el mismo propósito: destruir la Guarida del Tigre.",10,0,13,0,2,0,25
Show By Rock!! #,none,none,4.7,148,ANIME,https://www3.animeflv.net/uploads/animes/covers/2558.jpg,FINALIZADO,1179,Comedia|Música,Show By Rock!! (Precuela),12.0,Segunda temporada de Show By Rock!!,6,2,57,0,0,0,65
Ame-iro Cocoa in Hawaii,none,none,4.2,74,ANIME,https://www3.animeflv.net/uploads/animes/covers/2559.jpg,PROXIMAMENTE,467,Comedia|Recuentos de la vida,Ame-iro Cocoa: Rainy Color e Youkoso! (Precuela)|Ame-iro Cocoa Series: Ame-con!! (Secuela),0.0,"¡¿El Cafe Rainy Color se está expandiendo a Hawaii!? De repente un día Nozomu Tokura se designa el gerente de la tienda por orden del propietario. Desconcertado, sin embargo, con la cooperación de todos y el apoyo de nuevos amigos locales, Nozomu ahora tiene una batalla cuesta arriba para abrir la nueva tienda. ¿¿Es posible que pueda abrir con éxito la nueva tienda de Hawai, sin problemas??",20,7,42,4,13,5,91
Shuumatsu no Izetta,none,none,4.7,410,ANIME,https://www3.animeflv.net/uploads/animes/covers/2554.jpg,FINALIZADO,2845,Acción|Historico|Militar,,12.0,"En un mundo imaginario en el que la Segunda Guerra Mundial está a punto de estallar, nos encontramos con un territorio similar a la Europa de dicha época en nuestro mundo. La guerra se extiende por todo el mundo a un ritmo altísimo y la sangre corre en cientos de batallas en cualquier rincón. Finé, reina coronada de Eylstadt, decide usar un arma secreta para enfrentarse a todos esos grandes países que amenazan al suyo y que hasta el momento apenas lo conocían. Ese arma secreta es Izetta, una joven bruja pelirroja de la edad de Finé con un gran poder mágico y la última de los suyos. Izetta es capaz de derribar aviones y destrozar tanques con sus grandes poderes, y Eylstadt comienza a ganar batalla tras batalla. Izetta no tarda mucho en ser conocida en todo el mundo como ""la bruja roja de Eylstadt"". Sin embargo, el que las brujas se mantuvieran ocultas en la historia tenía sus motivos, y el poder mágico de Izetta no está exento de oscuros secretos. Usar sus poderes prohibidos ha abierto la puerta que deja paso tanto a la esperanza, como a la destrucción. Esta es la historia de una reina que quería salvaguardar su país, y de la joven bruja que luchó por su mejor amiga y por su gente.",16,0,42,1,2,0,61
Bubuki Buranki: Hoshi no Kyojin,none,none,4.5,139,ANIME,https://www3.animeflv.net/uploads/animes/covers/2549.jpg,FINALIZADO,722,Acción|Ciencia Ficción|Drama|Mecha,Bubuki Buranki (Precuela),12.0,,10,0,1,0,1,0,12
WWW.Working!!,none,none,4.7,599,ANIME,https://www3.animeflv.net/uploads/animes/covers/2555.jpg,FINALIZADO,4240,Comedia|Recuentos de la vida,Working!! (Historia Paralela),13.0,"Debido a las dificultades financieras de su familia, Daisuke Higashida comenzó a trabajar en un restaurante familiar. Sin embargo, el gerente es un desastre, el personal tratar de utilizar el dinero para resolverlo todo, y no parece ser un ser humano decente a la vista ¡La tienda hermana de Working!! está llena de personajes ridículamente particulares!",18,16,66,2,0,0,102
Digimon Universe: Appli Monsters,none,none,4.4,323,ANIME,https://www3.animeflv.net/uploads/animes/covers/2609.jpg,FINALIZADO,1091,Acción|Aventuras|Comedia|Fantasía|Infantil,,52.0,"Todas las personas del mundo usan aplicaciones en sus smartphones, pero en su interior habitan criaturas desconocidas llamadas “Appli Monsters” o “Appmon”. Los Appmon son formas de vida artificiales con capacidad para pensar y actuar, existiendo en el límite que hay entre el mundo humano y el espacio digital que permite que las personas interactúen con el sistema. En el gran océano de datos que es Internet, el “gran jefe” Leviathan toma control de los Appmon con un virus y comienza a hackear todos los sistemas, comenzando a controlar el mundo humano desde el corazón de la red. El protagonista, Haru Shinkai, se hace con el Appli Drive, y lo utiliza para materializar a Gacchimon, un monstruo procedente de una aplicación de búsqueda. ¿Cuál es el secreto del Appli Drive? ¿Qué es ese misterioso limbo entre el mundo real y el virtual en el que viven los Appmon? ¿Qué es el “App Combine” que puede combinar a dos Appmon? ¿Cuál es el verdadero objetivo de Leviathan?",12,1,20,1,3,1,38
Time Bokan 24,none,none,2.8,109,ANIME,https://www3.animeflv.net/uploads/animes/covers/2547.jpg,FINALIZADO,223,Aventuras|Comedia|Mecha,Time Bokan: Gyakushuu no San Akunin (Secuela),24.0,"El protagonista será Tokio, un estudiante de instituto de la era actual que de repente se convierte en miembro de la Oficina de Administración Espacio-Temporal del Siglo XXIV. De inmediato descubre que la historia y lo que ha aprendido en los libros de texto es incorrecto, y que hay una versión más interesante de la historia en la que la famosa belleza Cleopatra es en realidad un dúo cómico llamado Cleo y Patra, que Momotaro era más ogro que los propios ogros y más. Junto a su compañera Karen, usarán el 24 Bokan Mecha para conocer la Verdadera Historia. El 24 Bokan Mecha podrá transformarse y combinarse, y algunos villanos de la historia serán Bimajo, Tsubuyakki y Suzukki, quienes trabajan para History Paradise, la mayor compañía de libros de texto del mundo, y quienes quieren que la historia se mantenga como pone en ellos.",2,0,3,2,6,3,16
Bloodivores,none,none,4.1,451,ANIME,https://www3.animeflv.net/uploads/animes/covers/2548.jpg,FINALIZADO,4714,Acción|Sobrenatural|Vampiros,,12.0,"Hace 60 años un extraño caso de insomnio hizo que la población pasara más de una semana sin poder dormir. Las víctimas, privadas completamente de sueño, se volvieron locas. Para curar la misteriosa enfermedad se creó una nueva medicina, pero los efectos secundarios convirtieron a los pacientes en vampiros. La humanidad se enfrentó en una guerra a esta nueva especie y triunfó, pero quedaron vampiros esparcidos por el mundo. Miu Liu es el protagonista, nacido de un vampiro y un ser humano, y es el “Niño de la esperanza”, siendo el abanderado de la convivencia entre ambas especies. Al dirigir el atraco a un banco, Mi Liu es arrestado y transferido a una prisión especial de la Agencia Nacional de Defensa preparada para contener a los vampiros. Allí Miu Liu intentará escapar junto a Anji, pero unos monstruos les atacana. Es entonces cuando descubren que la prisión se encuentra en el lugar en el que se originaron los vampiros, la vieja capital, “Blue Town”, y tendrán que descubrir de dónde salen los monstruos y por qué se originaron realmente los vampiros.",50,1,63,1,13,1,129
Fate/kaleid liner Prisma☆Illya 3rei!! Special,none,none,4.5,90,OVA,https://www3.animeflv.net/uploads/animes/covers/2630.jpg,FINALIZADO,806,Comedia|Ecchi|Magia,,3.0,,9,1,21,0,0,0,31
Masou Gakuen HxH Special,none,none,4.4,449,OVA,https://www3.animeflv.net/uploads/animes/covers/2610.jpg,FINALIZADO,4186,Ecchi|Harem,Masou Gakuen HxH (Historia Paralela),6.0,,20,7,151,6,2,1,187
Danganronpa 3: The End of Kibougamine Gakuen - Kibou-hen,none,none,4.6,355,OVA,https://www3.animeflv.net/uploads/animes/covers/2546.jpg,FINALIZADO,3410,Acción|Misterio|Psicológico|Terror,Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen (Precuela)|Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen (Precuela),1.0,,69,11,567,31,10,28,716
Kaijuu Girls: Ultra Kaijuu Gijinka Keikaku,none,none,4.2,52,OVA,https://www3.animeflv.net/uploads/animes/covers/2576.jpg,FINALIZADO,384,Comedia|Fantasía|Parodia,Kaijuu Girls: Ultra Kaijuu Gijinka Keikaku 2nd Season (Secuela),12.0,"La humanidad lleva años enfrentándose a los kaiju, monstruos gigantescos, pero esa época llega ahora a su fin. Con la Tierra en una era de paz, comienzan a aparecer chicas que poseen el alma de los míticos kaiju de antaño y que tienen la capacidad de usar sus poderes: son la Kaiju Girls. Sigan la vida de estas lindas, poderosas, y en ocasiones despistadas chicas.",2,0,6,0,0,0,8
Dream Festival!,none,none,4.6,114,ANIME,https://www3.animeflv.net/uploads/animes/covers/2544.jpg,FINALIZADO,787,Música,,12.0,"Dream Festival es el nombre del escenario en el que todos los idols sueñan con cantar y apostar por su debut profesional. Para poder llegar hasta ahí, los idols se esfuerzan a diario por mejorar sus habilidades, y la clave para llegar a lo más alto son las Dream Festival Cards que los fans envían a sus idols favoritos. Recibir estas cartas hacen que los idols brillen incluso más sobre el escenario. ¡Dirígete al Dream Festival portando en la mano la Dream Festival Card para tu idol favorito!",3,1,42,1,0,0,47
Non Non Biyori Repeat OVA,none,none,4.7,180,OVA,https://www3.animeflv.net/uploads/animes/covers/2545.jpg,FINALIZADO,875,Comedia|Escolares|Recuentos de la vida|Seinen,Non Non Biyori Repeat (Precuela),1.0,,6,5,81,1,0,0,93
Koe no Katachi,none,none,4.8,7147,PELÍCULA,https://www3.animeflv.net/uploads/animes/covers/2740.jpg,FINALIZADO,23745,Drama|Escolares|Shounen,,1.0,"La historia gira en torno a Shoko Nishimiya, una estudiante de primaria que es sorda de nacimiento y que al cambiarse de colegio comienza a recibir acoso escolar por parte de sus nuevos compañeros. Uno de los principales responsables es Ishida Shouya quien termina por forzar que Nishimiya se cambie de escuela. Como resultado de los actos contra Shoko las autoridades del colegio toman cartas en el asunto y el curso señala como único responsable a Ishida, quien comienza a sentir el acoso impuesto por sus propios compañeros, al mismo tiempo que termina aislándose de los que alguna vez fueron sus amigos. Años después, Ishida intenta corregir su mal actuar, buscando la redención frente a Nishimiya.",345,44,4161,49,33,943,5575
Mahoutsukai no Yome: Hoshi Matsu Hito,none,none,4.8,1303,OVA,https://www3.animeflv.net/uploads/animes/covers/2540.jpg,FINALIZADO,8574,Fantasía|Magia,Mahoutsukai no Yome (Secuela),3.0,"La historia gira en torno a Chise Hatori, una chica que ha vivido abandonada y ha sufrido abusos toda su vida, alejada de cualquier tipo de amor. Lejos de conocer la calidez de una familia, no ha hecho más que tener problemas y dificultadas. Pero justo cuando parece que ha perdido toda la esperanza, tiene un encuentro destinado. Cuando un hombre con cabeza de bestia y poderes extraños la compra como esclava, la vida de Chise cambiará para siempre. Este hombre es un 'mago', un hechicero de gran poder que decide liberar a Chise de las ataduras del cautiverio con una condición: la chica se convertirá en su aprendiz... y en su esposa.",34,5,372,4,1,3,419
Kuroko no Basket Movie 1: Winter Cup Soushuuhen - Kage to Hikari,none,none,4.4,172,PELÍCULA,https://www3.animeflv.net/uploads/animes/covers/2617.jpg,FINALIZADO,1223,Deportes|Escolares|Shounen,,1.0,,23,3,109,3,3,2,143
Persona 5 the Animation: The Day Breakers,none,none,4.5,101,OVA,https://www3.animeflv.net/uploads/animes/covers/2539.jpg,FINALIZADO,637,Acción|Fantasía|Seinen|Sobrenatural,,1.0,"Los Ladrones de Corazones son una banda de jóvenes que luchan por mantener el orden en la ciudad. Un día se enteran de las actividades delictivas de unos ladrones, así que hacen lo posible por detenerlos.",8,0,36,0,0,0,44
Nanatsu no Taizai: Seisen no Shirushi,none,none,4.4,1779,ANIME,https://www3.animeflv.net/uploads/animes/covers/2536.jpg,FINALIZADO,20270,Acción|Aventuras|Ecchi|Fantasía|Shounen|Sobrenatural,Nanatsu no Taizai: Imashime no Fukkatsu (Secuela),4.0,,309,89,1330,53,82,34,1897
Kimi no Na wa,none,none,4.7,5681,PELÍCULA,https://www3.animeflv.net/uploads/animes/covers/2543.jpg,FINALIZADO,20937,Drama|Escolares|Romance|Sobrenatural,,1.0,"La “historia de milagros y amor” gira en torno a Mitsuha y Taki. Mitsuha es una estudiante de secundaria que vive en un pueblo rural situado en las montañas. Su padre es el alcalde y no pasa mucho por casa, ella vive con su hermana pequeña estudiante de primaria y su abuela. Mitsuha tiene una personalidad honesta, pero a ella no le gustan las costumbres del santuario sintoísta de su familia, ni ella ni su padre participan en una campaña electoral. Ella se lamenta de que vive confinada en un pueblo rural y anhela el maravilloso estilo de vida de Tokio. Taki es un estudiante de secundaria que vive en el centro de Tokio. Él pasa su tiempo junto a sus amigos, trabajando a tiempo parcial en un restaurante italiano y está interesado en la arquitectura y las bellas artes. Un día, Mitsuha tiene un sueño en el que ella tiene el cuerpo de un hombre joven. Taki también tiene un sueño parecido y en el que él es una estudiante de secundaria en un pueblo en las montañas en él que nunca ha estado. ¿Cuál es el secreto de sus sueños?",234,43,3752,27,36,452,4544
Gundam Build Fighters Try: Island Wars,none,none,4.3,51,OVA,https://www3.animeflv.net/uploads/animes/covers/2538.jpg,FINALIZADO,174,Acción|Ciencia Ficción|Mecha,Gundam Build Fighters Try (Historia Paralela),1.0,,4,0,7,0,0,0,11
Kizumonogatari II: Nekketsu-hen,none,none,4.5,612,PELÍCULA,https://www3.animeflv.net/uploads/animes/covers/2636.jpg,FINALIZADO,2717,Acción|Misterio|Sobrenatural|Vampiros,Kizumonogatari I: Tekketsu-hen (Precuela)|Kizumonogatari III: Reiketsu-hen (Secuela),1.0,,15,5,150,1,1,3,175
Gintama°: Aizome Kaori-hen,none,none,4.2,171,OVA,https://www3.animeflv.net/uploads/animes/covers/2613.jpg,FINALIZADO,561,Comedia|Parodia,Gintama° (Historia Principal),2.0,,3,6,26,0,0,0,35
