title,title_alternative1,title_alternative2,rating,votes,type_serie,cover,state,followers,categories,related,episodes,description,reactions_like,reactions_funny,reactions_love,reactions_surprise,reactions_angry,reactions_sad,reactions_total
Akagami no Shirayuki-hime,none,none,4.6,1114,ANIME,https://www3.animeflv.net/uploads/animes/covers/2099.jpg,FINALIZADO,12231,Drama|Fantasía|Romance|Shoujo,Akagami no Shirayuki-hime 2nd Season (Secuela),12.0,"Shirayuki es una bella muchacha pelirroja, algo muy extraño en su país, que trabaja como curandera. Ante la insistencia del príncipe del país en desposarla, Shirayuki decide huir. Es entonces cuando conoce a Zen, el príncipe de un país vecino al suyo. A pesar de su juventud, Zen sabe cómo hacerse respetar por sus conciudadanos, lo que lleva a Shirayuki a convertirse en la médico de la corte.",53,7,618,6,6,2,692
Sore ga Seiyuu!,none,none,4.6,59,ANIME,https://www3.animeflv.net/uploads/animes/covers/2106.jpg,FINALIZADO,574,Comedia|Recuentos de la vida,,14.0,"Este yonkoma gira en torno a Futaba Ichinoshe, Ichigo Moesaki y Rin Kohana, tres seiyuus novatas. En la historia se incluyen pequeñas pero graciosas observaciones sobre la industria de los seiyuus. Lee el artículo completo en koi-nya: Sore ga Seiyuu!, manga de Masumi Asano y Kenjirou Hata, tendrá anime para televisión http://www.koi-nya.net/2014/12/30/sore-ga-seiyuu-manga-de-masumi-asano-y-kenjirou-hata-tendra-anime-para-television/",5,1,31,0,0,0,37
Dragon Ball Super Latino,none,none,4.1,3009,ANIME,https://www3.animeflv.net/uploads/animes/covers/2793.jpg,FINALIZADO,14467,Acción|Artes Marciales|Aventuras|Comedia|Fantasía|Shounen|Superpoderes,,67.0,"Después de derrotar a Majin Buu, la vida vuelve a ser tranquila una vez más. Goku vuelve a trabajar otra vez ya que Chichi le ordena que gane dinero, aunque él quiere seguir entrenando. Mientras, Goten, a punto de convertirse en cuñado de Videl, se embarca en un viaje con Trunks para encontrar un regalo para ella.",592,124,1756,89,188,102,2851
Rokka no Yuusha,none,none,4.6,1584,ANIME,https://www3.animeflv.net/uploads/animes/covers/2095.jpg,FINALIZADO,13143,Acción|Aventuras|Fantasía|Magia|Misterio,,12.0,"En un mundo de fantasía en el cual los 6 héroes elegidos por los Dioses del Destino deben luchar contra el Demonio que ha revivido desde las profundidades del infierno, Adlet, nuestro protagonista, dice ser “el más fuerte del mundo”. Adlet es uno de los elegidos, los “Héroes de las seis flores”, pero cual es la sorpresa de todos los valientes elegidos al ver que no son seis, sino siete. En el bosque, los siete temen de que el enemigo esté entre ellos y el principal blanco de las sospechas es el propio Adlet.",99,9,313,15,13,2,451
Charlotte,none,none,4.7,3872,ANIME,https://www3.animeflv.net/uploads/animes/covers/2091.jpg,FINALIZADO,30761,Drama|Escolares|Superpoderes,,14.0,"La historia gira en torno a las habilidades especiales que un pequeño porcentaje de chicos y chicas en la pubertad desarrollan. Yu Otosaka usa su poder sin que nadie lo sepa y lleva una vida bastante normal, con una vida estudiantil común. Ante él aparece un día una chica llamada Nao Tomori. Debido a su encuentro con ella, el destino de aquellos con poderes especiales quedará al descubierto. Esta es la historia de cómo aquellos con poderes especiales experimentan la juventud.",359,34,2396,48,30,334,3201
Working!!!,none,none,4.8,621,ANIME,https://www3.animeflv.net/uploads/animes/covers/2092.jpg,FINALIZADO,1829,Comedia|Recuentos de la vida|Romance,Working'!! (Precuela),14.0,Tercera temporada de Working!!,8,5,64,0,2,2,81
Wakako-zake,none,none,4.4,56,ANIME,https://www3.animeflv.net/uploads/animes/covers/2097.jpg,FINALIZADO,308,Recuentos de la vida|Seinen,,12.0,"La historia gira en torno a Wakako, una mujer de 26 años que bebe diferentes tipos de alcohol cada noche sola en bares, buscando una lugar al que pertenecer.",4,3,7,0,0,0,14
Gatchaman Crowds Insight,none,none,4.5,37,ANIME,https://www3.animeflv.net/uploads/animes/covers/2094.jpg,FINALIZADO,337,Aventuras|Ciencia Ficción,Gatchaman Crowds Insight: Inbound (Precuela),12.0,Segunda temporada de Gatchaman Crowds.,5,0,8,0,0,0,13
Dragon Ball Super,none,none,4.5,5187,ANIME,https://www3.animeflv.net/uploads/animes/covers/2096.jpg,FINALIZADO,39689,Acción|Artes Marciales|Aventuras|Comedia|Fantasía|Shounen|Superpoderes,Dragon Ball Kai: Majin Buu-hen (Precuela)|(Secuela),131.0,"Después de derrotar a Majin Buu, la vida vuelve a ser tranquila una vez más. Goku vuelve a trabajar otra vez ya que Chichi le ordena que gane dinero, aunque él quiere seguir entrenando. Mientras, Goten, a punto de convertirse en cuñado de Videl, se embarca en un viaje con Trunks para encontrar un regalo para ella.",317,58,1286,62,50,27,1800
Classroom ☆ Crisis,none,none,4.6,297,ANIME,https://www3.animeflv.net/uploads/animes/covers/2087.jpg,FINALIZADO,3399,Ciencia Ficción|Escolares,,13.0,Esta “comedia romántica de trabajo y colegio” está protagonizada por “personajes encantadores” diseñados por Kanzaki y situados en un mundo de un futuro cercano tejido por Maruto y explotado por Nagasaki. Se trata de un relato de los problemas y las adversidades que atraviesan unas estudiantes de secundaria a sueldo.,41,3,100,7,10,2,163
