title,title_alternative1,title_alternative2,rating,votes,type_serie,cover,state,followers,categories,related,episodes,description,reactions_like,reactions_funny,reactions_love,reactions_surprise,reactions_angry,reactions_sad,reactions_total
Kampfer fur die liebe,けんぷファー für die Liebe,Kampfer: Fur die Liebe,4.4,161,OVA,https://www3.animeflv.net/uploads/animes/covers/375.jpg,FINALIZADO,1224,Acción|Comedia|Ecchi|Superpoderes|Yuri,Kampfer (Precuela),2.0,Secuela de la serie que involucró al pobre Natsuru Sennou en un juego donde guerreras llamadas Kampfer deben luchar para sobrevivir.,17,5,50,6,4,4,86
Macross Frontier: Sayonara no Tsubasa,劇場版 マクロスF 恋離飛翼～サヨナラノツバサ～,none,4.2,36,PELÍCULA,https://www3.animeflv.net/uploads/animes/covers/845.jpg,FINALIZADO,175,Acción|Ciencia Ficción|Espacial|Mecha|Militar|Música|Romance,Macross Frontier: Itsuwari no Utahime (Precuela),1.0,"Retomando desde donde la anterior película terminó, la carrera de Ranka como estrella florece mientras que la salud de Sheryl se deteriora rápidamente después de desplomarse durante una actuación en directo. Al mismo tiempo, las facciones separadas están maniobrando detrás de las escenas buscando controlar la horda Vajra mediante la utilización de la capacidad del canto de Ranka y Sheryl. Como toda la flota de Macross frontier empieza a librar su guerra final sobre el Vajra, Alto finalmente hace una elección entre Ranka y Sheryl.",3,0,12,0,3,0,18
Supernatural the Animation,SUPERNATURAL,Supernatural: The Anime Series,4.0,42,OVA,https://www3.animeflv.net/uploads/animes/covers/356.jpg,FINALIZADO,422,Acción|Demonios|Sobrenatural|Terror,,22.0,"Basada en La serie estadounidense de mismo nombre. Los Hermanos Sam y Dean Winchester quienes viajan a diversos sitios de Estados Unidos, a bordo de un Chevrolet Impala de color negro y modelo 1967, investigando y combatiendo sucesos paranormales e inexplicables, muchos de ellos basados en leyendas urbanas de la cultura estadounidense, además de criaturas sobrenaturales clásicas, tales como vampiros, licántropos y fantasmas. A lo largo de las siguientes temporadas, la trama se ha diversificado, a consecuencia principalmente del desarrollo de los protagonistas y su relación con eventos como el Apocalipsis.",5,0,8,0,2,2,17
Thundercats (2011),ああっ女神さまっ (2011),none,4.4,65,ANIME,https://www3.animeflv.net/uploads/animes/covers/635.jpg,FINALIZADO,554,,,26.0,"Para todos los que vieron Los Thundercats, esta es una nueva versión a la que ya conocemos, los mismos protagonistas, pero tenemos una trama y una historia un poco diferente, yo diría que mucho más interesante. Vemos a un Leono, Tigro y Chitara adolecentes combirtiendose en adultos. A los gemelos Felinos como niños jugetones y a un Pantro entrado en años enseñando a una nueva generación de Thundercats.",9,1,13,1,5,3,32
Baka to Test to Shokanju: Matsuri,バカとテストと召喚獣 ～祭～,Baka and Test: Summon the Beasts - OVA,4.6,182,OVA,https://www3.animeflv.net/uploads/animes/covers/370.jpg,FINALIZADO,1321,Comedia|Escolares|Superpoderes,Baka to Test to Shoukanjuu (Precuela)|Baka to Test to Shokanju II (Secuela),2.0,"Hideyoshi, Akisa, Minami, Kouta(el miron), Yiuji, el FFF y HImeji nos hablaran sobre que es la navidad y Akisa Yoshi tendra una sorpresa inesperada...",11,6,31,1,0,0,49
Aa! Megami-sama! (2011),Oh My Goddess!,"¡Oh, Mi Diosa!",4.6,57,OVA,https://www3.animeflv.net/uploads/animes/covers/637.jpg,FINALIZADO,274,Comedia|Magia|Romance|Seinen|Sobrenatural,Aa! Megami-sama!: Tatakau Tsubasa (Precuela)|Aa! Megami-sama! (Historia Principal),2.0,"En el pasado, Keiichi y Belldandy disfrutaron de un agradable día en un parque de diversiones pero Keiichi se entera de que están a punto de cerrarlo, por eso decide pedirle a Belldandy el ir nuevamente. Es una linda oportunidad para juntos en un lugar agradable. Pero desafortunadamente, Belldandy, se encuentra en algunos problemas, los cuales son tratados por sus queridas hermanas Urd y Skull.",4,0,11,0,0,0,15
Suite Precure♪,none,none,4.5,35,ANIME,https://www3.animeflv.net/uploads/animes/covers/1700.jpg,FINALIZADO,199,Acción|Fantasía|Magia|Shoujo,Futari wa Precure (Historia Paralela)|Suite Precure♪ Movie: Torimodose! Kokoro ga Tsunaku Kiseki no Melody♪ (Historia Paralela),48.0,"Hibiki y Kanade son dos amigas que crecieron juntas en Ciudad Kanon. Diferentes en sus personalidades, comparten una cosa en común: El amor por la música. No importa lo diferentes que son o cuántas son sus diferencias a causa de sus disputas, las dos siguen compartiendo corazones llenos de amor. Un día conocen a Hummy, que es enviado al mundo humano para buscar el nuevo Precure lo bastante fuerte para recoger las notas de la melodía de la felicidad las cuales están dispersas. Ellas tienen que transformarse instantáneamente para resistir las amenazas y la música del mal de Mephisto. Veran si pueden detener la melodía del dolor, la cual interrumpe su tranquilo pueblo.",6,0,26,0,0,0,32
Shin Koihime†Musou: Otome Tairan OVA,none,none,4.4,14,OVA,https://www3.animeflv.net/uploads/animes/covers/1877.jpg,FINALIZADO,79,Comedia|Escolares,Shin Koihime†Musou: Otome Tairan (Historia Principal),1.0,,1,0,2,0,1,0,4
T.P. Sakura: Time Paladin Sakura,none,none,3.9,30,OVA,https://www3.animeflv.net/uploads/animes/covers/1505.jpg,FINALIZADO,158,Acción|Magia,Da Capo II Second Season (Historia Principal),2.0,"Esta serie OVAS es un spin-off de D.C Da Capo, en esta ocasion Sakura Yoshino sera la protagonista una chica casi normal de tercer año de primaria con la diferencia de que posee habilidades magicas.Tambie hanbran personajes ya conocidos en Da capo y nuevos personajes.",10,1,12,1,1,0,25
Fractale,フラクタル,none,4.6,46,ANIME,https://www3.animeflv.net/uploads/animes/covers/254.jpg,FINALIZADO,297,Aventuras|Ciencia Ficción|Fantasía,,11.0,"La historia tendrá lugar en una isla, donde el Sistema Fractal ha empezado a colapsar. Un día, Crane encuentra en un precipicio a una chica herida, llamada Phyrne. Ella desaparece dejando un pendiente. Crane y el avatar con forma de niña, Nessa, inician un viaje para Phyrne y descubren el secreto del Sistema Fractal.",7,1,4,0,0,0,12
