title,title_alternative1,title_alternative2,rating,votes,type_serie,cover,state,followers,categories,related,episodes,description,reactions_like,reactions_funny,reactions_love,reactions_surprise,reactions_angry,reactions_sad,reactions_total
Hotarubi no Mori e,蛍火の杜へ,none,4.5,1852,PELÍCULA,https://www3.animeflv.net/uploads/animes/covers/745.jpg,FINALIZADO,10046,Drama|Romance|Shoujo|Sobrenatural,,1.0,"La historia se centra en Hotaru, una chica que se pierde en un bosque en el que se dice habitan muchos fantasmas. Ante ella se le aparece Gin, un joven muchacho que le embelesa con una primera mirada pero al cual ella no se atreve ni a tocar por miedo a que desaparezca.",152,23,1650,26,25,1466,3342
Kami Nomi zo Shiru Sekai: Yonnin to Idol,神のみぞ知るセカイ 4人とアイドル,none,4.6,188,OVA,https://www3.animeflv.net/uploads/animes/covers/633.jpg,FINALIZADO,1401,Comedia|Música|Shounen|Sobrenatural,Kami Nomi zo Shiru Sekai 2 (Precuela),1.0,"Basado de los capítulos 54 y 55 del manga que lleva su mismo nombre. Keima Katsuragi, en el mundo de los juegos de citas 2D es conocido como ""El Dios de las conquistas"", aunque en el mundo real es conocido como Otamegane (unión de las palabras Otaku y megame: lentes). Ahora tiene que enfrentar un nuevo desafío, tener que ayudar a sus conquistas anteriores (Ayumi, Kanon, Chihiro) y a su inseparable demonio, Elsie, a poder aprobar un examen. Ese examen dependerá del futuro de la creación de su propio club de música ligera. Aunque esto le genera muchos problemas al Dios de las conquistas.",14,3,81,1,0,4,103
Momo e no Tegami,ももへの手紙,A Letter to Momo,4.6,82,PELÍCULA,https://www3.animeflv.net/uploads/animes/covers/894.jpg,FINALIZADO,522,Drama|Sobrenatural,,1.0,"Una historia conmovedora para el público en general. La historia tiene lugar en una pequeña isla en Seto Inland Sea. Momo pierde a su padre y se traslada a la isla con su madre. Su padre deja una carta, la cual dice únicamente ""Momo e"" (Para Momo). Momo se pregunta qué quería contarle. Después de que encuentre un viejo libro en un ático, misteriosos sucesos comienzan a suceder alrededor de Momo.",16,5,39,1,0,5,66
Astarotte no Omocha! EX,アスタロッテのおもちゃ! EX,none,3.9,378,OVA,https://www3.animeflv.net/uploads/animes/covers/631.jpg,FINALIZADO,1873,Comedia|Demonios|Ecchi|Fantasía|Romance|Seinen,Astarotte no Omocha! (Historia Principal),1.0,OVA de la serie Astarotte no Omocha!,26,4,67,6,7,2,112
Busou Shinki Moon Angel,武装神姫 MOON ANGEL,none,4.0,20,OVA,https://www3.animeflv.net/uploads/animes/covers/1023.jpg,FINALIZADO,170,Acción|Ciencia Ficción,Busou Shinki (Spin-Off),1.0,"La historia nos presenta a Tsubasa, un muchacho que sueña con convertirse en un Shinki Master, y su Shinki, Arnval Mk.2 (Kana Asumi). Minori Chihara hace las veces de otra Busou Shinki llamada Strarf Mk. 2. La premisa es muy similar a la que pudimos ver en Angelic Layer de las CLAMP.",5,1,3,0,0,1,10
Prince of Tennis - Eikokushiki Teikyuujou Kessen!,none,none,4.6,54,PELÍCULA,https://www3.animeflv.net/uploads/animes/covers/856.jpg,FINALIZADO,342,Acción|Comedia|Deportes|Escolares|Shounen,The Prince of Tennis (Historia Principal),1.0,Película conmemorativa por los 10 años del anime.,16,1,42,0,0,0,59
Mardock Scramble: The Second Combustion,,none,4.6,45,PELÍCULA,https://www3.animeflv.net/uploads/animes/covers/843.jpg,FINALIZADO,262,Acción|Ciencia Ficción|Psicológico,Mardock Scramble: The Third Exhaust (Secuela)|Mardock Scramble: The First Compression (Precuela),1.0,"La protagonista de la historia es Rune Ballot, una prostituta adolescente en la ciudad de Mardock. No pasa mucho tiempo hasta que Shell, el dueño de un casino y con otros tantos negocios turbios entre las manos, decide que sea su protegida. Rune está agradecida por lo que Shell ha hecho por ella, pero siente la imperiosa necesidad de saber por qué a ella. Investigar el pasado de Shell será su gran error, ya que la reacción del mismo será intentar matarla a toda costa, con lo que revienta un coche con ella dentro. En Mardock la tasa de criminalidad es alarmantemente exagerada, así que se pone en marcha una nueva ley conocida como ?Scramble 09? que permite a la policía tomar acciones que en ese momento se consideran ilegales o brutales con tal de combatir todo crimen. Rune Ballot se ve envuelta en la investigación contra Shell, con lo que cogen su cuerpo chamuscado y lo montan en un cuerpo sintético reforzado e intentan interrogarla. Rune al despertarse tarda en recuperarse del estado de shock, pero cuando lo hace? su primer objetivo es vengarse de Shell.",6,0,8,1,2,0,17
Mahou Sensei Negima! Anime Final,劇場版 魔法先生ネギま! ANIME FINAL,none,4.4,118,PELÍCULA,https://www3.animeflv.net/uploads/animes/covers/747.jpg,FINALIZADO,2897,Aventuras|Magia|Sobrenatural,UQ Holder!: Mahou Sensei Negima! 2 (Secuela),1.0,la película está centrada en un final alternativo de lo que pasó después del capítulo 328 del manga.,19,3,74,6,9,0,111
Hayate No Gotoku! Heaven Is A Place On Earth,劇場版 ハヤテのごとく! HEAVEN IS A PLACE ON EARTH,none,4.2,29,PELÍCULA,https://www3.animeflv.net/uploads/animes/covers/700.jpg,FINALIZADO,237,Comedia|Harem|Parodia,,1.0,"Hayate, que se ve obligado a servir como mayordomo, guardaespaldas y confidente de una chica llamada Nagi, para poder pagar una inmensa deuda (156.804.000 de yenes - 1.800.000 dólares). La película tiene como origen en el manga del mismo nombre.",3,2,9,0,0,0,14
Usagi Drop Live Action,none,none,4.4,80,PELÍCULA,https://www3.animeflv.net/uploads/animes/covers/2191.jpg,FINALIZADO,292,,Usagi Drop (Historia Principal),1.0,"Cuando Daikichi, un hombre de 30 años, vuelve a casa por el funeral de su abuelo, conoce a Rin, la hija ilegítima de su abuelo con una mujer desconocida, una niña de 6 años. La niña es una vergüenza para todos los familiares y nadie se preocupa por ella. Daikichi, molesto por la actitud de sus familiares, decide quedarse a cargo de Rin, a pesar de ser soltero y no tener experiencia con los niños. Mientras Rin se convierte en parte de su vida, Daikichi descubre lo duro que es criar a un niño él solo.",20,1,24,1,4,1,51
