title,title_alternative1,title_alternative2,rating,votes,type_serie,cover,state,followers,categories,related,episodes,description,reactions_like,reactions_funny,reactions_love,reactions_surprise,reactions_angry,reactions_sad,reactions_total
Robot Girls Z,none,none,4.2,43,ANIME,https://www3.animeflv.net/uploads/animes/covers/1221.jpg,FINALIZADO,260,Comedia|Mecha|Parodia,,9.0,"La historia gira en torno a Z-chan (Mazinger Z), Gre-chan (Great Mazinger) y Grenda-san (UFO Robot Grendizer), quienes juntas forman la unidad llamada ""Team Z"", la cual es encargada de promocionar la fuente de energía del futuro, Photonic Energy, y de luchar contra el malvado Barón Ashura y sus Mechanical Beast, Garada-chan y Doublas-chan, quienes buscarán utilizar la Photonic Energy para dominar al mundo.",2,2,12,1,0,0,17
Neppuu Kairiku Bushi Road,none,none,4.4,146,PELÍCULA,https://www3.animeflv.net/uploads/animes/covers/1233.jpg,FINALIZADO,1650,Acción|Ciencia Ficción|Fantasía|Mecha,,1.0,"La historia empieza en un tiempo en donde la desesperación se apodera del mundo después de ser destrozada por un veneno llamado “shinobi” que llego a la tierra por medio de un asteroide. La gente escapa a un lugar llamado “Kaikiru” lugar que se encontraba en el fondo del océano. Aquí la gente trata de protegerse en contra de los efectos del veneno. En este mundo, hubo una luz de esperanza “El arma sagrada Giga road” y el legendario guerrero “Yagyuu” son requeridos para contrarrestar los efectos del veneno. Para salvar al mundo , Ame una princesa de una nación caída, se levanta para cambiar a el mundo.",26,2,84,6,5,21,144
Sword Art Online: Extra Edition,none,none,4.4,567,OVA,https://www3.animeflv.net/uploads/animes/covers/1199.jpg,FINALIZADO,4738,Acción|Aventuras|Fantasía|Juegos|Romance,,1.0,"Kirito y el resto decide lanzarse a una misión acuática dentro del mundo de ALO para que Yui pueda cumplir su deseo de ver una ballena. Mientras se preparan para partir, descubren algo que les deja impactados... a Leafa, o Suguha, le da miedo el agua. Con ello, Asuna y el resto de chicas del grupo deciden enseñar a Suguha a nadar en una piscina en el mundo real. Mientras tanto, Kirito se encuentra con alguien...",110,17,458,8,11,6,610
Majokko Shimai no Yoyo to Nene,none,none,4.5,38,PELÍCULA,https://www3.animeflv.net/uploads/animes/covers/1461.jpg,FINALIZADO,96,Fantasía|Magia,,1.0,"Sigue la vida de dos hermanas que son chicas mágicas: Yoyo, la gran bruja de Nivel Libro Ilustrado y Nene, la mejor bruja de Nivel Libro de Prácticas. Yoyo y Nene viven en un bosque donde son famosas por regentar una tienda en la que venden hechizos mágicos, y es que ambas tienen mucho talento pero ser tan jóvenes… aunque siempre acaban causando algún alboroto.",3,0,11,0,0,1,15
Hunter x Hunter: The Last Mission,none,none,4.4,261,PELÍCULA,https://www3.animeflv.net/uploads/animes/covers/1474.jpg,FINALIZADO,2174,Acción|Aventuras|Shounen|Superpoderes,Hunter x Hunter: Phantom Rouge (Precuela),1.0,"Los Cazadores más poderosos que ha habido en la Asociación de Cazadores se han separado en “luz” y “oscuridad”, siguiendo cada uno su propio camino. La oscuridad está empezando a moverse para masacrar a todos los Cazadores, ¡¿qué hará Gon cuando se revelen los crímenes de Netero y el resto de la asociación?!",39,6,335,15,10,6,411
Chuunibyou demo koi ga shitai! ren lite,none,none,4.7,279,OVA,https://www3.animeflv.net/uploads/animes/covers/1195.jpg,FINALIZADO,3110,Comedia|Escolares,Chuunibyou Demo Koi ga Shitai!: Kirameki no... Slapstick Noe (Secuela),6.0,"Debido a varios motivos, Yuuta y Rikka están viviendo juntos. Una convivencia secreta es lo más emocionante para dos tortolitos como ellos o debería serlo... Acaso tener una novia con chuunibyou es demasiado para el pobre Yuuta, que ni siquiera ha salido nunca con una chica normal. Yuuta se preocupa por cómo hacer avanzar su relación con Rikka. Mientras tanto, Nibutani, Kumin y Dekomori han subido de nivel al pasar de curso. De repente en el instituto aparece una chica llamada Satone Shichimiya, o como ella se hace llamar, Sophia Ring Saturn the 7th... La esperada segunda temporada de la comedia romántica adolescente sobre el chuunibyou que te hará reír y llorar esta a punto de empezar.",22,13,223,2,2,2,264
Machine-Doll wa Kizutsukanai Specials,none,none,4.5,128,OVA,https://www3.animeflv.net/uploads/animes/covers/1198.jpg,FINALIZADO,1311,Acción|Ecchi|Escolares|Fantasía|Seinen,Machine-Doll wa Kizutsukanai (Historia Paralela),6.0,,11,2,34,0,1,0,48
Freezing Vibration Specials,none,none,4.5,92,OVA,https://www3.animeflv.net/uploads/animes/covers/1197.jpg,FINALIZADO,1053,Acción|Comedia|Ecchi,Freezing Vibration (Historia Paralela),6.0,Cortos incluidos en los BD/DVD.,6,2,22,2,2,1,35
Pupipo!,none,none,4.6,60,ANIME,https://www3.animeflv.net/uploads/animes/covers/1192.jpg,FINALIZADO,415,Comedia|Escolares|Recuentos de la vida|Sobrenatural,,15.0,"La historia está protagonizada por Wakaba Himeji, una niña de quinto año de primaria que puede ver cosas que otras personas no. Debido a su habilidad, vive aterrorizada por su entorno, guarda distancias con los demás y empujándola a una vida muy solitaria. Sin embargo, un día se encuentra con una misteriosa criatura rosa que se hace llamar ""Pupipo"", y desde ese día su vida cambiará.",6,0,12,0,0,0,18
Natsume Yuujinchou LaLa Special,none,none,4.6,120,OVA,https://www3.animeflv.net/uploads/animes/covers/1254.jpg,FINALIZADO,497,Drama|Fantasía|Recuentos de la vida|Shoujo|Sobrenatural,Natsume Yuujin-Chou Shi (Precuela),1.0,,15,3,46,1,0,0,65
