type_real_state,url,title,location_string,location_latitude,location_longitude,date_publication,state,deliver,coin,views,price,expenses,discount,description_sup,description,pictures,advertiser_name,advertiser_codes,feature_rooms,feature_unities,feature_stotal,feature_scover,feature_bath,feature_parking,feature_toilete,feature_antique,general_features_xml,location_tree
departamento,https://www.plusvalia.com/propiedades/110-m-dos-dorm.-republica-del-salvador-62750969.html,110 m Dos Dorm. República del Salvador,"República del Salvador y Portugal, La Carolina, Quito",-0.182194886343188,-78.48067850843768,24/11/2021,Venta,house_default,USD,38,150000.0,+ USD 120 Condominio/Alícuota,0,Departamento · 110m² · 2 Habitaciones,En la República del Salvador y Portugal|En venta departamento de 110 metros|2 parqueadero|2 baños completos||Sala /Comedor amplios|Cocina independiente con dos ACCESOS|Piso 7|Construcción Alvarez Bravo||2 parqueaderos en línea|1 bodega||Alicuota $ 120|Incluye agua y mantenimiento de los dos ascensores|La guardiania 24h|Salón Comunal|Andrea Bayas,https://img10.naventcdn.com/avisos/9/00/62/75/09/69/1200x1200/288643566.jpg|https://img10.naventcdn.com/avisos/9/00/62/75/09/69/1200x1200/288643564.jpg|https://img10.naventcdn.com/avisos/9/00/62/75/09/69/1200x1200/288643568.jpg|https://img10.naventcdn.com/avisos/9/00/62/75/09/69/1200x1200/288643569.jpg|https://img10.naventcdn.com/avisos/9/00/62/75/09/69/1200x1200/288643584.jpg,BOLSA INMOBILIARIA NACIONAL,Cód. del anunciante: PSV-M-59448045|Cód. Plusvalia: 62750969|Lic Prof: 692,2 Habitaciones,none,110 m² Total,110 m² Cubierta,none,none,none,10 Antigüedad,<general_features_xml><general_feature><title>Características generales</title><content>Terraza</content></general_feature><general_feature><title>Servicios</title><content>Gimnasio|Guardianía/Seguridad privada|Parqueadero visitantes|Video vigilancia|Sistema de alarma de seguridad|Calefón|Extractor de olores|Cortinas/Persianas</content></general_feature><general_feature><title>Ambientes</title><content>Cuarto de planchado</content></general_feature></general_features_xml>,Plusvalia->Departamento->Comprar->Pichincha->Quito->La Carolina->110 m Dos Dorm. República del Salvador
oficina comercial,https://www.plusvalia.com/propiedades/1167-m2-de-oficina-planta-baja-21-parqueos-alquiler-61474326.html,1167 M2 de Oficina Planta Baja 21 Parqueos Alquiler,"AVENIDA CARLOS JULIO AROSEMENA, Norte de Guayaquil, Guayaquil",-2.173137501159611,-79.91503050199128,11/8/2021,Alquiler,house_default,USD,41,12500.0,none,0,Oficina comercial · 1167m² · 21 Estacionamientos,Mandato Guayaquil|Más de 15 años de experiencia en el mercado inmobiliario|Visita nuestras redes sociales – Instagram y Facebook|César Sotomayor - Ver datos - Ver datos|Isabella Andrade - Ver datos - Ver datos|Janett Viteri - Ver datos - Ver datos||OFICINAS EN LA ZONA NORTE DE GUAYAQUIL|Edificio con garita de control con guardia|21 parqueos disponibles para quien alquile la oficina|Avenida Principal|Con fácil acceso de todo tipo de transporte|Puede alquilarse la mitad de la oficina||Mayor información||Total de metros cuadrados 1.167|Total de parqueos: 21|Tiempo de contrato: 5 años|Valor del alquiler - $ más IVA|CESAR SOTOMAYOR VITERI - -|JANETT VITERI - -,https://img10.naventcdn.com/avisos/resize/9/00/61/47/43/26/1200x1200/264661075.jpg|https://img10.naventcdn.com/avisos/resize/9/00/61/47/43/26/1200x1200/264661076.jpg|https://img10.naventcdn.com/avisos/resize/9/00/61/47/43/26/1200x1200/264661077.jpg|https://img10.naventcdn.com/avisos/resize/9/00/61/47/43/26/1200x1200/264661071.jpg|https://img10.naventcdn.com/avisos/resize/9/00/61/47/43/26/1200x1200/264661074.jpg,César Sotomayor,Cód. del anunciante: 2FQOO6|Cód. Plusvalia: 61474326|Lic Prof: 266,none,none,1167 m² Total,1167 m² Cubierta,5 Baños,21 Estacionamientos,none,17 Antigüedad,<general_features_xml><general_feature><title>Servicios</title><content>Guardianía/Seguridad privada|Parqueadero visitantes|Control de accesos|Video vigilancia|Sistema de alarma de seguridad|Cisterna|Cortinas/Persianas|Posee luminarias</content></general_feature></general_features_xml>,Plusvalia->Oficina comercial->Alquilar->Guayas->Guayaquil->Norte de Guayaquil->1167 M2 de Oficina Planta Baja 21 Parqueos Alquiler
oficina comercial,https://www.plusvalia.com/propiedades/12-de-octubre-swisshotel-amplia-oficina-de-140-61065871.html,"12 de Octubre - Swisshotel, Amplia Oficina de 140 m²","12 de Octubre - Swisshotel, Amplia Oficina de 140 m², Centro de Quito, Quito",-0.205222182367547,-78.48584750552675,30/4/2021,Alquiler,house_default,USD,43,655.0,+ USD 168 Condominio/Alícuota,0,Oficina comercial · 140m² · 2 Estacionamientos,"Corporación Vyasa arrienda:||Oficina grande, dos entradas principales, una puerta de escape, en edificio con 3 guardianías, dos ascensores, cuenta con dos plantas eléctricas, tiene circuito cerrado de televisión, ubicado en sitio central, muy cerca de universidades, centros comerciales y oficinas bancarias.||Area de construcción: 140 m2||Piso: 7||Área de cafetería: 1||Baños: 2||Parqueaderos: 2||Antigüedad: 19 años||Precio renta: $ 655 más IVA, más condominio ($168,00)|||""Usted puede revisar más opciones en nuestra página web""",https://img10.naventcdn.com/avisos/9/00/61/06/58/71/1200x1200/257380997.jpg|https://img10.naventcdn.com/avisos/9/00/61/06/58/71/1200x1200/257377888.jpg|https://img10.naventcdn.com/avisos/9/00/61/06/58/71/1200x1200/257382645.jpg|https://img10.naventcdn.com/avisos/9/00/61/06/58/71/1200x1200/257401419.jpg|https://img10.naventcdn.com/avisos/9/00/61/06/58/71/1200x1200/257380681.jpg,CORPORACIÓN VYASA,Cód. del anunciante: COF1269952|Cód. Plusvalia: 61065871|Lic Prof: ACBRT No. 00267,none,none,140 m² Total,140 m² Cubierta,none,2 Estacionamientos,2 Medios Baños,19 Antigüedad,<general_features_xml><general_feature><title>Servicios</title><content>Línea telefónica|Generador eléctrico|Cortinas/Persianas</content></general_feature></general_features_xml>,"Plusvalia->Oficina comercial->Alquilar->Pichincha->Quito->Centro de Quito->12 de Octubre - Swisshotel, Amplia Oficina de 140 m²"
departamento,https://www.plusvalia.com/propiedades/12-de-octubre-y-cordero-151-m.-2-dorm-2-banos-2-63165411.html,"12 de Octubre y Cordero - 151 m. 2 Dorm, 2 Baños, 2 Park, 2 Bodg","12 de octubre y cordero, Centro Norte, Quito",-0.204814918577361,-78.48551316208209,26/1/2022,Venta,house_default,USD,0,160000.0,+ USD 248 Condominio/Alícuota,0,Departamento · 151m² · 2 Habitaciones · 2 Estacionamientos,"* Ubicado en el sector Swissotel|* Hermoso departamento con linda vista 151m.|* Dormitorio máster con cama matrimonial|* Dormitorio 2 con dos camas individuales|* Sala - comedor - cocina|* Área de lavadora y secadora|* 2 baños completos con tina|* Baño de visita|* Se vende amoblado y equipado con: Cocina, microondas, lavadora, secadora, vajilla, utensilios de cocina, 2 tanques de agua.|* Área comunal con: Restaurantes, piscina, gimnasio, peluquería, spa y salones.",https://img10.naventcdn.com/avisos/9/00/63/16/54/11/1200x1200/295904370.jpg|https://img10.naventcdn.com/avisos/9/00/63/16/54/11/1200x1200/295904379.jpg|https://img10.naventcdn.com/avisos/9/00/63/16/54/11/1200x1200/295904366.jpg|https://img10.naventcdn.com/avisos/9/00/63/16/54/11/1200x1200/295904381.jpg|https://img10.naventcdn.com/avisos/9/00/63/16/54/11/1200x1200/295904372.jpg,Margarita Escudero,Cód. del anunciante: 2HTDNL|Cód. Plusvalia: 63165411,2 Habitaciones,none,192 m² Total,151 m² Cubierta,2 Baños,2 Estacionamientos,1 Medio baño,31 Antigüedad,<general_features_xml><general_feature><title>Características generales</title><content>Amueblado/a|Ascensor(es)|: 4|Caseta de guardia|Jardín(es)|Piscina|Terraza|Baño de servicio|: 1|Acabados de Lujo|Centros Comerciales Cercanos|Escuelas Cercanas|Vista a la Ciudad|Intercomunicador|Recepción|Av. acceso asfaltada|Closet|En condominio|page.posting.features.937|page.posting.features.1064|: Negociable</content></general_feature><general_feature><title>Servicios</title><content>Area de lavandería|Gas centralizado|Gimnasio|Internet/Wifi|Línea blanca|Línea telefónica|Guardianía/Seguridad privada|Parqueadero visitantes|Iluminación|Puertas eléctricas|Control de accesos|Video vigilancia|Sistema de alarma de seguridad|Cisterna|Televisión por cable|Calefón|Extractor de olores|Generador eléctrico|Cortinas/Persianas|Servicios básicos (agua/luz)|Parrilla|Areas verdes</content></general_feature><general_feature><title>Ambientes</title><content>Bodega(s)|: 2|Sala comunal|Urbanización privada|Area de eventos|Secadero|Closets|: 4|page.posting.features.905|page.posting.features.906|page.posting.features.908|page.posting.features.909|page.posting.features.910|page.posting.features.914</content></general_feature><general_feature><title>Exteriores</title><content>Area de BBQ|Balcón(es)|: 1</content></general_feature></general_features_xml>,"Plusvalia->Departamento->Comprar->Pichincha->Quito->Centro Norte->12 de Octubre y Cordero - 151 m. 2 Dorm, 2 Baños, 2 Park, 2 Bodg"
departamento,https://www.plusvalia.com/propiedades/12-de-octubre-y-orellana-rento-apartamento-amoblado-60883075.html,"12 de Octubre y Orellana, Rento Apartamento Amoblado 300 m², 3 Dormit. 2 Garages","12 de Octubre y Orellana, González Suárez, Quito",-0.20243104515924,-78.48133760000003,12/1/2022,Alquiler,house_default,USD,35,1200.0,+ USD 200 Condominio/Alícuota,0,Departamento · 300m² · 4 Habitaciones · 2 Estacionamientos,"Sector Hotel Quito,|Av. 12 de Octubre y Orellana,|Arriendo apartamento 300 m2,|Totalmente amoblado|Tres dormitorios con baño cada uno,|Estudio,|Baño social,|Sala amplia,|Comedor,|Cocina, comedor diario,|Área de máquinas,|Cuarto de servicio con baño,|Dos parqueaderos,|Bodega,|Guardianía 24 horas,|Dos ascensores,|Hermosa vista a Quito,|Luz natural en todo el apartamento,|Piso alto,|Excelente ubicación,",https://img10.naventcdn.com/avisos/9/00/60/88/30/75/1200x1200/253695838.jpg|https://img10.naventcdn.com/avisos/9/00/60/88/30/75/1200x1200/253695842.jpg|https://img10.naventcdn.com/avisos/9/00/60/88/30/75/1200x1200/253695832.jpg|https://img10.naventcdn.com/avisos/9/00/60/88/30/75/1200x1200/253695845.jpg|https://img10.naventcdn.com/avisos/9/00/60/88/30/75/1200x1200/253695837.jpg,Comercio Inmobiliario,Cód. del anunciante: 2F4RPP|Cód. Plusvalia: 60883075|Lic Prof: 669 ACBIR. P.,4 Habitaciones,none,335 m² Total,300 m² Cubierta,4 Baños,2 Estacionamientos,1 Medio baño,25 Antigüedad,<general_features_xml><general_feature><title>Características generales</title><content>Amueblado/a|Ascensor(es)|: 2|Condominio|Terraza|Baño de servicio|: 1|Cuartos de servicio</content></general_feature><general_feature><title>Servicios</title><content>Area de lavandería|Línea blanca|Línea telefónica|Guardianía/Seguridad privada|Iluminación|Puertas eléctricas|Control de accesos|Video vigilancia|Sistema de alarma de seguridad|Cisterna|Televisión por cable|Calefón|Extractor de olores|Generador eléctrico|Cortinas/Persianas</content></general_feature><general_feature><title>Ambientes</title><content>Bodega(s)|: 1|Estudio|Sala comunal|Closets|: 3|Sala de estar</content></general_feature></general_features_xml>,"Plusvalia->Departamento->Alquilar->Pichincha->Quito->González Suárez->12 de Octubre y Orellana, Rento Apartamento Amoblado 300 m², 3 Dormit. 2 Garages"
