type_real_state,url,title,location_string,location_latitude,location_longitude,date_publication,state,deliver,coin,views,price,expenses,discount,description_sup,description,pictures,advertiser_name,advertiser_codes,feature_rooms,feature_unities,feature_stotal,feature_scover,feature_bath,feature_parking,feature_toilete,feature_antique,general_features_xml,location_tree
departamento,https://www.plusvalia.com/propiedades/101.48-m-sup2--departamento-amagasi-del-inca-61728336.html,101.48 m² Departamento Amagasi del Inca,"Amagasi del Inca, El Inca, Quito",-0.140437500251217,-78.4656669151319,15/7/2021,Venta,house_default,USD,36,83000.0,none,0,Departamento · 89m² · 3 Habitaciones · 1 Estacionamiento,"En una zona con gran plusvalía y a pocos minutos de la Av. Eloy Alfaro.|De oportunidad, en el primer piso||* Dormitorio master con Walking Closet y baño completo|* 2 dormitorios con Closets|* 1 baños completo compartido|* Amplia Sala|* Comedor con Balcón|* Cocina con zona de lavado , muebles de cocina altos y bajos de Melamina|* Lavandería Cubierta|* Terraza|* Piso flotante|* Parqueadero|* Guardianía 24horas|El condominio $57.00 cuenta con: Salón comunal, gimnasio, áreas verdes, área de juego para niños, video vigilancia, parqueadero de visitas.|Cerca al Conjunto se tiene todos los servicios de transporte, comercio, minimarkets, panaderías, restaurantes y un super mercado TIA",https://img10.naventcdn.com/avisos/9/00/61/72/83/36/1200x1200/269376276.jpg,RE/MAX CAPITAL 2,Cód. del anunciante: 890321246-505|Cód. Plusvalia: 61728336,3 Habitaciones,none,89 m² Total,89 m² Cubierta,2 Baños,1 Estacionamiento,none,17 Antigüedad,<general_features_xml></general_features_xml>,Plusvalia->Departamento->Comprar->Pichincha->Quito->El Inca->101.48 m² Departamento Amagasi del Inca
terreno / lote,https://www.plusvalia.com/propiedades/109-has-para-siembra-ganaderia-cerca-de-la-via-62610104.html,"109 Has Para Siembra, Ganaderia, Cerca de La Via","Valle de las Golondrinas, Norte de Quininde, Quininde",0.5206998,-79.33674429999999,4/11/2021,Venta,house_default,USD,40,600000.0,none,0,Terreno / Lote · 100m²,"ASESOR INMOBILIARIO RUBEN CORTES Ver datos||Excelente oportunidad para invertir en esta propiedad||Ya está comenzando a producir la híbrida ojo||El frente tiene asfalto a 8 km de las Golondrinas con 60 has de palma híbrida comenzando a producir y 40 has de guinensis.||Está totalmente al día con sus labores agrícolas, tiene 4 km de vías internas||Tiene aprobado un crédito con el BAN a 13 años con 3 de gracia total por $",https://img10.naventcdn.com/avisos/9/00/62/61/01/04/1200x1200/289831058.jpg|https://img10.naventcdn.com/avisos/9/00/62/61/01/04/1200x1200/295915092.jpg|https://img10.naventcdn.com/avisos/9/00/62/61/01/04/1200x1200/289831069.jpg|https://img10.naventcdn.com/avisos/9/00/62/61/01/04/1200x1200/289831056.jpg|https://img10.naventcdn.com/avisos/9/00/62/61/01/04/1200x1200/289831074.jpg,RE/MAX CAPITAL,Cód. del anunciante: 890091244-90|Cód. Plusvalia: 62610104|Lic Prof: 1001-P,none,none,1090000 m² Total,100 m² Cubierta,none,none,none,5 Antigüedad,<general_features_xml><general_feature><title>Características generales</title><content>Av. acceso asfaltada</content></general_feature></general_features_xml>,"Plusvalia->Terreno / Lote->Comprar->Esmeraldas->Quininde->Norte de Quininde->109 Has Para Siembra, Ganaderia, Cerca de La Via"
